,0
56,"Kleine braune 0,33 l mit unverkennbaren Etikett ."
57,Goldgelb mit üppiger feinporiger Schaumkrone .
58,"Es riecht würzig , getreidig ."
59,Der erste Schluck schmeckt malzig würzig eine gewisse Süße im Hintergrund mit langem Abgang .
60,"Ein süffiges leckeres Pils mit 5,1 % ."
61,Gute 7 Öffner . 29. 09. 19
62,Das erste mal am Bodensee getrunken und direkt ein paar Flaschen eingepackt .
63,Mir schmeckt es !
64,Ein leichtes und leicht fruchtiges Pils
65,"Als Norddeutscher , umgeben von herben Bieren , wage ich mich mal an das Pils aus dem Schwarzwald , das mit einem ansprechenden Retro-Label daherkommt ."
66,"Etwas unscheinbar in der heutigen Werbewelt , aber das ist Understatement ."
67,Denn das Bier erfüllt erst einmal alle Erwartungen .
68,Richtig temperiert steht es sattgelb im Glas mit einer schönen Schaumkrone .
69,Es riecht frisch und fruchtig und macht beim Trinken durch die fein dosierte Kohlensäure einen richtig runden Eindruck .
70,"Der Körper ist wie beim Pils üblich hopfig , aber ohne Bitternoten , hier hätte die Dosierung etwas höher ausfallen können , um den Charakter zu stärken ."
71,"Das ist aber Jammern auf hohem Niveau , das Bier ist sehr appetitlich und lässt einen runden , fruchtig-herben Gesamteindruck zurück , der angenehm ausklingt ."
72,Ich kann das Bier weiterempfehlen .
73,"Das Rothaus Tannenzäpfle - ein vollmundiges , erstklassiges Pils ."
74,Als Dortmunder bin ich ein Biergenießer .
75,Ein echtes Spitzenpilsener !
76,"Herb , fruchtig und einfach lecker ."
77,Einziges Manko : Hat was leicht pappiges im Abgang .
78,Aber trotzdem mit das beste Pils das ich kenne .
79,schon x-fach getrunken aber mir nie darüber Gedanken gemacht .
80,Jetzt weiss ich warum .
81,"Einerseits recht lecker , ohne grössere Ecken und Kanten oder andere Auffälligkeiten ."
82,"Läuft gut mit mehr leicht süssem Extrakt und Breite , als ich es bei einem Pils erwarte ."
83,"Es bleibt dabei , gerne mal im Glas und weiterhin keine Gedanken darüber machen ."
84,7 / 10.
85,Nach den beiden enttäuschenden Bieren des heutigen Abends wird es Zeit für die Tannenzäpfle .
86,"So oft schon getrunken , nie bewertet von mir bisher ."
87,"Ich brauch jetzt was leckeres , mein Forschereifer ist für heute erlahmt ."
88,Umwerfende Optik im Glas- ganz klar so soll ein Referenzpils aussehen .
89,Hellgold und frisch sprudelnd unter einer feinporigen sich auftürmenden schneeweißen Blume .
90,"Ich habe hier auf den Bildern zwei 0 , 33er Flaschen in ein 0.5 l Glas der Brauereigenossenschaft Taufkirchen / Vils geschänkt ."
91,Die Nase sagt frisches Grün .
92,"Wiese , unreifes Obst , Frühsommer ..."
93,Der Antrunk bizzelt an der Zunge .
94,"Eine erste Hopfenspitze , junges Laub nach dem Regen ."
95,"Ein dezenter , zartbitterer Malzkörper folgt und wird von einer Klassehopfung abgelöst ."
96,Der von mir so geschätzte Tettnanger übernimmt hier die Führung vor dem Hallertauer .
97,Die Hopfenaromen bleiben auch noch eine ganze Zeit .
98,Dabei wirkt der ganze Trunk zu keiner Zeit aufdringlich oder in irgendeiner Weise langweilig .
99,Das trifft meinen Pilsgeschmack ziemlich genau .
100,Ich nehme mir immer gerne ein paar Fläschchen mit als Beifang .
101,"Da weiß man definitiv , was man hat ."
102,"Irgendwas steht zwischen mir , diesem köstlichen Pils und 10 Öffnern ."
103,"Ich vermag es nicht zu definieren , ist aber so ..."
104,Das perfekte Bier
105,Tannenzäpfle geht immer !
106,Nadelbaumtee
107,eine schöne Alternative !
108,330 ml capped bottle .
109,Poured a crystal clear and pale straw-gold coloured Pilsner with a good one finger almost white and creamy foamy head that had a long retention and tons of micro bubbles .
110,Sustained carbonation .
111,Good lacing .
112,"The aroma is floral hops , pale malts , cereals , bread , straw and a spicy touch ."
113,"The flavour is herbal hops , caramel and grainy malts , acidic fruits , apples , grapefruits , citrus and a spicy peppery touch ."
114,"The mouthfeel is crispy , quite thin , creamy , prickly and smooth ."
115,The texture is oily .
116,This light to medium bodied Pilsner has a nice and lingering bitter finish .
117,"Enjoyable and easy drinkable , this Rothaus Pils Tannenzäpfle is a decent German Pilsner , brewed in the South Black Forest ."
118,Standardbier bei uns im Südwesten von Deutschland .
119,Geht eigentlich immer
120,"Auch eins , bei dem es jetzt höchste Zeit wird , daß ich es wirklich mal mit vollen Sinnen probiere : Gebinde ist eine braune 0,33 l Vichyflasche , zum Etikett muss ich eihgentlich nichts sagen : das ist einfach ein Klassiker und sieht gut aus !"
121,"Im Glas ist es hell , klar , der Schaum nach kürzester Zeit verschwunden :-) Im Antrunk ist es malzig und hopfig zugleich , würde sagen beides gleich dominant ;-) Vom Volumen und der Ausgewogenheit gar nicht übel ."
122,"Die Kohlensäure ist mir ein bisschen zu schaumig im Mund , wirkt aber noch nicht zu agressiv ."
123,Hintenraus dominiert der Hopfen .
124,"Dieses "" Pilsner "" gefällt mir deutlich besser als das aus Bremen ."
125,Das hat einfach mehr Wucht und ist deutlich runder .
126,Trinkt sich prima !
127,8 Öffner
128,Hervorragendes Pils aus dem Schwarzwald .
129,Schmeckt auch mir als Oberbayern sehr gut .
130,Rothaus Pils Tannenzäpfle ...
131,Mein heutiges Bierchen zum Mittag zeigt sich in einer hellgoldenen Färbung mit einer ordentlichen Blume .
132,Es duftet mild würzig und nach einer gewissen Frische .
133,Sehr angenehm .
134,"Vom Geschmack : Der Antrunk ist spannend , denn dieses Bierchen sieht zwar unscheinbar aus , doch entpuppt es sich im Geschmack als ziemlich interessant ."
135,"Ich weiß nicht , was es ist , aber irgendetwas schmeckt da deutlich raus , das extrem lecker ist ."
136,"Des Weiteren ist es fruchtig und von einer milden Süße umzogen , was das Tannenzäpfle schön süffig werden lässt ."
137,Zusammengefasst : Lecker !
138,"Für ein Pils , echt lecker ."
139,Das kann man problemlos hin und wieder in den Einkaufswagen packen .
140,Wird nicht meine letzte Flasche gewesen sein .
141,"Tannenzäpfle ist ein gutes Bier , immer mal trinken"
142,Nichts besonderes aber gut trinkbar .
143,"Sehr leckeres Pils , das gerne an geselligen Abenden getrunken wird !"
144,Ich liebe es seit mehr als 20 Jahren .
145,Mein erstes von einem Badener bekommen und getrunken bis es uns umwarf .
146,Eine schöne Erfahrung .
147,Prost .
148,"Wieder so ein klassisches "" mal so zwischendurch "" Gebräu ."
149,"Für ein Pils zu mild , Malzwürze soweit ganz angenehm , der Hopfenanteil eher enttäuschend gering ."
150,"Nicht kastenwürdig Schon merkwürdig manchmal .. gerade nochmal getrunken und plötzlich schmeckts mir besser , weich , süßmalzig , hintenraus eigentlich auch gut hopfig ."
151,Ich muss doch 2 Öffner mehr geben ..
152,Im Glas schönes goldgelbes Bierchen .
153,Wunderbar lang haltende Krone .
154,Echt toll .
155,Mir eine Idee zu viel Hopfenbittere .
156,Die Kohlensäure hält sich prima zurück .
157,Gut trinkbares Bierchen .
158,Gerne wieder .
159,Eines meiner Lieblings-Pilsbiere .
160,"Erfrischend , süffig , einfach lecker"
161,Das Maidle bzw. Birgit Kraft ist ja die deutsche Labelikone schlechthin .
162,"Finde ich auch nicht altbacken , sondern einfach gutes Design ."
163,Das Rothaus gehört unbedingt zu den malzigeren Pilsen .
164,"Als ich mr noch Kreuzberger Nächte um die Ohren schlug , wechselte ich nach zwei Stück meist zu einem Hellen , weil das Malz zuviel wurde ."
165,"Der Hopfen ist zwar sehr angenehm , aber zu dezent ."
166,Das angepriesene gute Bramuwasser scheint hier wirklich etwas zu bringen .
167,"Der Prototyp eines süddeutschen Pilses , aber nicht das Beste ."
168,"Aber vielleicht schon das beste Industriepils in D. , ich bin aber auch totaler Schwarzwaldfan ."
169,"Hellgelb und mit einer phantastischen , langlebigen Blume ausgestattet macht mir das Rothaus Pils seine Aufwartung ."
170,"Für ein Pils hält sich die Kohlensäure vornehm zurück , was ich sehr begrüßenswert finde ."
171,"Es riecht überhaupt nicht wie ein klassisches Pils , das recht intensive Malzaroma gefällt mir ausgesprochen gut ."
172,Der Antrunk kommt leicht malzig und getreidig daher .
173,"Das Brauwasser ist sehr weich , was dem Bier eine hohe Süffigkeit verleiht ."
174,Der leicht herbe Abgang mit seinen kräuterartigen und floralen Hopfennoten weiß auch zu gefallen .
175,"Ich bin nun wirklich alles andere als ein passionierter Pilstrinker , aber das Rothaus Pils gefällt sogar mir ausgesprochen gut ."
176,Tolles Pils mit Ecken und Kanten .
177,Stilvolles Etikett .
178,Geht gut runter .
179,Eher mildes Pils .
180,""" Etwas "" überhyped , dennoch solide Kost ."
181,Würzig herb lecker .
182,"Ein Hauch von Schwarzwald , so muss ein Bier schmecken ."
183,Im Glas hellgelbe Farbe mit feinen Schaum .
184,"Der Geruch ist malzig , hopfig und getreidig ."
185,Der Antrunk malzig-süß und getreidig .
186,Ein harmonischer und süffiger Körper mit Malz und Hopfen .
187,Herber Abgang mit einer sanften Hopfenbitterkeit .
188,"Ein gutes , angenehm zu trinkendes Pils ."
189,Sehr empfehlenswert .
190,< 3
191,Dieses Bier am letzten Wochenende im Tannenzäpfle Land getrunken und ich gestehe die Etikette ist Kult und der Ruf des Bieres bei den Einheimischen auch nicht schlecht .
192,Nun ich gestehe ( O.K. ich werde gewiss gesteinigt ) es ist nicht meine Sache ...... es ist mir zu Hopfig und an einem warmen Sommertag brauche ich einen Durstlöscher und dies kann dieses Bier beim besten willen nicht ..... es ist ein Bier am Abend nicht mehr und nicht weniger .
193,Ein sehr gut trinkbares Pilz .
194,Leckerer Geschmack und nicht zu süß
195,Lässt sich gut trinken .
196,"Für mich ein Kult Bier aus den USA "" Der untere Süddeutsche abschnitt "" :D"
197,"Ein Bier wie der SC , originell , manchmal sehr beliebt , und immer sympathisch ."
198,"Kleine , edle Flasche , auch überall bekannt ."
199,"Nachdem ich das Tannenzäpfle nun schon seit etlichen Jahren kenne und immer geschätzt habe , möchte ich es heute , nach langer Zäpfleabstinenz , zum ersten Mal bewerten ."
200,Hellgelb ist die Farbe und die Blume ist pilstypisch üppig und fest .
201,Optisch schon mal topp .
202,Das naiv volkstümliche Etikett finde ich übrigens ganz gut .
203,Die blonde Birgit ( die immer des Bier gitt ) übt mit den zwei gefüllten Humpen einen gewissen Reiz auf mich aus :-) Das Bier duftet malzig und leicht nach Getreide .
204,"Der Antrunk , mit seiner zurückhaltenden Rezenz ist schön süffig ."
205,Malz und Hopfen halten sich perfekt die Waage .
206,Auch im Mund lassen sich Getreidenoten neben süßlichen Tönen ausmachen .
207,Die Hopfenbittere ist ordentlich und bietet ein gutes Gerüst für die malzige Grundnote .
208,Der Abgang ist deutlich vom Hopfen geprägt .
209,Das weiche Brauwasser sorgt auch hier für eine tolle Süffigkeit .
210,Ein wirklich gelungenes Industriebier .
211,"#NBGBST001 Ein hervorragendes Pils das seinen Geschmack aus dem guten Quellwasser , einem kräftigen Hopfen zieht ."
212,Hut ab .
213,"Hellgelbe Farbe , kleine aber feine Blume ."
214,Riecht nach Getreide und Hopfen .
215,"Sehr süffige Pils , die Bitternis ist nicht übertrieben , vielleicht sogar ein bisschen zu wenig ."
216,Trotzdem ein sehr gutes Gesöff .
217,Geht gut .
218,"Sehr leckeres Bier , Kräuter , leichte Bitternote , sanftes Quellwasser und kräftiger Hopfen ."
219,"Natürlich fehlt inzwischen der Charme des Geheimtipps , trotzdem singe ich ab 1,0 L singe ich das Badener Lied !"
220,Fällt mir sehr schwer Rothaus zu bewerten - einfach weil ich damit aufgewachsen bin .
221,Wie beschreibt man Muttermilch ...
222,"Hell Strohfarben , sehr klar , weiße grobe und kurzlebige Krone - würzige hopfengeprägte Nase - Kräuter mit einem Hauch Honig ."
223,Kommt erst an - wie man es von der Nase erwartet - verschwindet dann - wird zu klarem Quellwasser - und kommt dann mit einer sanften Hopfenbitterkeit wieder .
224,Klingt lange mit etwas Kräutern und sanfter Bitternote aus .
225,Mit kräftiger prickelnder Kohlensäure sehr erfrischend - gefällig - Kölschtrinkern vielleicht zu bitter - aber allgemein ein sehr allgemein verträgliches Bier für alle Gelegenheiten .
226,"Die 0,33 L Flasche offenbart ein hellgelbes Pils mit guter Schaumkrone , diese ist mittelprächtig haltbar ."
227,"Es steht im Ruf eines Geheimtips , wird in manchen Restaurants für utopische Preise serviert , die Erwartung ist also recht hoch ."
228,"Das Etikett ist freilich altbacken , aber auch das hat seinen Flair ."
229,Wiedererkennungswert ist auf jeden Fall dadurch gegeben .
230,"Der Geruch ist so wie man es von einem Pils erwartet , hopfenlastig ."
231,"So dominiert auch der Geschmack , wenn auch im Abgang dann eine leichte Malzigkeit zu schmecken ist , die aber stark im Hintergrund bleibt ."
232,"Mir perlt dieses Pils etwas zu stark , was es etwas schwierig macht es als süffig zu bezeichnen ."
233,"Für einen Pilsliebhaber mit Sicherheit das Richtige , für mich nicht genau das Richtige , die Geschmäcker sind halt verschieden ."
234,"Höchstgelegenen Brauerei , 1000 Jahre altes Wasser , 2 Sorten Hopfen , viel Quatsch steht auf dem Etikett mit der hölzernen Bauernmaid ."
235,"Is mal so überhaupt nicht mein Ding , das Kommerz-Angeber-Bier aus dem Höchst- nein Hochschwarzwald ."
236,Leider ein in die Mode gekommener Klassiker .
237,"Vor 20 Jahren noch ein regionaler Geheimtipp , ein Spitzenpils aus dem Schwarzwald ."
238,Wurde mir schon Ende der 80er von meinem Patenonkel eingeflößt .
239,Wunderbare Würze und Quellwasser aus dem Schwarzwald machen es unvergleichlich .
240,Etikett mit sensationellem Comic-Style .
241,"Ein gutes Bier aus dem Schwarzwald , die kleinen flaschen 0,33 l heißen tannenzäpfle , die großen 0,5 l heißen rothaus pils , schöne Farbe und würzigkeit , die schaumkrone ist gut , leckeres Bier"
242,Schmekt mier nicht ist zu herb
243,Preiswert gebrautes süßes Extraktbier .
244,Will als Pils nicht anecken .
245,"Wir Frauen mögen´s gerne , weil es so neutral schmeckt ."
246,An Farbe und Schaum gibts nichts zu meckern .
247,"Geruch sehr einladend nach Hopfen und Malz , welches dann der Geschmack bestätigt ."
248,Die angegebenen Pilskomponenten harmonieren wunderbar miteinander .
249,"Am Ende eine ganz leicht gesüßte Hopfennote , die nach mehr verlangt ."
250,"Super Pils , trinken wir jedes Jahr zu Weihnachten ."
251,Da habe ich Rothaus Pils und Rothaus Tannenzäpfle zusammen eingekauft .
252,Sie standen ja schön nebeneinander im Getränkeshop um jetzt festzustellen das es das gleiche Bier ist .
253,"Das Pils ist in 0,5 l und das Tannenzäpfle in 0,33 l Flaschen erhältlich ."
254,"Das Tannenzäpfle ist aufwendiger in der Ausstattung , was sich natürlich auch im Preis niederschlägt ."
255,Die Goldfolie und die bunten Etiketten müssen aber auch erst gefallen .
256,Auf mich wirkt es etwas altbacken .
257,Das soll aber keinen Einfluss auf die Bewertung haben .
258,"Das Pils : Mit 5,1 % Alkohol im oberen Bereich für diesen Bierstil ."
259,Die Farbe des blank filtrierten Bieres ist hellgelb .
260,Die Schaumkrone schön feinporig und haltbar .
261,Nur wenig sehr feine Kohlensäure perlt im Glas .
262,Der Antrunk ist für ein Pils vollmundig .
263,Es zeigt sich ein leicht süßlicher Malzkörper .
264,Schnell kommen milde Säure und gute Hopfenherbe hinzu .
265,Die Rezenz fällt für meinen Geschmack etwas knapp aus .
266,Der herbe Abgang macht dann Lust auf mehr von dem Bier .
267,Das ist ein leckeres Pils was sich deutlich von den anderen Industriebieren deutlich nach oben absetzt .
268,Das Tannenzäpfle : Es ist tatsächlich kaum ein Unterschied festzustellen .
269,Vielleicht im Abgang minimal würziger .
270,Das liegt vermutlich an einen anderen MHD und somit an einer anderen Sudnummer .
271,"Das Rothaus Tannenzäpfle Pils oder auch nur Tannenzäpfle komt mit 5,1 % Alkohol daher ."
272,"Im Glas gelb und klar mit etwas Schaum , im Geruch getreidig ."
273,Geschmacklich dann ein interessantes Pils .
274,"Getreidige Noten , durchaus mehr Würze als bei einem Standard Pils , eher ein Export ."
275,"Dazu etwas Herbe im Abgang , durchaus trinkbar aber nicht so ganz mein Fall ."
276,Fazit : Interessantes Pils .
277,Das Rothaus Pils Tannenzäpfle .
278,Eine Klassiker-Rezension .
279,"Zuerst getrunken habe ich es vor rund 10 Jahren , als es bei meinem damaligen Sushi-Lieblingsrestaurant auf einmal auf der Karte stand ."
280,Damals war das Restaurant wohl brauereifrei und das Rothaus schwappte über den Umweg über die Szenelokale des Hamburger Schanzenviertels nach Nordbayern herein .
281,"Es war die kleine kompakte Flasche , ich komme mit so kleinen Bieren immer nicht so wirklich klar , wurde mit einem Seidla sozialsiert ."
282,"Gegen die Siegerländer Pilssorten ist es eher mild zu nennen , läuft also recht gut ."
283,"Über das Bier wurde hier ja schon jede Menge geschrieben , zusammengefasst : Ein leicht süßliches Pils mit hervorragendem Packaging und noch besserem Marketing ."
284,"Ordentlich , aber kein Überbier ."
285,Ich schließe mich den Vorschreibern an und vergebe 7 Öffner .
286,Eines der Wirklich schönsten Pilsflaschen die ich je gesehen habe !!!
287,Mal schauen was das Bier kann ich hoffe Gutes :) Eine Schöne Gold Hellgelbe Farbe zeigt sich es sprudelt leicht .
288,Der Schaum ist Feinporig 2 Finger hoch .
289,Ohh wie schön das riecht ...
290,Typisch Pils es riecht Grasig nach Feld Süßlich und Fruchtig im vergleich zu anderen ist hierbei der Geruch sehr deutlich zu riechen es versteckt sich nichts !!!
291,Der erste Schluck ist doch ein wenig sehr Süß der typische Pilsgeschmack kommt super rüber :)) Es ist Feinherb ein bisschen zu wenig Hopfen sogar sehr schön Malzig ist es aber .
292,FAZIT : Ein nettes Pils aus dem Schwarzwald es ist mir allerdings etwas sehr Süß und es fehlt ein bisschen mehr Hopfen damit da was im Mund aufgeht und nicht mal eben flüchtig vorbei rauscht ;) von mir gibt es hierfür mit zugedrücktem Auge 7/10 Points !!!
293,"Schönes Etikett , für ein Pils ist es aber nicht wirklich ."
294,Dafür ist die Hopfenbittere einfach zu wenig ausgeprägt .
295,Auch wenn das die halbe Club-Welt in der Hand hält .
296,Das ist doch eher gute Marketing als ein gutes Bier .
297,"Aber die kleine Flasche macht schon Spaß , auch wegen dem hölzernen Mädel drauf ."
298,"Das Tannenzäpfle hat eine klare , sehr helle , strohgelbe Farbe ."
299,"Der weiße , cremige Schaum hält sich mit einer kleinen Decke und mittlerer Verweildauer im Glas ."
300,"Meine Nase riecht würzige , waldige Tannenzäpfle , mit dezenter Hopfenbitternis und leichte Karamellnsüße ."
301,"Diese schmecke ich auch im süffigen , würzigen Antrunk ."
302,"Das Gerstenmalz kommt medium mit stärkeren Tannenzäpfle und leichter , süffiger Karamellsüße auf die Zunge ."
303,Im Abgang zeigt sich die Hopfenbitternis medium aber dominant .
304,Die Aromen sind in Ordnung .
305,Das Wasser aus dem Schwarzwald ist weich .
306,"Für Nordlichter von der See , ist dieses Bier mit Sicherheit zu lasch ."
307,Es fehlt die konstante Hopfenbitternis .
308,Der Körper könnte ein bisschen mehr Volumen vertragen .
309,Leider hat die Rothauas Brauerrei über den Hype des Tannenzäpfle wohl das Bierbrauen verlernt .
310,Vor Jahren in unseren Schwarzwald Kurz Urlauben immer ein gern gesehener leckerer Begleiter .
311,"Doch in diesem Jahr konnte mich das Bier überhaupt nicht mehr überzeugen ... leider wie bei vielen Deutschen Bieren , wird der Ausstoß erhöht geht es zu Lasten der Qualität"
312,"Sein Ruf ist besser als sein Geschmack ; vor 20 Jahren habe ich es gemocht , aber man entwickelt sich zum Glück weiter ."
313,"Leider ein Bier mit Hopfenextrakt , und daher nicht mehr zum Trinken zu gebrauchen ."
314,"Da ziehe ich ein "" Waldhaus "" oder ein "" Alpirsbacher "" tausendmal vor ."
315,"Anmerkung am 22. 04. 2018 An alle : bitte beachtet , dass einige Brauereien jetzt nicht mehr die Hopfenextrakte in der Inhaltsliste aufführen , sogar von Aromahopfen sprechen ."
316,"Entweder man verzichtet tatsächlich auf Extrakte und verwendet Hopfenpellets ( ich glaube kaum , dass man echten Aromahopfen aus Hopfendolden verarbeitet ) oder man belügt schlichtweg den Verbraucher !"
317,"Zunächst die Etikette , super schönes Design in Anlehnung an Birgit Kraft ;) Mann schmeckt das leckere Schwarzwälder Wasser heraus ."
318,Mir persönlich etwas zu herb .
319,Dennoch das beste Bier Badens .
320,"Braune 0,5 l NRW-Flasche als Gebinde ."
321,Ich habe hier zwei verschiedenene Etiketten vorliegen .
322,Der Inhalt ist aber gleich .
323,"Das Schwarzwaldmädel "" Birgit Kraft "" ist entweder mal größer ( mit zwei Biergläsern ) oder kleiner ( mit Aufdruck 225 Jahre Brauerei Rothaus und sechs Steinzeug-Bierkrügen ) auf dem Etikett vorhanden . 5,1 % Alkohol . 12,4 ° P. 32 IBU ."
324,Gerstenmalz und Hopfen bei den Zutaten .
325,Es soll Tettnanger und Hallertauer Aromahopfen verwendet worden sein .
326,Schöne helle Schaumkrone .
327,Klare hellere goldgelbe Farbe .
328,Hopfiger Geruch .
329,Fein hopfigherber und erfrischender Antrunk .
330,Leicht malzigsüße Noten und Würze im Mittelteil .
331,Der Abgang ist hopfigherb mit leicht kräuteriger Note .
332,"Der Nachgeschmack ist zuerst fein hopfigherb , dann leicht malzigsüß , anschließend würzig und zum Ende hin hopfigherb mit leicht kräuteriger Note und bitter ."
333,Lässt sich sehr süffig trinken .
334,"Insgesamt ein sehr süffiges , fein hopfigherbes , würziges und auch leicht malziges Pils aus dem Schwarzwald ."
335,Gefällt mir gut .
336,Im Markräflerland ist dieses Bier obligatorisch .
337,Auch die anderen Produkte der Rothaus-Brauerei bieten eine ungewohnt feine Hopfennote .
338,"Gutes Bier , aber nichts besonders ."
339,Das Bier befindet sich in einem guten Mittelfeld .
340,Für mich nur typisch Pilsbier .....
341,Für mich viel zu herb .
342,"Abgefüllt ist dieses Rotchaus Pils Tannenzäpfle in einer 0,33 Vichy Mehrwegflasche - im neuen Gewand ."
343,Die Brauerei blickt auf eine Geschichte zurück die bis auf das Jahr 1956 zurückreicht .
344,Also 60 Jahre Tannenzäpfle !!!
345,"Im Verkostungsglas begegnet uns ein hellgelbes , klares Bier mit eine durchschnittlich ausgeprägte , mittelporige Schaumkrone ."
346,"Zu riechen bekommt man eine würzige , leicht getreidige Malznote ."
347,"Der Antrunk ist relativ würzig , der Hopfen kommt ziemlich klar durch ."
348,"Das passt gut eher zu zurückhaltend dosierten Kohlensäure , die eine dezente Spritzigkeit inne hat ."
349,"Geschmacklich ist es typisch Pilsbier , ausgewogen hopfig , angenehm herb aber auch sättigend malzig ."
350,"Das Wasser ist schön weich , das Bier als solches ist gut trinkbar ."
351,"Der lange Abgang , der immer noch eine Mischung aus leichte Säure und Würzigkeit versprüht , mundet gut ."
352,Etwas mehr Aromahopfen wäre hier von Vorteil . ( mindestens haltbar bis : 25. 10. 2016 ) B
353,"Nachtrag zu 1. Also nach einiger Recherche entdeckt : Das Rothaus Pils Tannenzäpfle , 0,33 l Flasche mit der chicen goldenen Alu-Folie ist die kleine , aber kostspieligere Version des : Rothaus Pils in der 0,5 l Flasche ohne Alu-Folie ."
354,"Der einzige Unterschied : die Flaschengröße , die Alu-Folie bzw. die fehlende und : der Indentische Preis beim Bier-Dealer , denn : beide Flaschen kosten gleich viel ."
355,Hurra . ------------------ 1. Wohlan !
356,Nach dem ersten Schluck : eindeutig überbewertet !
357,Aber der Reihe nach .
358,"Klasse Flaschengröße , 0,33 l. Daumen hoch ."
