Tue Mar 31 20:45:59 +0000 2015,@Kathi_Bill aber Bier is ok oder?@switch2mac
Sun Mar 29 12:07:27 +0000 2015,Ich habe mein Frankfurter bier ! Ja ! #Frankfurt #Bier @Römer https://instagram.com/p/0z5-5QjGYk/
Sun Mar 29 12:00:42 +0000 2015,"@HerrnK @handelsblatt Grill selber bauen, macht Spass,kostet fast nichts.Bier nicht vergessen,nur Menschen einladen mit denen man Spass hat."
Sun Mar 29 08:41:53 +0000 2015,Voll kalt.
Sun Mar 29 08:39:48 +0000 2015,@SpringerHerten Ich reduziere meinen Alkoholkonsum.
Sun Mar 29 07:56:34 +0000 2015,Ich habe gestern eine Blume und Pizza bekommen. Ihr könnt euch nicht vorstellen wie unfassbar glücklich ich einfach war.
Sun Mar 29 07:44:48 +0000 2015,So jetzt Mettfeühstück MIT (!) Bier.
Sun Mar 29 07:36:26 +0000 2015,Habt mich lieb und bringt mich zurück nach Bielefeld. Danke!
Sun Mar 29 06:54:07 +0000 2015,Gestern Abend meinte Vaddan er holt mich heute vom Bahnhof ab. Dreimal dürft ihr raten wer mit seinen Kumpels betrunken an mir vorbei geht.
Sun Mar 29 06:40:30 +0000 2015,"""Arminia Fans im Zug?"" ""ARMINIA BIELEFELD DU BIST DER CLUB DER UNS AM LEBEN HÄLT."""
Sun Mar 29 06:35:04 +0000 2015,"Der Mann neben mir zeigt übrigens tadellosen Fußballgeschmack. ""ARMINIA ARMINIA, WIE SCHÖN SIND DEINE TORE!"""
Sun Mar 29 06:19:54 +0000 2015,"Zwischen besoffenen Menschen Sonntagsmorgens, Fußballrandale und Musikern in der Straßenbahn. Bielefeld, du bist perfekt."
Sun Mar 29 06:06:04 +0000 2015,"Uh, hier haben die Kneipen noch auf. Sehr verlockend."
Sun Mar 29 05:55:33 +0000 2015,Ich möchte jetzt gerne in den Arm genommen werden. Und einen Cheeseburger.
Sun Mar 29 05:52:29 +0000 2015,"Übrigens, wir tanzen gerade zu Metallica durch den Bus. Und auch sonst liebe ich uns."
Sun Mar 29 05:31:00 +0000 2015,Ich bin draußen. Vor Achte. Das schaffe ich im Normalfall nicht mal in der Woche.
Sun Mar 29 05:28:02 +0000 2015,Es ist Sonntag und so früh morgens. Widerlich.
Sun Mar 29 05:11:37 +0000 2015,"Übrigens, ich bin wach."
Sat Mar 28 23:45:24 +0000 2015,"Ich werde als Nazi bezeichnet, weil ich Linksextremismus genau so scheiße finde wie Rechtsextremismus. Danke dafür."
Sat Mar 28 22:09:08 +0000 2015,Bier und gute Gespräche. So muss das an nem Samstag Abend. 
Sat Mar 28 19:57:23 +0000 2015,Die haben bestimmt über mich geredet. Über mich und mein Bier. #WorldsOkayestDetective #waschsalon #lasttweet
Sat Mar 28 19:49:43 +0000 2015,Bier (@Heimat + Hafen in Bielefeld) https://www.swarmapp.com/c/hJm44RhblpA
Sat Mar 28 18:47:40 +0000 2015,STOPP BER dachte zuerst STOPP BIER @ji0815
Sat Mar 28 18:26:42 +0000 2015,@Curacao1975 Bielefelder Taxi mit Bielefelder Kennzeichen vor dem Bielefelder Hauptbahnhof.
Sat Mar 28 18:17:26 +0000 2015,Bielefeld. Mein Herz. Meine Perle.
Sat Mar 28 18:12:38 +0000 2015,Eventuell habe ich mir gerade nach einem Liter Bier einen Liter Cocktail bestellt. Eventuell 
Sat Mar 28 18:04:12 +0000 2015,"Bielefeld, selbst bei Regen bist du wunderschön. <3"
Sat Mar 28 18:02:28 +0000 2015,@chemical_mcfly sehr gut. Falls du danach noch nen ehrliches Bier brauchst weißt du ja wo du mich findest ;)
Sat Mar 28 17:54:37 +0000 2015,@ElronMcBong_ Deine Kindheit war offensichtlich genauso grauenhaft wir meine. <3
Sat Mar 28 17:50:14 +0000 2015,@SpringerHerten Müsst ihr's dieses mal nur besser machen.
Sat Mar 28 17:48:00 +0000 2015,@SpringerHerten Grillen geht immer!
Sat Mar 28 17:47:40 +0000 2015,Diese Wiedersehensfreude. Unbeschreiblich. Obwohl uns nur 30 Kilometer trennen.
Sat Mar 28 17:42:49 +0000 2015,"(Erinnert mich daran, wenn ich euch das nächste mal vollheule wie sehr ich doch alles und jeden hasse.)"
Sat Mar 28 17:42:08 +0000 2015,ICH LIEBE DIESES LEBEN
Sat Mar 28 17:41:12 +0000 2015,"Ich stehe am Bahnhof, warte auf meinen Zug und habe mich dabei ertappt wie ich vor Freude strahle."
Sat Mar 28 17:20:51 +0000 2015,Meh. - Drinking an Ederbräu Brauwerkstatt Yin & Yang by Eder & Heylands Brauerei @craft - burger & bier — http://untp.beer/s/c167240072
Sat Mar 28 16:47:57 +0000 2015,Wollte euch nur mal sagen das der @PeppersFan87 voll super ist. Herz.
Sat Mar 28 16:44:18 +0000 2015,#zims #sixdays #cologne #köln #heumarkt #gilden #beer #bier #cycling #legend #helden @Gilden im Zims… https://instagram.com/p/0x03piqt-F/
Sat Mar 28 15:50:55 +0000 2015,Ich sehe gleich meinen besten Freund. Seit 10 Minuten tanze ich vor Freude.
Sat Mar 28 14:53:33 +0000 2015,@BonitoTV Deutsche Politiker sind so spannend wie abgestandenes &amp; schales Bier. Dem Haufen Lügenlangweiler fehlt ausserdem Witz &amp; Humor :-)
Sat Mar 28 12:16:27 +0000 2015,Wie kann er nur?
Sat Mar 28 10:55:45 +0000 2015,@FCKrone Das Bier ist doch die Bezahlung.
Sat Mar 28 05:01:36 +0000 2015,Das Bier fließt auf der Dippemess’ http://j.mp/1I1ZuWe #frankfurt
Fri Mar 27 22:51:16 +0000 2015,"\""Tyskie Beer 24 x 0,5l inkl. Pfand \"" bei barcoo: http://www.barcoo.com/tyskie-beer-24-x-inkl-pfand-8716700016372 Lecker poln. Bier !! "
Fri Mar 27 21:15:22 +0000 2015,#nowwatching Der Herr der Ringe - Die Gefährten
Fri Mar 27 21:10:56 +0000 2015,Höwedes kann ich seit gut einer Woche auch nicht mehr ernst nehmen.
Fri Mar 27 21:03:44 +0000 2015,@PeppersFan87 Lass uns die Tage mal wieder ins H2o. RUTSCHEN IST SO TOLL 
Fri Mar 27 21:02:22 +0000 2015,ILLERTISSEN SPIELT INTERNATIONAL
Fri Mar 27 21:00:45 +0000 2015,@PeppersFan87 DU PREUßEN FAN
Fri Mar 27 20:59:00 +0000 2015,"""Montag also Harry Potter, Pizza, Vita Cola und du. Wer sagte gleich Montage seien schrecklich?"" Ich finde ihn sehr süß."
Fri Mar 27 20:54:58 +0000 2015,Mein bester Freund macht mit mir Montag einen Harry Potter Marathon. Ich liebe ihn sehr.
Fri Mar 27 20:14:32 +0000 2015,Bier und schwarzer Tee. Perfekt für den anstehenden Gig. 
Fri Mar 27 19:25:05 +0000 2015,@elektro_bier @SeltsameMensch hmm in der Region Darmstadt / tolle Auswahl! bei Maruhn. Vorteil Provinz?
Fri Mar 27 17:54:00 +0000 2015,Ahrrrrrrrrrrrrrrrrr und ne Buddel voll Rum ;-) #Bier 
Fri Mar 27 17:39:59 +0000 2015,"Nur Linksradikale hier. Sogar das Bier ist linksradikal. (@Schlachthof in Bremen, Germany) https://www.swarmapp.com/c/6zncrDNn6kV"
Fri Mar 27 17:07:22 +0000 2015,"Momentan ist es ja cool linksradikal zu sein. Hoffen wir mal das das nicht irgendwann noch ""cool"" wird wieder rechtsradikal zu sein."
Fri Mar 27 15:52:59 +0000 2015,Manche Menschen lassen wir weiter in andere Städte ziehen und andere weiter in den Tod.
Fri Mar 27 15:52:26 +0000 2015,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/fWxHXRV1ICw"
Fri Mar 27 15:51:20 +0000 2015,"@Du_Mich_Auch__ Wenn jemand nicht mehr leben möchte, darf er es gerne beenden."
Fri Mar 27 15:47:42 +0000 2015,Er wird auf immer ein Teil von mir sein. Im Herzen trage ich ihn immer bei mir.
Fri Mar 27 15:46:08 +0000 2015,"""Danke für deine Freundschaft. Danke für alles!"" Zum Abschied eine Umarmung, ein Lächeln und ich ließ ihn gehen. Für immer."
Fri Mar 27 12:53:05 +0000 2015,Meine Verwandtschaft aus'm Osten kommen bald zu Besuch. YEEEEES
Fri Mar 27 12:34:27 +0000 2015,@DerTobt @marci_m_garcia @mattrash91 @ElaTheNut @ReifZahl @RockingParadise @Shrimpsmann @mind_brittle Ebenfalls Hase :*
Fri Mar 27 12:16:26 +0000 2015,#Kässpätzle mit einem naturtrüben #Schönbuch-Bier w/ @ostseegoere (@Gambrinus) https://www.swarmapp.com/c/kX029rwby9A
Thu Mar 26 21:14:14 +0000 2015,"@__T_D__ manchmal, ich lache später, bisher mochte ich frauen generell, nach einer halben flasche wein und einem bier schweige ich lieber"
Thu Mar 26 20:32:37 +0000 2015,"rotwein als opener alten arsch, nix is jetzt als ersatz ein bier alles scheiße, deine elli"
Thu Mar 26 20:09:53 +0000 2015,"""Würdest du lieber mit Haftbefehl Scrabble spielen oder mit K. Kinski Mensch ärgere dich nicht?""jetzt hab ich Bier in der Nase #revolverhate"
Thu Mar 26 19:38:34 +0000 2015,Unser neues bier #craftbrew #hausbrauer böhmisch dunkel jetzt da
Thu Mar 26 13:16:28 +0000 2015,"Die Großcousinen und Großcousins aus Sachsen waren gerade an der Leitung. Hach, herrlich."
Thu Mar 26 12:47:57 +0000 2015,Bei uns im Wohnzimmer riecht es nach Jägermeister.
Thu Mar 26 10:25:04 +0000 2015,Unser Sprecher heißt Oettinger. Das kann ja was werden.
Thu Mar 26 08:51:43 +0000 2015,Ich sitzt jetzt hier bei nem' Kerl der über die FH redet. Vielleicht wimmere ich hier etwas.
Thu Mar 26 07:11:14 +0000 2015,"@Krawallprinzess Ganz still aus dem Raum gehen, neue Identität zulegen und schnellstmöglich das Land verlassen."
Thu Mar 26 07:08:42 +0000 2015,Jemand aus meiner Klasse ist auf Twitter. Ich verhalte mich ganz unauffällig und ruhig. *atmet panisch und fuchtelt mit den Händen umher*
Thu Mar 26 07:05:37 +0000 2015,Ich habe jetzt Berufsinfotag. Meine Klasse sieht das als einen Grund um zu saufen.
Wed Mar 25 21:53:51 +0000 2015,@Rocken1992 Ein paar Freunde besuchen.
Wed Mar 25 21:31:31 +0000 2015,"So, Zielgerade! Gleich Home Sweet Home und hoffentlich ein kühles Bier als Empfang! :)"
Wed Mar 25 20:41:31 +0000 2015,"@x_selix hm, ich glaub in Bier ist genug enthalten.Also:Prost^"
Wed Mar 25 15:32:11 +0000 2015,"Chang'aa gegen Malaria, Bier gegen Masern: Kenias unglaubliche Alkohol ... - FOCUS Online http://dlvr.it/96RgMW"
Wed Mar 25 15:16:42 +0000 2015,"Chang'aa gegen Malaria, Bier gegen Masern: Kenias unglaubliche Alkohol ... - FOCUS Online http://dlvr.it/96R1rN"
Wed Mar 25 15:00:35 +0000 2015,Alkohol-Arzneien in Kenia: Bier gegen Masern - tagesspiegel http://dlvr.it/96QT8q
Wed Mar 25 13:59:28 +0000 2015,@FelixBonn @UlrichKelber Warum geht ihr 2 nicht einfach mal ein Bier trinken? #protipp
Wed Mar 25 12:18:12 +0000 2015,Und urplötzlich liegt ein Brief der @rockeffekt in meinem Briefkasten. Danke! <3
Wed Mar 25 06:25:13 +0000 2015,"""Dein Grinsen ist unbezahlbar. Und dein Strahlen in den Augen erst."" Awww."
Wed Mar 25 06:20:25 +0000 2015,Und dann steht der beste Freund plötzlich vor einem. Eine Umarmung und ich platze vor Glück. Danke!
Tue Mar 24 22:57:21 +0000 2015,I'm at Bier Börse in Mainz https://www.swarmapp.com/c/jbr3r0B3pQS
Tue Mar 24 21:26:51 +0000 2015,"Müde aber glücklich. In diesem Sinne, gute Nacht!"
Tue Mar 24 20:59:25 +0000 2015,Der @PeppersFan87 malt Raketen an Fenster.
Tue Mar 24 18:30:10 +0000 2015,ich #pilsnerurquell ich #liebe #papas #bier #bullie #bulldog #bulldoglovers #instadog #instapuppy… https://instagram.com/p/0ntzkmQdKd/
Tue Mar 24 18:27:44 +0000 2015,"@berlinwerbung Das hier ist das richtige Diät Bier. alc. 7,5 % vol. Belgisches Starkbier. :-) "
Tue Mar 24 13:06:56 +0000 2015,@ampbere Eins/zwei/drei bier bitte jajajajaj
Tue Mar 24 03:31:22 +0000 2015,Du fehlst mir.
Mon Mar 23 18:38:52 +0000 2015,"#Einbecker wissen das längst :-) .@Biersekte: Macht schön, gesund &amp; glücklich: 5 Gründe, öfter #Bier zu genießen http://www.stylebook.de/beauty/5-Gruende-oefter-Bier-zu-geniessen-619012.html"
Mon Mar 23 18:03:00 +0000 2015,"Ich wollt was schönes schreiben, aber bei diesen Menschen ist alles was ich sagen könnt eine bodenlose Untertreibung."
Mon Mar 23 16:41:20 +0000 2015,@MadeMyDay Jo. Mach lieber das zweite Bier auf.
Mon Mar 23 10:30:20 +0000 2015,Die Mädels in meiner Klasse schwärmen von irgendwelchen Männern. Aileen unterhält sich derzeit über Fußball.
Sun Mar 22 21:45:37 +0000 2015,Bald fahren wir zusammen nach Flensburg zum Handball. Ich liebe ihn sehr.
Sun Mar 22 21:41:28 +0000 2015,Mein bester Freund hat mir nen' Schal von Wisła Kraków besorgt. Und auch sonst liebe ich ihn mehr wie sonst wen.
Sun Mar 22 20:28:59 +0000 2015,Im Shonin Teamchannel wird nur diskutiert wer am meisten Bier trinken wird. Und auch sonst sind alle gut vorbereitet. #Beergress
Sun Mar 22 19:46:13 +0000 2015,"Altes Bier :) (@Brauerei zur Uel in Düsseldorf, Nordrhein-Westfalen w/ @philippschiwek) https://www.swarmapp.com/c/aqm7Hlzff7U"
Sun Mar 22 19:34:36 +0000 2015,Bei den neuen Ermittlerteams kann man gut Bier holen gehen bis es ausgemenschelt hat und die mal am Fall weiterarbeiten #Tatort
Sun Mar 22 19:23:18 +0000 2015,Hab mir ein Bier geholt #lasttweet
Sun Mar 22 19:04:23 +0000 2015,Noch 11 Minuten bis zum Tatort Und dann die Frage ob man sich noch ein Bier holt oder sich besser rasch auf Parship verlieben soll
Sun Mar 22 19:02:19 +0000 2015,@PhilDuw Ich liebe Bielefeld. Aber das Spiel war schrecklich.
Sun Mar 22 18:40:49 +0000 2015,Autotweetzeugs
Sun Mar 22 15:49:30 +0000 2015,"Mag ja die Mannschaft meines Bruders echt gerne, aber das die Herforder trinken ist unverzeihlich."
Sun Mar 22 15:34:21 +0000 2015,"Weil der Sonntag ja nicht schon scheiße genug war, bin ich jetzt in Bielefeld und schaue Kreisliga-Handball."
Sun Mar 22 13:07:02 +0000 2015,Ein Tag hat 24 Stunden Eine Kiste Bier hat 24 Flaschen Ist das jetzt Zufall oder Absicht ? #Sonntagsfrage
Sun Mar 22 10:22:16 +0000 2015,Sonntagvormiddach - Löhnes Bevölkerung komm stramm aussa' Kneipe
Sun Mar 22 10:03:30 +0000 2015,Flasch Bier aufreiß.....fump!!!!
Sun Mar 22 08:38:17 +0000 2015,@PeppersFan87 Das beherrschte perfekt.
Sun Mar 22 08:30:04 +0000 2015,@PeppersFan87 WOHL
Sun Mar 22 08:26:08 +0000 2015,"Was wohl passiert, wenn ich ihn kitzel?"
Sun Mar 22 08:25:40 +0000 2015,Und der pennt immer noch. Das ist ja unfassbar.
Sun Mar 22 08:04:53 +0000 2015,"Twitter ist, wenn das letzte Satzzeichen über der Zeichenbegrenzung liegt."
Sun Mar 22 07:23:40 +0000 2015,Ob ich den @PeppersFan87 wohl einfach wecken sollte?
Sun Mar 22 07:22:23 +0000 2015,Nach'm Aufstehen auf den Kopf aussehen wie dreimal in die Steckdose gepackt. Und was ist Ihr Talent?
Sun Mar 22 00:07:25 +0000 2015,MIT HÖWEDES
Sun Mar 22 00:04:29 +0000 2015,Die Ostwestfalen lachen unter sich. Welch seltenes Schauspiel. @PeppersFan87
Sat Mar 21 21:48:36 +0000 2015,Jonathan ist gut Zuhause angekommen gab keine Krawalle auf dem Stuttgart Eintracht Frankfurt Spiel....Gab mehr ärger weil es kein Bier gab 
Sat Mar 21 20:09:23 +0000 2015,Danke @ReadyPlayerTom für dieses großartige Bier 
Sat Mar 21 19:39:00 +0000 2015,@PeppersFan87 KEINE FREUNDE MEHR
Sat Mar 21 19:21:20 +0000 2015,Jetzt ein leckeres Bier! #bcruhr8 (@Jimmy's Bar - Mövenpick in Essen) https://www.swarmapp.com/c/l682Qfset4k
Sat Mar 21 16:08:16 +0000 2015,Kein Bier vor vier. Passt. ;) #Prost und olé #BVB beim #bcruhr8.... (Heineken) http://untp.beer/s/c165082210 #photo
Sat Mar 21 16:06:08 +0000 2015,Mmmmh. Das erste #bcruhr8-Bier. - Drinking a Heineken by @heineken at @unperfekthaus — http://untp.beer/s/c165081615 #photo
Sat Mar 21 16:05:11 +0000 2015,Mmmmh. Das erste #bcruhr8-Bier. - Drinking a Heineken by @heineken at @unperfekthaus — http://untp.beer/s/c165081321 #photo
Sat Mar 21 15:59:21 +0000 2015,"@HooliNerd Trotzdem schade, ich hätte dir sogar ein Bier ausgegeben."
Sat Mar 21 15:40:58 +0000 2015,@fusisusa @TomHart19 Sorry. Jever ist auch nicht mein Bier.
Sat Mar 21 15:17:52 +0000 2015,Ich mach mir jetzt n Bier auf! #skybuli #effzeh
Sat Mar 21 13:40:29 +0000 2015,Aus wie vielen kisten Bier besteht nach @BBK_Bund-Richtlinie der Notvorrat? #bcruhr8
Sat Mar 21 12:26:29 +0000 2015,Veel regen in Düsseldorf. Dan maar bier drinken. 
Sat Mar 21 10:48:59 +0000 2015,#vodka #Currywurst #bier - meine nachgeholten Tags der verpassten Vorstellungsrunde des #bcruhr8
Sat Mar 21 08:53:26 +0000 2015,"Manche trinken gern Kaffee zum Frühstück, der @SUWTal lieber Kakao, wenn man beides nicht im Haus hat - dann geht auch ganz einfach Bier!"
Sat Mar 21 01:33:02 +0000 2015,Mein Realschulabschluss ist im Sommer zwei Jahre her und Kleider stehen mir immer noch nicht.
Sat Mar 21 00:51:29 +0000 2015,AUF ARTE LÄUFT IRGENDWAS ÜBER DAVID BOWIE. LOVE
Sat Mar 21 00:48:54 +0000 2015,"""Boah, Ich+Ich sind so super."" STOPP!"
Sat Mar 21 00:47:06 +0000 2015,Ich habe ein Bier und deswegen bin ich jetzt sehr glücklich!
Sat Mar 21 00:45:42 +0000 2015,Wer nennt sein Kind Alperen?
Sat Mar 21 00:44:05 +0000 2015,Für mehr spontane Ausflüge an die See.
Sat Mar 21 00:00:32 +0000 2015,Die Art von Freundschaft bei der wir im Notfall unser letztes Bier teilen würden.
Fri Mar 20 22:44:41 +0000 2015,"Hat jemand ne idee, den wievielten korn wir hatten? Bier? Egal. Fahren nach Bochum. #dokumyself"
Fri Mar 20 22:24:44 +0000 2015,Das waren noch Zeiten als der Arzt seinen Patienten Bier auf Rezept verschreiben konnte.Onkel Dr. bitte 2Kisten p.W. 
Fri Mar 20 21:52:38 +0000 2015,"Bier, bitte... Das ist Deutschland meine liebe."
Fri Mar 20 21:52:20 +0000 2015,"Übrigens, morgen sehe ich den @PeppersFan87 wieder. Ihr dürft neidisch sein."
Fri Mar 20 21:41:58 +0000 2015,"Sie belächeln mich, weil ich mit wiederkehrenden Depressionen zu kämpfen habe. Danke, ihr Wichser!"
Fri Mar 20 21:29:08 +0000 2015,Freitagabend. Betrunken und heulend liege ich jetzt im Bett. Oh wie ist das schön.
Fri Mar 20 21:20:25 +0000 2015,Mit dem Facebook Chat rumspielen und Bier Fotos versenden
Fri Mar 20 20:55:59 +0000 2015,Ich gehe jetzt zum Balkon eine rauchen und ein Bier trinken 
Fri Mar 20 20:16:22 +0000 2015,Ein bier Bitte! -Antares Deutschland- @Frankfurt City https://instagram.com/p/0dmx-0x7BX/
Fri Mar 20 19:52:09 +0000 2015,@netzvagabund an bier-vernichtung!;)
Fri Mar 20 16:41:28 +0000 2015,Bier gegen den Frust.
Fri Mar 20 16:16:20 +0000 2015,Und jetzt spielt hier noch irgendwer auf Flöte den Harry Potter Soundtrack. Ich könnte perfekt Triangel dazu spielen.
Fri Mar 20 16:13:40 +0000 2015,"Ich sitze jetzt in der Musikschule und irgendwer spielt auf Klavier die Symphonie von Herr der Ringe. UND NEIN, ICH WEINE NICHT"
Fri Mar 20 16:07:17 +0000 2015,"""Aileen, du siehst aus wie'n Hooligan."" ERNSTHAFT MUTTER?"
Fri Mar 20 16:03:57 +0000 2015,Dumme Selfies hab ich voll drauf.
Fri Mar 20 15:52:11 +0000 2015,Ich bin nachher zum Lernen verabredet. Auf einen Freitag. Was ist nur mit mir passiert?
Fri Mar 20 15:51:49 +0000 2015,Ein #Bier nach dem Besuch der #CeBIT2015
Fri Mar 20 15:50:40 +0000 2015,"Bestes Eis der Stadt gegessen, Ratskeller Bier getrunken und die Balkonien Saison eröffnet "
Fri Mar 20 11:52:03 +0000 2015,#Bier oder #Blog? Was für eine Frage ... #CeBit @Cebit https://instagram.com/p/0ctEJ7ClrC/
Fri Mar 20 10:14:52 +0000 2015,"@ThePianomanJu @NChiggi 99 ging der Kernschatten u.a. auch über Stuttgart, Karlsruhe"
Fri Mar 20 06:48:05 +0000 2015,"Liebes #MoMa, wo bleibt denn Felix? Er wird schon vermisst #Börse"
Thu Mar 19 20:00:41 +0000 2015,@EinPinsel ich brauch mal Bier. Und der Münster Hauptbahnhof ist soooo gemütlich ;)
Thu Mar 19 18:55:14 +0000 2015,"Wie gut, dass morgen Freitag ist.... Habe die Schnauze für heute richtig voll... 12h Arbeit keine Pause und am Ende nicht mal nen Bier..."
Thu Mar 19 16:28:39 +0000 2015,"Wahrlich, ich sage Euch, morgen, am frühen Tag wird sich der Himmel verdunkeln und die Sonne verschwinden. Abends wird es Bier geben. Amen."
Thu Mar 19 16:19:56 +0000 2015,"""HALLO, HIER IST DER KOLLEGE AUS'M OSTEN!"" Awwwww."
Thu Mar 19 12:43:43 +0000 2015,Mein Aschenbecher ist kaputt. Ich heule jetzt.
