Mon Aug 31 22:24:09 +0000 2015,Kommt jemand mit Essen und Bier vorbei?
Thu Aug 20 18:22:35 +0000 2015,"Burger und Bier (@Plan B in Bielefeld, Germany) https://www.swarmapp.com/c/7h7zRa3VpNh"
Thu Aug 20 18:01:40 +0000 2015,"@reisebloegle hey, du bist pünktlich. Das reicht noch ein Bier im Schnitzelkönig :-) #twuttgart"
Thu Aug 20 15:33:07 +0000 2015,"Feierabend Bier! (@Bar Dü Mar in Hüde, Niedersachsen) https://www.swarmapp.com/c/8JS4RDeJzCK"
Thu Aug 20 13:20:02 +0000 2015,"Hmm, werde deutlich zu früh beim #twuttgart Treffpunkt sein. Aber nach dem Meetingtag hab ich mir auch ein Bier verdient..."
Wed Aug 19 21:14:31 +0000 2015,"@avocadoblume @sebbosell @UFCDortmund als ob dämliche emojis was Aussagen würden. War auch aufs Bier bezogen, yo."
Wed Aug 19 21:11:43 +0000 2015,"Kein schlechtes gewissen, weil man lieber noch 2-3 Bier trinkt. Wie ich es hasse."
Wed Aug 19 21:07:38 +0000 2015,Jetzt saß ich einen Abend lang Bier trinkend in der Wohnung der @avocadoblume und hörte keine Musik. Fehlerhafte Matrix ist fehlerhaft.
Wed Aug 19 16:10:48 +0000 2015,"Urgs. Wenn das so weiter regnet, muss ich noch ein Bier trinken. Die Turnschuhe sind sofort durchweicht, wenn ich los laufe.."
Wed Aug 19 15:40:00 +0000 2015,"Im Regen nach Hause laufen. Mal sehen, ob der Imbiss offen hat für ein Bier.. (@Unterer Schloßgarten) https://www.swarmapp.com/c/iBKmQ05DXEw"
Wed Aug 19 00:54:55 +0000 2015,@fridaybutera in deutschland auch. Aber NUR Bier. :-)
Tue Aug 18 17:27:05 +0000 2015,denkbräu feiert Bier-Release-Party #bier #beer #köln #cologne #ehrenfeld @Braustelle https://instagram.com/p/6iHcAgCZ1d/
Mon Aug 17 20:30:30 +0000 2015,RT @hoomygumb: @HubertMayer Oder so. Gehe gleich ins Bier. #mbsmn
Mon Aug 17 17:44:13 +0000 2015,Endlich wieder Bier! 
Sun Aug 16 12:26:34 +0000 2015,"Currywurst, Bier, Fußball. Leben ist gut. (@Volkswagen Arena for WLF vs FRA in Wolfsburg) https://www.swarmapp.com/c/c4lQGTlhjP5"
Sun Aug 16 11:55:45 +0000 2015,"@DerBuddler Anfängerfehler, ich habe, schon vor Jahrzehnten, pallettenweise Bier nach Schweden geschmuggelt "
Sat Aug 15 21:05:09 +0000 2015,@SerapGueler So fröhlich wie die aussehen haben die ihr Bier aus Köln mitgebracht 
Sat Aug 15 20:08:29 +0000 2015,Wer kommt vorbei? Biete überbackene Nachos und Bier.
Sat Aug 15 19:20:58 +0000 2015,Hopfenlust #Glaabsbräu #Bier #enjoylife #aroundtheworld @NAIV https://instagram.com/p/6amFvHno6H/
Fri Aug 14 20:12:13 +0000 2015,"#Bier trinken (@Seifen Horst in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/cUZXTddFIxB"
Fri Aug 14 18:35:34 +0000 2015,@MobiTigger Igitt warmes Bier :P
Fri Aug 14 16:52:51 +0000 2015,Kein Bier hier. Mir gönnt Man(n) auch garnix.
Fri Aug 14 16:41:25 +0000 2015,@hirngabel wir kommen gerne nächste Woche Samstagabenfd auf ein oder zwei Bier vorbei :)
Fri Aug 14 16:35:48 +0000 2015,"Ey Dortmund, muss gleich ne knappe Stunde am Bhf warten. Jemand Bier?"
Fri Aug 14 16:30:00 +0000 2015,"@LLcurly mhh, gutes Bier!"
Fri Aug 14 10:34:17 +0000 2015,Ich würde ja gerne ein Dom Foto machen. Gibt es aber hier nicht. Nur altes Bier. (@Düsseldorf Hauptbahnhof) https://www.swarmapp.com/c/4TLEBHZ9aA9
Thu Aug 13 19:57:26 +0000 2015,Ich könnte ja mal Bier trinken und Windows 10 installieren
Thu Aug 13 18:20:23 +0000 2015,Hier stecken die Stöcke aber echt mal wieder extrem tief im Rektum. BIER! #ajp
Thu Aug 13 18:11:08 +0000 2015,#mobileskino mit nem guten Bier #schanzenbraeu :-) (@Volkspark Marienberg) http://4sq.com/1Nt6tdS
Thu Aug 13 17:55:43 +0000 2015,"Es gibt ACDC Bier? Hmm, und jetzt fällt mir auch nichts mehr ein ... @Köln Hbf https://instagram.com/p/6VSvcgGJmE/"
Thu Aug 13 17:52:47 +0000 2015,Wer bringt mir jetzt Bier?
Wed Aug 12 20:56:14 +0000 2015,3x5L of bier? No problem! PROST @Eisgrub 1. Mainzer Gasthausbrauerei https://instagram.com/p/6TCmy5isxS/
Wed Aug 12 19:28:50 +0000 2015,"Auf dem Balkon sitzen und #Steak futtern, fehlt nur noch das Bier. Aber wegen der Perseiden will ich… https://instagram.com/p/6S4mpnPkFa/"
Wed Aug 12 19:05:35 +0000 2015,"Eimer Bier und Shisha (@Temptation in Leverkusen, Nordrhein Westfalen w/ @therealmytk) https://www.swarmapp.com/c/h7bWGMGuk3Y"
Wed Aug 12 14:09:38 +0000 2015,"@dennyf @pManderfeld Wer Bier hat, dem ist Regen egal ;)"
Wed Aug 12 07:10:26 +0000 2015,@interchris und Bier. Da ist der Preis in den letzten 8 Jahren in München auch explodiert #teuro
Tue Aug 11 20:47:35 +0000 2015,Bavarian bier. @Hotel Alt-Ringlein https://instagram.com/p/6Qc0iTqwQ4/
Tue Aug 11 18:01:31 +0000 2015,"@frauherbststurm Dem kann ich nicht widersprechen Intelligenter wär's gewesen, das Bier zu trinken "
Tue Aug 11 06:48:56 +0000 2015,Täglich drei Bier und einen Whisky: 110-Jährige behauptet: Alkohol schenkte ... - FOCUS Online http://dlvr.it/BpczjP
Mon Aug 10 20:44:14 +0000 2015,Wir stinken nach Bier und Schweiß und tragen den Stolz der Mannschaft im Herzen. Immer wieder Spieltach!
Mon Aug 10 20:19:23 +0000 2015,"Buchse aus, Freund schläft, Bier raus. Zeit für Männlichkeit."
Mon Aug 10 20:16:16 +0000 2015,"Im übrigen, Glückwunsch @HarlekinBSC zum Sieg! :)"
Mon Aug 10 20:13:17 +0000 2015,"""ISCH FICKE DEINE MUDDA DU FOTZE!"" Sachlich kann er, wa'?"
Mon Aug 10 20:09:57 +0000 2015,"Und dann kommt da so ein Hoffenheim Fan und will mir was von Kommerz erzählen. Ja hömma' haste se' nicht mehr alle, oder wat?"
Mon Aug 10 20:03:12 +0000 2015,110-jährige Agnes Fenton trank 70 Jahre lang täglich Bier und Whiskey - RP ONLINE http://dlvr.it/BpQhXm
Mon Aug 10 19:46:34 +0000 2015,Täglich drei Bier und einen Whisky: 110-Jährige behauptet: Alkohol schenkte ... - FOCUS Online http://dlvr.it/BpQW3Q
Mon Aug 10 18:42:07 +0000 2015,Täglich drei Bier und einen Whisky: 110-Jährige behauptet: Alkohol schenkte ... - FOCUS Online http://dlvr.it/BpPKgz
Mon Aug 10 18:01:45 +0000 2015,Feines #barsession-bier - Drinking a Brinkhoff's No. 1 by Radeberger Gruppe @Daddy Blatzheim — http://untp.beer/s/c213089294 #photo
Mon Aug 10 16:27:37 +0000 2015,@bondalex Zufällig bin ich das.
Mon Aug 10 10:16:29 +0000 2015,"So verrückt ist die Idee gar nicht, alles hinter mich zu lassen und die Welt zu bereisen."
Mon Aug 10 09:04:36 +0000 2015,110-jährige Agnes Fenton trank 70 Jahre lang täglich Bier und Whiskey - RP ONLINE http://dlvr.it/Bp7dVy
Mon Aug 10 08:40:05 +0000 2015,Agnes Fenton feiert 110. Geburtstag: Frau trank 70 Jahre lang täglich Bier und ... - RP ONLINE http://dlvr.it/Bp71G6
Mon Aug 10 07:45:43 +0000 2015,#Bier &amp; #Likör = #BierLikör - wieder eine neue #Website fertig @MIU24 https://instagram.com/p/6MejLGEol3/
Mon Aug 10 07:44:36 +0000 2015,110-jährige Agnes Fenton trank 70 Jahre lang täglich Bier und Whiskey - RP ONLINE http://dlvr.it/Bp5fxT
Mon Aug 10 07:25:06 +0000 2015,Agnes Fenton feiert 110. Geburtstag: Frau trank 70 Jahre lang täglich Bier und ... - RP ONLINE http://dlvr.it/Bp55fC
Mon Aug 10 07:03:12 +0000 2015,110-jährige Agnes Fenton trank 70 Jahre lang täglich Bier und Whiskey - RP ONLINE http://dlvr.it/Bp4pXM
Mon Aug 10 05:59:34 +0000 2015,Agnes Fenton feiert 110. Geburtstag: Frau trank 70 Jahre lang täglich Bier und ... - RP ONLINE http://dlvr.it/Bp3gTP
Sun Aug 09 15:59:04 +0000 2015,"Bier, Sonnenbrillen, und Pommes @Paulaner's Biergarten https://instagram.com/p/6KyNopjc64/"
Sun Aug 09 15:00:38 +0000 2015,"Nach-Urlaubs-Bier (@Rheinlust in Bonn, Nordrhein-Westfalen w/ @redhairedgirl77) https://www.swarmapp.com/c/4X9B8YMTR7F"
Sun Aug 09 11:19:33 +0000 2015,Frau trinkt seit 70 Jahren drei Bier am Tag - und feiert 110. Geburtstag - STERN http://dlvr.it/BnjL8F
Sun Aug 09 09:39:31 +0000 2015,Ihr könnt mir alle überhaupt nichts! #Bier 
Sun Aug 09 07:11:58 +0000 2015,Lichterfest in Bodenwerder. #lichterfest #bodenwerder #feuerwerk #kirmes #camping #bier #beer #food… https://instagram.com/p/6J15Bsv536/
Sun Aug 09 04:35:53 +0000 2015,"Und dann wieder diese Duftnote aus Bier, Schweiß, Sonnencreme, Grill, Bauernhof usw. Mjam :D Zum Glück diesmal kein Unterhof. #Kilsbach"
Sat Aug 08 23:07:18 +0000 2015,Jetzt schläft er und ich habe das Gefühl ich würde neben einem Sägewerk wohnen.
Sat Aug 08 19:32:57 +0000 2015,Burger und Bier - nach diesem ereignisreichen Tag haben wir uns das verdient #deinNRW #foodporn #Bier… https://instagram.com/p/6Il5XpLiuv/
Sat Aug 08 17:40:23 +0000 2015,Erfrischung mit #Bier von meiner Stippvisite in den Bayerischen Wald. #beer #bavaria #bayerwald… https://instagram.com/p/6IZA3ll1YQ/
Sat Aug 08 17:16:21 +0000 2015,"Nach der getanen Arbeit, schön im Strandkorb am Teich entspannen und ein kühles Bier dazu. Perfekt!… https://instagram.com/p/6IWQ09AhBD/"
Sat Aug 08 12:56:51 +0000 2015,Das kälteste Bier Bornheims !!! Trink &amp; lies !!! #bernemerkerb #2015… https://instagram.com/p/6H4j-FLDBcdWoThaf4lUjjgge50ovFeeGDULM0/
Sat Aug 08 11:11:15 +0000 2015,Ich darf mir kein Bier holen :( #acab
Sat Aug 08 01:02:29 +0000 2015,"Erster Abend in Düsseldorf: nicht das erste Bier, aber das erste Alt. @Ham Ham - bei Josef https://instagram.com/p/6Gm0ELwBsV/"
Fri Aug 07 22:38:34 +0000 2015,@HauntedGirl2014 Dachte das wir vielleicht einen Tag zusammen irgendwo verbringen können. :)
Fri Aug 07 19:54:52 +0000 2015,"Da meine Mutter ja nicht mehr mit mir redet, kann ich nun endlich rülpsen ohne angemeckert zu werden \o/"
Fri Aug 07 19:26:44 +0000 2015,Bier in Köln um Umgebung @Köln Pulheim https://instagram.com/p/6GAY0XEBoB/
Fri Aug 07 16:06:40 +0000 2015,Kein Besuch in #bochum ohne ein #fiege. #beer #beercontent #summer #bier #ruhrpott #ruhrgebiet @… https://instagram.com/p/6FpfiER0cz/
Fri Aug 07 15:42:44 +0000 2015,@1LIVE Ich habe mich verliebt in euch.
Fri Aug 07 15:42:04 +0000 2015,Danke @1LIVE für Die Toten Hosen &lt;3
Fri Aug 07 08:17:47 +0000 2015,Der Jahreslauf des Bieres. #bier #helles #braumanufaktur @Hotel… https://instagram.com/p/6Ez1Y-nPs7qgSMAq598JnAHBMmAASE1gVqcnc0/
Thu Aug 06 21:29:04 +0000 2015,Jetzt erstmal die vier Bier ausradeln.
Thu Aug 06 19:57:52 +0000 2015,Man muss sich nicht mit Politik auskennen um zu sagen wie scheiße Nazis sind.
Thu Aug 06 18:56:42 +0000 2015,"hier ist das Bier auch günstig 1,40€/Radler (cc @KBMusicmc)"
Thu Aug 06 17:00:26 +0000 2015,India Pale Ale und Klostersud #lecker #bier @7000 Eichen wehlheiden https://instagram.com/p/6DK2czOgZs/
Thu Aug 06 16:56:52 +0000 2015,"Das erst Bier ist schon in der Kehle verdunstet (@Bierfest in Offenbach am Main, Hessen) https://www.swarmapp.com/c/ffGR0rPiTi0"
Thu Aug 06 15:13:33 +0000 2015,Bier und DMAX. Wie so ein richtiger Kerl.
Thu Aug 06 08:49:54 +0000 2015,"Das erste Bier ist schon auf dem Wasen. Schausteller Joachim Kritz: ""Ist aber noch warm!"" #Stuttgart #cannstatt"
Wed Aug 05 21:00:35 +0000 2015,Ein Bier @Waldgaststätte Schützenheim Thailand Food https://instagram.com/p/6BBidNOb_4/
Wed Aug 05 19:09:31 +0000 2015,"#Münster #Bier #Deutchland #Mexico #EstabaMuyBuena @Münster, Germany https://instagram.com/p/6A004mkioK/"
Wed Aug 05 15:10:29 +0000 2015,@a_prigge Ich trinke nur Bier das nach dem bayerischen Reinheitsgebot gebraut wird! 
Wed Aug 05 14:34:04 +0000 2015,"Ich bin die die wie wild mit ihrer Mutter im Auto Queen singt. Falls ihr uns hört, man darf gerne winken."
Wed Aug 05 13:11:29 +0000 2015,Tschüss Hannover. War nett mit dir.
Tue Aug 04 21:25:48 +0000 2015,Geschafft! 5 Std. Fahrt ohne Stau... 10 Minuten Pause ;-) Erst mal ein Bier! (@Zweibrücken) https://www.swarmapp.com/c/0hiI0LnPBcb
Tue Aug 04 18:24:43 +0000 2015,"Ey, Gamescom-Menschen, die nächsten Tagen abends Bier?"
Tue Aug 04 16:36:42 +0000 2015,Warten auf das Essen!!! #futtern_wie_bei_Muttern #sommer #Feierabend #essen #trinken #beer #bier @… https://instagram.com/p/59-i0xv58z/
Mon Aug 03 22:24:49 +0000 2015,Chillout Beer with some tunes. #köln #cologne #kölsch #beer #bier @Hotel Breslauer Hof am Dom Köln https://instagram.com/p/58BljUGBcX/
Mon Aug 03 21:47:34 +0000 2015,"@avocadoblume @schaaafi wie schön das 0,5l prost nur 29 cent kosten. 3l bier für &lt; 2€"
Mon Aug 03 18:32:26 +0000 2015,Es ist wunderschön.
Mon Aug 03 17:29:23 +0000 2015,"So, und jetzt ratet mal die Biermarke...! #beer #germanbeer #bier #marke #quiz #summer… https://instagram.com/p/57fx0FDnlX/"
Mon Aug 03 15:33:59 +0000 2015,...und danach ein kühles #Bier #Kletterwald #Strassmühle bei #Nürnberg @Kletterwald Straßmühle https://instagram.com/p/57SkuFzFOr/
Mon Aug 03 14:50:17 +0000 2015,#Beer #Bier #drink #guinness #food @Maschsee Hannover https://instagram.com/p/57NkiJQBcK/
Mon Aug 03 13:41:36 +0000 2015,@Moricart den Rest gebe ich mir dann gleich im Garten… Bei einem kühlen Bier.
Sun Aug 02 18:47:10 +0000 2015,ich trinke ein leckeres weizenbier und wünsche euch einen schönen Abend ;) @R3F_92 #Rap #Leckeres #Bier #Abend
Sun Aug 02 16:18:50 +0000 2015,Es ist und bleibt einfach weltklasse... Süffig wie verrückt... (Reckendorfer Keller-Bier) http://untp.beer/s/c210176535 #photo
Sun Aug 02 15:22:28 +0000 2015,"@frauherbststurm Keine Sorge, aber ein kaltes Bier hätte ich auch gerne "
Sat Aug 01 23:12:04 +0000 2015,"Frühstück, Sekt, Suppe, Kaffee, Kuchen, Abendessen, Wein, Bier. #Tagesablauf"
Sat Aug 01 23:04:22 +0000 2015,Ich habe Bier. Die Welt ist hart in Ordnung.
Sat Aug 01 23:03:04 +0000 2015,"@kamikazow nur, wenn ich dafür Bier bekomme. auch: lol studienende. Hier, @derfnull fing nach mir an, und hat mehr achievements"
Sat Aug 01 22:41:07 +0000 2015,"Ich bekam Gitarrenmusik, Bier und mitleidige Blicke, weil Wacken so kacke war. Hier bin ich nicht falsch."
Sat Aug 01 21:59:09 +0000 2015,man reiche mir Bier. Und ab und an Brüste. mehr brauche ich nicht.
Sat Aug 01 21:51:11 +0000 2015,Bier! (@runzpumpe w/ @mcschnitzel) https://www.swarmapp.com/c/gH820nWYZQb
Sat Aug 01 21:01:45 +0000 2015,Der @Herr_Nic bringt Bier mit. Lässt es mich angucken und nimmt es wieder mit nach Hause. #RealLove
Sat Aug 01 20:54:40 +0000 2015,"#insegna #cinghione #leale #franconia #tomare #birra #bier @Krug, Brauerei und Gaststtte https://instagram.com/p/52trtWvPVe/"
Sat Aug 01 19:12:10 +0000 2015,Bier und Abendsonne. @Halde Norddeutschland https://instagram.com/p/52h8-rQVKX/
Sat Aug 01 18:40:28 +0000 2015,Läuft bei uns! #burgergehenimmer @Herr Lehmann Bier &amp; Burger https://instagram.com/p/52eS9sGaQsF6iPzf226zR80AEC8ntd69MAhqY0/
Sat Aug 01 17:02:02 +0000 2015,Bei dem Wetter mal #Koblenz von oben genießen. #sun #weather #Sky #skyporn #bier @… https://instagram.com/p/52TDqaltft/
Sat Aug 01 14:18:28 +0000 2015,gleich total ungewohnt: im Zug sitzen und kein Bier dabei haben
Sat Aug 01 07:21:00 +0000 2015,"Bardentreffen! Zuerst, treffen wir in meinem Wohnung für bier trinken! #FindYourParty - http://join.meetball.com/rEaEV"
