Sat Oct 31 18:50:56 +0000 2015,Fotoausbeute heute: Bier und Torte.
Wed Oct 28 18:04:47 +0000 2015,Ich habe Bier. (@Brommy Kneipe in Bremen) https://www.swarmapp.com/c/0WlM1l5wtlT
Wed Oct 28 17:29:06 +0000 2015,Ein gross bier! 1 litre of loveliness. @Restaurant Löwenbräu Heidelberg https://instagram.com/p/9Y8HFXOY2J/
Wed Oct 28 16:44:58 +0000 2015,"Schnell 2 Bier holen und dann zum Bus. (@Würzburg Hauptbahnhof in Würzburg, Bayern) https://www.swarmapp.com/c/gbVzDFTlCld"
Wed Oct 28 16:26:16 +0000 2015,"Feierabend Bier gönnez-vous. :) (@Belgisches Viertel in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/05TZrg0Igek"
Wed Oct 28 15:28:22 +0000 2015,Beste Bier beste Verein #BVB @Dortmund Kruckel https://instagram.com/p/9YuSwJsXJc/
Sun Oct 25 19:09:03 +0000 2015,"Die Brauerei #Kürzer und #WOYTON verbindet eine lange, innige, von Bier &amp; Koffein getränkte… https://instagram.com/p/9RZKDaMHWE/"
Sun Oct 25 18:13:20 +0000 2015,After-Show-Bier #bvbfca #teamarne #prost (@Stadion Rote Erde in Dortmund w/ @steffenstrunk) https://www.swarmapp.com/c/3ozs96g7oob
Sun Oct 25 17:52:54 +0000 2015,@Daniel_TO @AnnaDelicious1 &#13;&#13;Was habt ihr da für Bier?
Sun Oct 25 17:42:06 +0000 2015,"@AnnaDelicious1 @Daniel_TO jetzt bekommt sie wieder Sonderrechte, Zeit für'n Bier leute"
Sun Oct 25 13:57:03 +0000 2015,Wichtiges Transportgut. #Dortmund #Bier @Bochum Dahlhausen Railway Museum https://instagram.com/p/9Q1dCqA-3L/
Sun Oct 25 10:54:52 +0000 2015,@lisasteinmann Da war ich auch seit Ewigkeiten nicht mehr Wir sollten mal zusammen dort 'nen Bier trinken 
Sun Oct 25 00:43:30 +0000 2015,"Und dabei Lösungen ersinnen, wie man Bier aus dem Fass raus bekommt."
Sun Oct 25 00:25:00 +0000 2015,Gah. 3 Bier getrunken und wieso ist dieses Chaosdorf am Arsch der Heide?
Sat Oct 24 21:33:43 +0000 2015,@stuffl1893 alternativ Bier 
Sat Oct 24 17:45:22 +0000 2015,Wer hat Lust auf ein Bier?
Sat Oct 24 15:42:17 +0000 2015,"Ey, jmalte! Lass uns was mit Bier machen! #malproBiern #proBier #verkostung #bier @Bad Bentheim https://instagram.com/p/9OcsxThc9y/"
Sat Oct 24 14:36:12 +0000 2015,"Hennes in Arbeit. Kommt vorbei, gleich werden die Lackstifte freigegeben! Bier und Fassbrause gibbet… https://instagram.com/p/9OVI46KdpG/"
Fri Oct 23 19:46:57 +0000 2015,"Bier und wein. #dusseldorf @Düsseldorf, Germany https://instagram.com/p/9MT6CYFb-V/"
Fri Oct 23 19:08:46 +0000 2015,"Bundesliga, Bier und Portwein. Das Wochenende ist eröffnet!"
Fri Oct 23 16:04:59 +0000 2015,"Vorbereitung für morgen: Krustenbraten in Bier eingelegt. Morgen dann auf dem Grill, Low&amp;Slow. #Food… https://instagram.com/p/9L6gpfl3Bd/"
Thu Oct 22 20:37:43 +0000 2015,"Hm. Dieses Bier schmeckt interessant. Extrem süffig, leicht fruchtig, fast süß."
Thu Oct 22 19:30:28 +0000 2015,Fleisch und Bier! Läuft! @Cafe Modigliani https://instagram.com/p/9JtOz-ipE4/
Thu Oct 22 18:38:33 +0000 2015,@AnnaDelicious1 &#13;&#13;Voll geil... Hauptsache du bekommst das Bier auf:-P
Thu Oct 22 17:40:05 +0000 2015,Macht wer nen Bier auf?
Thu Oct 22 14:42:45 +0000 2015,On gravity - Drinking a Bock Bier by Mahr's Bru @Mahrs Bräu — http://untp.beer/s/c237569730
Thu Oct 22 14:42:19 +0000 2015,Im Rewe mir eben Elefanten Bier gekauft freu freu freu. (@Newchurchs homebase) https://www.swarmapp.com/c/fDU8K5fYykq
Wed Oct 21 21:16:45 +0000 2015,"Bier, Bier, Bier, Tangente, Tangente, Tangente. (@Hill Valley in Göttingen) https://www.swarmapp.com/c/1mrqbGinhw8"
Wed Oct 21 18:42:10 +0000 2015,"#bier #hallogermany #homeawayfromhome @Wöschbach, Baden-Wurttemberg, Germany https://instagram.com/p/9HC6F6AE-A/"
Wed Oct 21 17:11:23 +0000 2015,Erst mal nen Feierabend #bier @Köln Pulheim https://instagram.com/p/9G4g7LgFsQ/
Wed Oct 21 14:57:48 +0000 2015,OktobeR @Bier-Esel https://instagram.com/p/9GpOzBzJgS/
Wed Oct 21 09:15:04 +0000 2015,@KasiaKasunka Du hast Lust auf BIER?
Tue Oct 20 20:03:00 +0000 2015,#Bier #tasting in Bielefeld @Brauhaus Joh.Albrecht Bielefeld https://instagram.com/p/9EnXOVwXmc/
Tue Oct 20 17:27:58 +0000 2015,@jhernst warmes Bier und viel Schlaf.
Tue Oct 20 11:14:05 +0000 2015,In dubio pro reo? Ist ja bei Acht Cola Acht Bier genau so... 
Mon Oct 19 17:28:36 +0000 2015,Ich hatte Durst. Das Herrenbräu kam da genau richtig :) #ingolstadt #Bier #beer #süffig @… https://instagram.com/p/9Bw5S4v0sA/
Mon Oct 19 11:36:21 +0000 2015,"Hier gibt es Monster Energie für nur 1€ und Bier für 0,29€ :D (at @REWE_supermarkt in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/hD9sQRxU7gN"
Sun Oct 18 18:20:56 +0000 2015,Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Hamburger Hof — http://untp.beer/s/c236677023 #photo
Sun Oct 18 17:50:08 +0000 2015,So. Mettstulle und Bier. Läuft. (@brUtkasten - Kino im U w/ @achimh) https://www.swarmapp.com/c/hYcG6qh7umG
Sat Oct 17 22:30:45 +0000 2015,Elektrisiertes warten auf ein Bier @Gwendoline https://instagram.com/p/89J4l5n789jt1gao-Mo5_XZosbNhsLW_2PulM0/
Sat Oct 17 19:07:08 +0000 2015,Kaffee würde den Abend retten sag ich gerade.. Und mein Papa holt zwei Bier Der Gute...
Fri Oct 16 18:14:58 +0000 2015,@carocarryberry nein Bier ist erlaubt.. Bekommen Kühe auch
Fri Oct 16 16:59:47 +0000 2015,Irgendetwas mit #Bier und #Handy #twagdeburg (@Canapé) https://www.swarmapp.com/c/gCdOaYqaMOQ
Fri Oct 16 14:39:15 +0000 2015,"Das Gute an dem Wetter - das Bier ist kalt, das Schlechte - die Pommes auch. #fbm15"
Fri Oct 16 11:20:03 +0000 2015,@Backdraft007 Warmes Bier und Wollwams wirken Wunder. 
Thu Oct 15 20:11:27 +0000 2015,Lecker Schoko-Ale! #ipa #craftbeer #lastday @Craft Bier Bar Hannover https://instagram.com/p/83wWaGxTwo/
Thu Oct 15 13:51:46 +0000 2015,@avocadoblume niemand sagt was gegen Bier und gute Laune. Aber das hier hat was von schlagerparade.
Wed Oct 14 17:07:27 +0000 2015,"Bier! (@Angusto Steakhaus in Cologne, North Rhine-Westphalia) https://www.swarmapp.com/c/bR2Gugti96P"
Wed Oct 14 13:22:41 +0000 2015,Ein Bier auf @hedoniker mit @Mietgeist #fbm15
Tue Oct 13 18:54:22 +0000 2015,"@martijn_kosters, genau meine Einstellung! Genießen ist besser als sich im das Risiko zu sorgen. Und Bier ist ja zum Glück ohne Zucker "
Tue Oct 13 18:08:58 +0000 2015,"Freue mich auf das heutige #almostdaily, Chips und Bier stehen parat, kann dann losgehen #rbtv"
Tue Oct 13 17:58:09 +0000 2015,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/hDJyGcxKJ7I"
Tue Oct 13 17:33:35 +0000 2015,Das #duckstein ist mal was anderes. Aber auch sehr #lecker #Celle #Bier #beer @Bier-Akademie https://instagram.com/p/8yUsgFP0sI/
Tue Oct 13 10:13:15 +0000 2015, Es gibt Grund zur #Besorgnis @MInkorrekt will kein #Bier mehr 
Tue Oct 13 09:37:15 +0000 2015,Bier und Erbsensuppe. #fbm15
Mon Oct 12 22:01:58 +0000 2015,Oktoberfest 2k15 #Dirndl #Lederhose #Oktoberfest #Hasselfelde #Bier #Bretzel @Schützenplatz In… https://instagram.com/p/8wOni_x9Uz/
Mon Oct 12 12:15:05 +0000 2015,2 Tage #Bayernschmaus 23. und 24.10.2015. Mit frisch gezapftem #bayrischem Bier (HB) und bayrisch… https://instagram.com/p/8vLdFdIr6E/
Sun Oct 11 18:55:18 +0000 2015,Nach 24 Km im Siebengebirge der verdiente Lohn :)... (Allgäuer Büble Bier Bayrisch Hell) http://untp.beer/s/c234320062 #photo
Sun Oct 11 17:04:42 +0000 2015,Bier Fest! @Folksfest (Stuttgart Oktoberfest) https://instagram.com/p/8tHzFdDYLo/
Sat Oct 10 21:58:43 +0000 2015,@becci_wtf wurde mit Bier und Ritter der Kokusnuss abgelenkt
Sat Oct 10 18:29:18 +0000 2015,Awesome!!! Empfehlung vom Bier Sommelier!!! - Drinking a Miss California IPA @Jahrhunderthalle - http://untp.beer/s/c233721076 #photo
Sat Oct 10 16:39:10 +0000 2015,After the #cologne #zoo... Jetz Zeit für #schnitzel und #kölsch #bier! #saturday #weekend @Brauhaus… https://instagram.com/p/8qgFlLH4sD/
Sat Oct 10 16:38:14 +0000 2015,"In love with #Mainz, in love with #craftbeer. Wir machen #Feierabend und stoßen mit #Eulchen Bier… https://instagram.com/p/8qf-qiDV3d/"
Sat Oct 10 15:03:06 +0000 2015,Oktoberfest - Currywurst mit Bier @Menden-Halingen https://instagram.com/p/8qVFv8wLAwkot-tbWGh1d-vikQj5x1PYdDvNU0/
Sat Oct 10 12:57:39 +0000 2015,Jetzt ist aber wirklich Schluss mit lustig hier. #ICE770 hat kein Bier mehr an Bord. Nur noch Weizen.
Sat Oct 10 12:48:27 +0000 2015,Deckel noch ohne Bier #Bierdeckel #barcampDUS @Barcamp Düsseldorf https://instagram.com/p/8qFrxhRG6u/
Sat Oct 10 12:41:36 +0000 2015,"Bier (@Platzhirsch in Stuttgart, Baden-Württemberg) https://www.swarmapp.com/c/kt3FeQkyBvj"
Sat Oct 10 09:59:41 +0000 2015,Fahrrad satteln Richtung Bier. Vorher @mokka98 in OF einsammeln.
Fri Oct 09 12:40:01 +0000 2015,"Feierabend! Heute Abend ins Sauerland und dann morgen weiter nach #Gießen. Juhu, @deissler, Bier und @GIESSEN46ers. #guterPlan"
Wed Oct 07 16:21:39 +0000 2015,#MeinWassen mexicana im deutschland #bier #Ahuevo @Klauss &amp; Klauss Festwirte https://instagram.com/p/8ivssLwwzX/
Wed Oct 07 15:22:12 +0000 2015,"Erst Proteine, dann Hopfen und Malz. #powerBar #gude #bier #protein #shake #aftertraining #sportsmilk… https://instagram.com/p/8io5LmRNj2/"
Tue Oct 06 21:44:10 +0000 2015,Süffig. Mehr kann man nicht sagen. Tolles Bier. - Drinking a Rotbier @Hausbrauerei Altstadthof - http://untp.beer/s/c232494969 #photo
Tue Oct 06 20:10:59 +0000 2015,"Bier! (@Landbierparadies in Nürnberg, Bayern w/ @dr_fisheye) https://www.swarmapp.com/c/3FAufOFgKar"
Tue Oct 06 19:06:48 +0000 2015,Spiel's noch einmal Sam. #bier am #klavier @Hotel Avalon Königslutter https://instagram.com/p/8gdzX7rclq/
Tue Oct 06 17:10:39 +0000 2015,"1 Tag ohne Bier war schon einer zu viel. (@REWE City - @rewe_supermarkt in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/hYZWyX0gk8t"
Tue Oct 06 10:31:54 +0000 2015,Der Kühlschrank wäre dann schonmal gefüllt #Bier #Kühlschrank #neueBude @Dieburg https://instagram.com/p/8fi4IJsIIg/
Mon Oct 05 20:03:58 +0000 2015,Drinking a Summer Ale by Bier-Hannes Brauerei zur Mainkur @Bier-Hannes — http://untp.beer/s/c232292060
Mon Oct 05 20:00:37 +0000 2015,Drinking an Export Dunkel by Bier-Hannes Brauerei zur Mainkur @Bier-Hannes — http://untp.beer/s/c232291560
Mon Oct 05 20:00:21 +0000 2015,Drinking a Zwickel Pils by Bier-Hannes Brauerei zur Mainkur @Bier-Hannes — http://untp.beer/s/c232291470
Mon Oct 05 17:53:02 +0000 2015,Bier Nachschub (@E-Center Löffler in Winterberg) https://www.swarmapp.com/c/1aDcaTLUoCb
Mon Oct 05 16:01:08 +0000 2015,@Torsten_Weil im puren Kapitalismus. Bier darf nur im Hotel gekauft werden
Mon Oct 05 11:22:32 +0000 2015,Leckere Bierspezialität genießen: Waldecker LandBier #Bier #Edersee #Talsperre #Waldeck #beer… https://instagram.com/p/8dD4FRLigt/
Sun Oct 04 20:41:32 +0000 2015,Drinking a Schönbrunner Fichtelgebirgs-Bier Pils by Lang-Bru @Selb — http://untp.beer/s/c232065827 #photo
Sun Oct 04 17:10:14 +0000 2015,#bier #aufzug in der #altstadt #düsseldorf #fundstück beim #spaziergang #sonntags @Altstadt Düsseldorf https://instagram.com/p/8bG3kWzR-F/
Sun Oct 04 15:38:28 +0000 2015,Bier! (@kunstwerk in Gummersbach) https://www.swarmapp.com/c/cNgMP5ZEc8b
Sun Oct 04 10:32:57 +0000 2015,"Gestern war's ne lustige Mischung in Eichstätt. Aus Magic, (4-/, Swing/Jazz und Bier. Jetzt regnet es und ich hör die Tropfen"
Sat Oct 03 23:47:45 +0000 2015,Uff. Etwas viel Bier. Ich bereue nix
Sat Oct 03 21:13:12 +0000 2015,"FEIERABEND bier (@Chillerbalkon in Offenburg, BW) https://www.swarmapp.com/c/519dcjAfsNu"
Sat Oct 03 19:19:28 +0000 2015,Bier &amp; Irish Flag gegen den Werder-Frust (@Paddy's Pit Irish Pub in Bremen) https://www.swarmapp.com/c/6gvuXR1nCdU
Sat Oct 03 18:25:28 +0000 2015,Man nennt es Oktoberfest. Ich trinke einfach nur große Mengen gutes Bier.
Sat Oct 03 12:39:24 +0000 2015,Endlich wieder Bier :) (@Eisen in Bremen w/ @puschimaus13 @ingozen @janarcho) https://www.swarmapp.com/c/4iNBwzieRDX
Sat Oct 03 12:02:25 +0000 2015,"DEUTSCHLAND DU OPFER, GIB BIER!"
Fri Oct 02 21:37:55 +0000 2015,"Freunde, es war gut :-D #Oktoberfest #domplatz #Erfurt #Bier #beer @Oktoberfest Erfurt https://instagram.com/p/8Wb6WuF1w6/"
Fri Oct 02 20:55:19 +0000 2015,Bier! Bier!! BIER!!! (@Bundesagentur für Arbeit in Bremen w/ @mcschnitzel @puschimaus13) https://www.swarmapp.com/c/gTa1bUL0hOC
Fri Oct 02 15:20:04 +0000 2015,"Weiter geht's mit Bier (@Brauerei Knoblach in Schammelsdorf, Bayern) https://www.swarmapp.com/c/bN8n1DOnoFe"
Fri Oct 02 13:12:02 +0000 2015,Drinking a Helles Bier by Hausbrauerei Altstadthof @Hausbrauerei Altstadthof — http://untp.beer/s/c230856580 #photo
Thu Oct 01 13:19:18 +0000 2015,"Nur EIN Bier! (@Globus Getränkecenter in Idar-Oberstein, Rheinland-Pfalz) https://www.swarmapp.com/c/hRTC8HrSZyD"
