Sun Sep 30 21:44:10 +0000 2018,"#interrail ist, was du drauß machst... #bayreuth #bier #aktien #freundschaft #kanapee @Kanapee https://www.instagram.com/p/BoXaQ9jF07B/?utm_source=ig_twitter_share&amp;igshid=diyog48tuiny"
Thu Sep 27 16:44:18 +0000 2018,#bier stuttgarterhofbraeu #volksfestbier #abendessen #beer #dinner @Nagold https://www.instagram.com/p/BoPJiM_h9Bd/?utm_source=ig_twitter_share&amp;igshid=12py0l12g4816
Wed Sep 26 17:17:04 +0000 2018,Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Bavaria am Dom — http://untp.beer/s/c656387209
Wed Sep 26 09:52:09 +0000 2018,"Lol #männerspielzeug #bier #puppe #zapfhahn #lol @Aschaffenburg, Germany https://www.instagram.com/p/BoL1eIqDtyz/?utm_source=ig_twitter_share&amp;igshid=v33g4uimt6m6"
Mon Sep 24 22:53:47 +0000 2018,martina_karin_b #birthday nachfeiern am #altstadtfest #nürnberg #bierwerk #funny #bier #party @chrissyloschge playandfun #cvolkmer @Bierwerk Altstadtfest https://www.instagram.com/p/BoH_wYLFqpm/?utm_source=ig_twitter_share&amp;igshid=cxjducza5jt7
Mon Sep 24 22:53:40 +0000 2018,martina_karin_b #birthday nachfeiern am #altstadtfest #nürnberg #bierwerk #funny #bier #party @chrissyloschge playandfun @Bierwerk Altstadtfest https://www.instagram.com/p/BoH_wYLFqpm/?utm_source=ig_twitter_share&amp;igshid=13b9y4pm38mlm
Sun Sep 23 21:27:38 +0000 2018,"In allerlei Hinsicht: Service, Sicherheit und Höflichkeit, alles daneben und unverschämt . Mir fielen während Essens aus der oberen Etage Münzen runter in mein Bierglas, das Bier… https://www.instagram.com/p/BoFWzjyg4-g/?utm_source=ig_twitter_share&amp;igshid=1n4ks52e5fkpa"
Sun Sep 23 20:16:11 +0000 2018,"#Repost @carsten_koepp ・・・ O‘dampft is... Am 29.9. findet unser 1. Oktoberfest statt und ihr seid alle herzlich eingeladen mit uns zu feiern. Es gibt traditionell, Brezn, Weißwurst, Bier… https://www.instagram.com/p/BoFOnksF66G/?utm_source=ig_twitter_share&amp;igshid=15bs254kk5g3u"
Sun Sep 23 19:03:53 +0000 2018,"#gesprächsstoff #bier #hochzeitsgeschenk bennywu666 #pilsken #aufdieeltern #hochzeit #ehe @Oberhausen, Germany https://www.instagram.com/p/BoFGWErnpESfzQ04JIZzfMGLQxAHCH2cQW7a8g0/?utm_source=ig_twitter_share&amp;igshid=1lw5e01pj4jmz"
Sun Sep 23 17:36:56 +0000 2018,Du hast aus Riesling Bier gemacht? 
Sun Sep 23 17:25:33 +0000 2018,"Kristallweizen #schmucker #bier #beer #odenwald #kristallweizen #weizenbier #weizenbier #kristallweizenbier #odenwälderbier #trösel #zurrose @Trösel, Hessen, Germany https://www.instagram.com/p/BoE7F7CinvF/?utm_source=ig_twitter_share&amp;igshid=gl7hkuzjfbw3"
Sun Sep 23 16:20:10 +0000 2018,Endlich wieder ein Sieger Bier. #B04M05 - Drinking a Schneider Weisse Original (TAP7) by @schneiderweisse @MMMT — http://untp.beer/s/c655535186
Sun Sep 23 15:08:49 +0000 2018,"Mittelrheinliga SV Bergisch Gladbach - 1. FC Düren 5:3 (2:2) Zuschauer 107 (ca. 25 Gäste) Dreckswetter, sowohl Bier als auch Wurst recht teuer, kaum Zuschauer da, aber dafür ein… https://www.instagram.com/p/BoErdCNFxC7/?utm_source=ig_twitter_share&amp;igshid=103qsc40nws0d"
Sun Sep 23 11:35:30 +0000 2018,"„Leute, Leute, ich darf jetzt alleine Autofahren!!!“, rief ich mit einem Bier in der Hand und fuhr in ‚Mario Kart Wii’ gegen einen Pfosten. ~ #18 #petticoat #makeupgamestrong… https://www.instagram.com/p/BoETCrWFxn5/?utm_source=ig_twitter_share&amp;igshid=15ppm7pqjy7n3"
Sat Sep 22 20:41:38 +0000 2018,Natur Hopfen #hopfen #bier #hops #getoutside #thegreatoutdoors #getoutdoors #takeahike #outdooradventures #openmyworld #goplayoutside #wildernessculture #letsgosomewhere #ourplanetdaily… https://www.instagram.com/p/BoCsv5aBeEr/?utm_source=ig_twitter_share&amp;igshid=exhvwaoarqyb
Sat Sep 22 16:02:51 +0000 2018,geht los hier. #FutsalNürnberg #orcabrau #pizzaroberto #brewerylife #pizza #bier #futsal #nürnberg @Ludwig-Uhland-Schule https://www.instagram.com/p/BoCM1BaluuN/?utm_source=ig_twitter_share&amp;igshid=1g62eq9j60u9
Sat Sep 22 15:14:58 +0000 2018,"BIER &amp; ÄPPLER Ganz im Ernst jetzt... hat das schon mal jemand probiert? Schmeckt das? frankfurt_foodguide frankfurts_foodie ? Schade um den guten Apfelwein, Ebbelwoi, Äppler… https://www.instagram.com/p/BoCHWhkBsmJ/?utm_source=ig_twitter_share&amp;igshid=1ikm0gah3vnyy"
Sat Sep 22 15:12:41 +0000 2018,"Erstmal ein gutes Bayrisches Bier Prost (@Veltins Arena Parkplatz D 3 in Gelsenkirchen, North Rhine-Westphalia) https://www.swarmapp.com/c/busn4sKQhsW"
Fri Sep 21 22:01:14 +0000 2018,Andechser Bierfest. Seit Jahren ein fester Programmpunkt. #andechs #bier #nike #sneakers #airforce1 @Haßloch https://www.instagram.com/p/BoARDTJA6F6Z1Q2RhSBI46hrEkaotNhDQhGTUY0/?utm_source=ig_twitter_share&amp;igshid=1qhk5uz4vmueb
Fri Sep 21 19:51:59 +0000 2018,"Nach der kulinarischen Stadtführung im Vogelbräu lecker hausgebrautes Bier , Qual der Wahl VogelPils, VogelRot, ich trink VogelGold, echt gut #toureal #karlsruhe #vogelbräu @Vogelbräu https://www.instagram.com/p/BoACQjCA_LI/?utm_source=ig_twitter_share&amp;igshid=117sospcf9hea"
Fri Sep 21 19:15:03 +0000 2018,"„Die Mini-Bar im Zimmer ist kostenlos!“ Klingt gut. Bis man den Inhalt sieht: ein alkoholfreies Bier, eine Cola und Wasser. Aber hey: es gibt Frühstück bis 13 Uhr! \o/#StornoAusgeschlossen"
Fri Sep 21 18:33:21 +0000 2018,Drinking an Oktoberfest Bier (2018) by Paulaner Brauerei @Hodges Wohnung — http://untp.beer/s/c654188668
Fri Sep 21 15:46:18 +0000 2018,"Bier vergessen (at @Lidl in Hamm, Berlin) https://www.swarmapp.com/c/h8dQYY94hsJ"
Fri Sep 21 14:00:27 +0000 2018,"Made it to #Bavaria so, natürlich...#bier #ayinger #heffeweizen @Augsburg, Germany https://www.instagram.com/p/Bn_aCinnCJp/?utm_source=ig_twitter_share&amp;igshid=1thodyzwhg645"
Fri Sep 21 09:38:54 +0000 2018,"Stimmungsvoller Start in die Erbenheimer Kerb am Donnerstagabend mit dem Oktoberfest. Es wurde mit Trachten und reichlich Bier gefeiert. Das ""Königlich Württembergische Hofbräu-Regimen""… https://www.instagram.com/p/Bn-8HOZhSYF/?utm_source=ig_twitter_share&amp;igshid=bvkrepz6edho"
Thu Sep 20 19:14:18 +0000 2018,"Bayern besuchen ohne ein Bier zu probieren? Unmöglich #Zirndorfer #Bayern #Bier @Gasthof zum Löwen beim ""Andermichl"" https://www.instagram.com/p/Bn9ZKr_nIrUDOcE5G7YDm1EpoQ89g7IAApo-C80/?utm_source=ig_twitter_share&amp;igshid=pf86nomf2fxb"
Thu Sep 20 19:10:21 +0000 2018,Mehr Bier. @Veitshöchheim https://www.instagram.com/p/Bn9YP-jC4mx/?utm_source=ig_twitter_share&amp;igshid=uy2xpzrlp63r
Thu Sep 20 17:49:15 +0000 2018,Bier. @Veitshöchheim https://www.instagram.com/p/Bn9Paz9iKhF/?utm_source=ig_twitter_share&amp;igshid=j8acvbj7uf5
Wed Sep 19 20:32:06 +0000 2018,"Schöne Flasche, gutes Bier - Drinking a Zeppelin Bier by Brauerei Max Leibinger @Merklingen — "
Wed Sep 19 14:40:01 +0000 2018,Drinking a DBB Dunkles by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c653426740
Wed Sep 19 08:51:51 +0000 2018,Die Wagners Festspiele finden am 29.09.2018 im AZ Gerresheim statt. Der Erlös wird nach Abzug der Unkosten am Ende des Abends in Bier umgewandelt. Wir freuen uns auf euch! #wagner… https://www.instagram.com/p/Bn5tIHcCvsZ/?utm_source=ig_twitter_share&amp;igshid=1llbf7gqv240u
Tue Sep 18 20:12:19 +0000 2018,Wahrscheinlich der letzte Tag mit mehr als 30 Grad bis Mai. Auf einen tollen #sommer. #köln #dom #bier #sunset #kölnergram #europe #river #sunlight #beer #kölsch en Hohenzollern Bridge https://www.instagram.com/p/Bn4WOFvg_aC/?utm_source=ig_twitter_share&amp;igshid=1t41tnlg0a0sn
Tue Sep 18 19:27:23 +0000 2018,Drinking a Paulaner Oktoberfest Bier by Paulaner Brauerei @Wirtshaus am Kohlmarkt — http://untp.beer/s/c653240979
Tue Sep 18 18:18:52 +0000 2018,#Bayerisches #Kellerbier von #WillBräu im #Herzen Hessens #teichhaus_badnauheim #bier #prost #hessen #cheers #biergarten #30grad #september #beertography #ibeer #instabeer @… https://www.instagram.com/p/Bn4JLdjFaxn/?utm_source=ig_twitter_share&amp;igshid=18xoqv5je90gf
Tue Sep 18 16:40:04 +0000 2018,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/lOYpXUKnMZn"
Tue Sep 18 14:54:01 +0000 2018,"Dry hop front, grassy herbal hops, lemon zest mid to back. Low carbonation. - Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Pfaffen Brauerei — http://untp.beer/s/c653185856"
Tue Sep 18 10:49:09 +0000 2018,Bald ist es endlich so weit! Düsseldorfs erstes #CRAFTIVAL / 21. + 22. September / Mit dabei brauprojekt_777 hensen.brauerei alemaniabonn @supercraftbeer @sddndth_brewing muecke_bier… https://www.instagram.com/p/Bn3VxJOlz0V/?utm_source=ig_twitter_share&amp;igshid=d19htsv2er96
Mon Sep 17 21:40:39 +0000 2018,Bier trinken hoffentlich. Und letzteres ist unwahrscheinlich.
Mon Sep 17 18:57:35 +0000 2018,Schweizer Brauereien dürfen Bier nach Pilsner Brauart nicht Pils nennen und Tschechische Käsereien ihren Käse dafür nicht Emmentaler. Pils und Emmentaler z.B. aus Deutschland gibt es aber in beiden Ländern. Gilt nur für die Hersteller in den beiden Ländern.
Mon Sep 17 18:09:05 +0000 2018,Drinking a Paulaner Oktoberfest Bier by Paulaner Brauerei @Zur Waldesruh - Oedinger — http://untp.beer/s/c653004667
Mon Sep 17 17:46:45 +0000 2018,#murphysstrout #irish #bier #meise #meisenfrei #bremen @Meisenfrei Blues Club https://www.instagram.com/p/Bn1gsLEnWQh7EcBTv-qfBIZ95JKDZm89Hu8AJA0/?utm_source=ig_twitter_share&amp;igshid=1x2cv57z764n2
Sun Sep 16 18:17:24 +0000 2018,"Gläser eingeweiht #trauzeuge #trauzeugin #nachderhochzeit #istvorderhochzeit #sekt #bier @Bottrop, Germany https://www.instagram.com/p/Bny_XzaF5HvP5TJ7iBq-nGO_mA4rM2266VUnVA0/?utm_source=ig_twitter_share&amp;igshid=3l9emuyta5g8"
Sun Sep 16 11:18:47 +0000 2018,Hier ist Pause. #craftwerk #bier #craftbeer @Hockenheimring Baden-Württemberg https://www.instagram.com/p/BnyPjvACaUI/?utm_source=ig_twitter_share&amp;igshid=k88u3bv2vjz9
Sat Sep 15 21:34:48 +0000 2018,Feier... äh... Feuer... #feuer #olpe #rhode #firepit #qualitytime #wachbataillon #bier @Hohl (Olpe) https://www.instagram.com/p/Bnwwum9H2x_/?utm_source=ig_twitter_share&amp;igshid=8tx0la50j051
Sat Sep 15 19:48:10 +0000 2018,Drinking a DBB Schwarz by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c652118028
Sat Sep 15 17:20:52 +0000 2018,"Hmm, 19:20 Uhr und noch kein Bier beim #bcs11 "
Sat Sep 15 07:35:29 +0000 2018,"Ihr möchtet mal wissen wie man ein Schäuferle zubereitet, eine Bratwurst herstellt...? Dann kommt zu einem unserer Bratwurst-Bier und Schäuferle Kurse. Die nächsten Termine wären der… https://www.instagram.com/p/BnvRN9-B7R8/?utm_source=ig_twitter_share&amp;igshid=1150c1klb3zea"
Fri Sep 14 20:03:06 +0000 2018,Schwäbisches Oktoberfest #oktoberfest #paulinenpflege #winnenden winnendenerleben #schwäbisch #swabian #fest #party #handicap #remsmurrkreis #badenwürttemberg #germany #Bier #beer @… https://www.instagram.com/p/BnuB58XnTKy/?utm_source=ig_twitter_share&amp;igshid=16xkgjgaccepk
Fri Sep 14 19:18:58 +0000 2018,"Extreme starkes Bier 67,5%, mein Geburtstags Geschenk von Nils. #brewmeister #snakevenom #beer #67,5% #theworldstrongest @Weyhausen https://www.instagram.com/p/Bnt8yVPiYXM/?utm_source=ig_twitter_share&amp;igshid=mqrrso22ngk8"
Fri Sep 14 14:54:03 +0000 2018,Heute beim Bier nach 4 im Impact Hub Ruhr #togetheryoucantapeit @Impact Hub Ruhr https://www.instagram.com/p/BnteVTRB8oD/?utm_source=ig_twitter_share&amp;igshid=syl7jn3e0q52
Thu Sep 13 20:56:31 +0000 2018,Eröffnung Oktoberfest in Frankfurt ein toller Abend vielen Dank liebe Claudia Binding Bier für die Einladung -Werbung- - - @wiesnmuc frankfurter_oktoberfest #claudiageissler #binding… https://www.instagram.com/p/BnrjSbLlJIk/?utm_source=ig_twitter_share&amp;igshid=1vq1qb7mcgxnc
Thu Sep 13 19:41:04 +0000 2018,"Love me some Schwartz Bier, roasted and strong Malt profile,thin body, dry back. - Drinking a Schwarzbier by Sophie's Brauhaus @Sophie's Brauhaus — http://untp.beer/s/c651062309"
Thu Sep 13 17:39:46 +0000 2018,"#werner #beinhart #bölkstoff #fump #besserisdas #bier @Oberhausen, Germany https://www.instagram.com/p/BnrMx66BEOn1sL3QMXh_MFQv6bUaLKNkE1nzDU0/?utm_source=ig_twitter_share&amp;igshid=eagogdrrmaon"
Thu Sep 13 10:22:55 +0000 2018,"Granatrot Wir schreiben das Jahr 1899. Wernigerode in einer Zeit vor unserer Zeit. Da entstand ein Bier, das die Hasseröder Brauerei mit Genehmigung des Fürsten zu Stolberg-Wernigerode… https://www.instagram.com/p/BnqayoHlnMR/?utm_source=ig_twitter_share&amp;igshid=1t9hkzv9rrv28"
Wed Sep 12 19:56:35 +0000 2018,"Geniales essen, tolles Hotel und super Bier Eines meiner Lieblingshotels und Lieblingsbiere #Craftbier #Genuss #Klingenstein #Wirtshausschnitzel #SommerAle #CRAFTtanken.com @Klingenstein https://www.instagram.com/p/Bno3jA6CtE-/?utm_source=ig_twitter_share&amp;igshid=16gxbzip9kdym"
Wed Sep 12 14:28:41 +0000 2018,Zapfhahn. Nur ohne Bier. (@IMD Labor Frankfurt in Frankfurt) https://www.swarmapp.com/c/iQj0prIUzIy
Tue Sep 11 17:31:44 +0000 2018,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/7DVxe6eiufG"
Tue Sep 11 17:26:30 +0000 2018,Karl Hoesch. Jahre. #photooftheday #photography #photographer #shotoniphone #color #colorful #colorphotography #reflection #closeup #capture #capturethemoment #beer #bier #birra #vsco… https://www.instagram.com/p/BnmBrI7lJ_o/?utm_source=ig_twitter_share&amp;igshid=xx0yuzhaatn4
Mon Sep 10 16:48:35 +0000 2018,"Ok, ich gebe zu, beim „Bier-Fass anschlagen“ bin ich etwas aus der Übung... ...dafür klappt aber das mit dem Trinken umso besser Was aber zählt: Ein tolles und gelungenes Oktoberfest… https://www.instagram.com/p/BnjYfMpBKxU/?utm_source=ig_twitter_share&amp;igshid=1c8ghnynun7y4"
Sun Sep 09 14:24:18 +0000 2018,Drinking a Gruibinger Bier Saukalt by Lammbrauerei Hilsenbeck Gruibingen @Tobi's — 
Sun Sep 09 13:05:52 +0000 2018,Vielen Dank für die Einladung. 5 Jahre heymkinder! Schön wars! ... und das Bier war lecker. #boogiepimps #heymkinder #annedecks @Erfurt City https://www.instagram.com/p/BngaQsCgBXA/?utm_source=ig_twitter_share&amp;igshid=c3cyasjbh86x
Sun Sep 09 12:41:19 +0000 2018,"KERSCHEKNABBER BIERGARTEN #dansenberg #essenundtrinken #tus04 #tus04dansenberg #kaiserslautern #biergarten #bier #krombacher @Dansenberg, Rheinland-Pfalz, Germany https://www.instagram.com/p/BngXcq6nQ2d/?utm_source=ig_twitter_share&amp;igshid=jtpqanfxohvr"
Sat Sep 08 17:32:05 +0000 2018,"Slow Cooking macht, dass das Essen sehr spät fertig wird. Aber dafür gibt’s ja Bier #braufactum @Idstein https://www.instagram.com/p/BneT6utigBV6XfYAJllmzxOTTuVICTloeUg7rs0/?utm_source=ig_twitter_share&amp;igshid=134papr1o8puk"
Sat Sep 08 13:42:55 +0000 2018,"SCHÖNES WETTER / KÜHLES BIER ! &gt; Was kann es Schöneres geben, als bei diesem tollen Wetter in ´nem #BIERGARTEN zu sitzen und eine herrlich kühle HOPFENKALTSCHALE zu genießen...?! &gt;&gt;&gt; ALSO… https://www.instagram.com/p/Bnd5tIfntmG/?utm_source=ig_twitter_share&amp;igshid=1io0r474sbzz9"
Fri Sep 07 20:08:43 +0000 2018,"#Bierbörse so langsam wird es schwierig ein Bier zu bewerten, schmeckt alles wie Bier #prost - Drinking a Märzen Festbier by Hohenthanner Schlossbrauerei @Schlosspark Jülich —"
Fri Sep 07 18:49:21 +0000 2018,"Riecht nach Traubensaft. Schmeckt erst auch so, dann doch ein bisschen nach Bier. Harmlos. - Drinking a WATT Blondes by Brot &amp; Bier @Oststadt — http://untp.beer/s/c648712146"
Fri Sep 07 17:45:24 +0000 2018,Lange ist es her. Richtig regionales Bier #Bierbörse #prost - Drinking a Lambertus Pils by Privatbrauerei Rainer Linnich-Welz @Schlossplatz Jülich —
Fri Sep 07 17:31:07 +0000 2018,"Harzig, bisschen interessante Aromen. Erinnert an Meer, aber das ist bestimmt eingebildet. Ordentlich bitter. - Drinking a Watt 'n Pale Ale by Brot & Bier @Oststadt — http://untp.beer/s/c648667529"
Fri Sep 07 16:30:35 +0000 2018,"Bahn fahren ist fast angenehmer als fliegen. #db #bahn #deutschebahn #ice885 #bier #øl #beer #pils @Niedersachsen, Germany https://www.instagram.com/p/BnboGMLh_UN/?utm_source=ig_twitter_share&amp;igshid=scjfxipbh2vz"
Tue Sep 04 17:49:08 +0000 2018,Leise war gestern... #music #düsseldorf #altstadt #skull #rock #oldbeer #altbier #bier #goodtimes #dus4you @Engel-Düsseldorf https://www.instagram.com/p/BnUCQs4DIvh/?utm_source=ig_twitter_share&amp;igshid=174uc5oomkmou
Tue Sep 04 07:00:40 +0000 2018,"Wir wollten Euch diese Erkenntnis nicht vorenthalten . . . #Augsburg #auxpic #augsburgereplärrer #bier #beer #volksfest #plärrer2018 #bayern @Augsburg, Germany https://www.instagram.com/p/BnS4fBJg_39/?utm_source=ig_twitter_share&amp;igshid=1pfh5has1afgo"
Mon Sep 03 18:51:40 +0000 2018,"Ja, ich hab Spaß! #festzelt #bier #nürnberg #volksfest @Nürnberger Volksfestzelt Papert https://www.instagram.com/p/BnRlDnCAUeNbjnKYRI4_hZHB8rpCEuVdyMztuo0/?utm_source=ig_twitter_share&amp;igshid=wkq0ldo9xkwi"
Sun Sep 02 20:00:35 +0000 2018,Eine liebe die dich nie im Stich lassen wird #vfbstuttgart #vfb #1893 #forzastuttgart #dunkelrot #bier #alkohol #stuttgarterhofbräu #landschaftsgärtner #liebeohnegrenzen @… https://www.instagram.com/p/BnPIJnSgEdZ/?utm_source=ig_twitter_share&amp;igshid=ib4cngxhfaso
Sun Sep 02 17:28:46 +0000 2018,"Karlsruhe Bier Börse #germany #festival #aerial #bierfest #beerfest #party @Karlsruhe, Germany https://www.instagram.com/p/BnO2xt7lUq2/?utm_source=ig_twitter_share&amp;igshid=e0fk7nol5rdn"
Sun Sep 02 16:46:21 +0000 2018,Drinking a DBB Dunkles by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c646976411
Sun Sep 02 10:03:54 +0000 2018,Prost! Sonnenuntergang auf der RheinAlm. #rheinalm #kamehabonn #sundown #sunset #beer #bier @RheinAlm https://www.instagram.com/p/BnOD35WgmY3/?utm_source=ig_twitter_share&amp;igshid=1n1pe9guykppf
Sat Sep 01 18:01:36 +0000 2018,Jeder Dom braucht „ein“ Pfaffen #kölsch #pfaffen #bier #obergärig #köln @Ausschank Brauerei zum Pfaffen https://www.instagram.com/p/BnMVvpDAS1_/?utm_source=ig_twitter_share&amp;igshid=3usznseeq5qk
Sat Sep 01 17:26:21 +0000 2018,#Bier 3 Liter Brauerei Hartleb #franken @Rentweinsdorf https://www.instagram.com/p/BnMRtWVhQzA/?utm_source=ig_twitter_share&amp;igshid=1rvaoe6jdazab
Sat Sep 01 13:00:44 +0000 2018,Ein #Bier im #Biergarten als kleine Pause der #Radtour mit den großen Jungs. (@Zum Holzfäller) https://www.swarmapp.com/c/dcvBEjeBVhD
Sat Sep 01 12:11:09 +0000 2018,"1,6 Liter Bier später (@Köln Hauptbahnhof in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/iqGjWZR69hh"
