Wed Oct 31 20:14:04 +0000 2018,Drinking an El Patrón Prototype Single Hop Mosaic by Bierol @BIER MACHT SCHÖN — 
Sun Oct 21 11:34:44 +0000 2018,Ab sofort gibt es auch diese drei leckeren Bierchen von muecke_bier aus #Essen #himbeergose das fruchtige #aperitif #beer #singlehopcomet das herbe zum Einstieg und #ingwerpaleale als… https://www.instagram.com/p/BpMZNvgA5kO/?utm_source=ig_twitter_share&amp;igshid=1qertzd8tncgh
Sun Oct 21 11:16:00 +0000 2018,"Nebel weg, Bier da - Drinking a Mohren Pilsner by Mohrenbrauerei August Huber @Höchsten — "
Sat Oct 20 12:52:20 +0000 2018,"Man sagt es wäre auch Bier #Kölsch #gaffel @Cologne, Germany https://www.instagram.com/p/BpJ9TTagWB5/?utm_source=ig_twitter_share&amp;igshid=1sfv29ya5pc7a"
Sat Oct 20 00:55:01 +0000 2018,"„Hm, ja. Mir ist nicht besonders“ *drei Bier später* Knapp drei Uhr, alles total super. Top #ttms - bis zum nächsten Mal "
Fri Oct 19 18:27:43 +0000 2018,#ein #prosit #weissbier #bier #öl #beer #birra #freimarkt #oktoberfest #bremen #schlachte @feldmann's Bierhaus https://www.instagram.com/p/BpH-4pSHToj/?utm_source=ig_twitter_share&amp;igshid=dyutr64w9c51
Thu Oct 18 21:48:02 +0000 2018,Sumerian’s three packaged beers are available in Germany! #SumitUp Repost from obenheim_bier using repostregramapp - Herren Handtasche Das perfekte Geschenk für jeden Craft Bier Fan.… https://www.instagram.com/p/Bo4aiOEgtXy/?utm_source=ig_twitter_share&amp;igshid=1sgt6d9y9j6h7
Thu Oct 18 20:37:30 +0000 2018,Brot & Bier Seminar unter dem Motto: Brot &amp; Freunde von und mit Der Beck und Schanzenbräu @Casa Pane https://www.instagram.com/p/BpFo8W1hkJ4/?utm_source=ig_twitter_share&amp;igshid=1d514ferboo7i
Thu Oct 18 18:47:35 +0000 2018,"Bier (@Kanapee in Erlangen, Bayern) https://www.swarmapp.com/c/eZqjC7UF7zh"
Thu Oct 18 18:00:11 +0000 2018,Drinking a Keller-Bier 1402 by Störtebeker Braumanufaktur @Schönberg — http://untp.beer/s/c665049716
Thu Oct 18 15:58:09 +0000 2018,"#einkaufen #bier (at @Lidl in Rottenburg am Neckar, Berlin) https://www.swarmapp.com/c/08X0uyo3u9N"
Tue Oct 16 16:47:04 +0000 2018,Das Bier ist da! Am heutigen Bierdiplomdienstag ist wieder die #craftbeercompanystuttgart zu Gast und veranstaltet wieder das #craftbeertasting in der guten Stube! Für ganz spontane… https://www.instagram.com/p/BpAE-zjhDPU/?utm_source=ig_twitter_share&amp;igshid=tqxcq20urmj3
Tue Oct 16 06:11:22 +0000 2018,Na wo geht ihr heute hin bei dem schönen Wetter? #ulanenhof #ulanen #herbstkarte #muscheln #moulesfrites #bierchenziehen #bier #biergarten #indernatur #saarbrücken #saarland #natur @… https://www.instagram.com/p/Bo-8O3LhD78/?utm_source=ig_twitter_share&amp;igshid=d4sz1bb9y6is
Mon Oct 15 18:40:30 +0000 2018,Erstmal n Weizen damit man das hier aushält #weizen #bier #halestorm #devilskin #izzyhale @Live Music Hall https://www.instagram.com/p/Bo9tKymgKuO/?utm_source=ig_twitter_share&amp;igshid=1ussxdqp8dpvj
Sun Oct 14 16:19:38 +0000 2018,"Jetzt Bier. Und Schnaps, Gegen den Brechreiz… #ltwby"
Sun Oct 14 15:24:21 +0000 2018,"#grimbergen #blonde #dubbel #bier dick_und_durstig_84 #dickunddurstig #beermebeeryoubeerustogether @Oberhausen, Germany https://www.instagram.com/p/Bo6xvZ3nXSsnbUXhrNmwr29iwEMfP71ithHuBk0/?utm_source=ig_twitter_share&amp;igshid=1pbf8bzz3wyb1"
Sun Oct 14 14:23:26 +0000 2018,"Balingen hat wieder sein eigenes Bier. Schwäbisch Hell. Also nix für Badenzer... ^^ Ein schlankes Helles. Ne feine Zitrusnote, eine leichte Süße und abgerundet mit ner leichten… https://www.instagram.com/p/Bo6q8xihqhj/?utm_source=ig_twitter_share&amp;igshid=17mux4f7ms28y"
Sat Oct 13 19:50:54 +0000 2018,Ben mit und ohne Bier #fuckofwiesn #wasen2018 #schwabenwelt #benztown #beer schwabenwelt @Schwabenwelt https://www.instagram.com/p/Bo4rn5NihlY/?utm_source=ig_twitter_share&amp;igshid=1vefomrx4iedm
Sat Oct 13 19:00:36 +0000 2018,Sumerian’s three packaged beers are available in Germany! #SumitUp Repost from obenheim_bier using repostregramapp - Herren Handtasche Das perfekte Geschenk für jeden Craft Bier Fan.… https://www.instagram.com/p/Bo4aiOEgtXy/?utm_source=ig_twitter_share&amp;igshid=1g570j4nfbflf
Sat Oct 13 18:33:59 +0000 2018,Hochzeit mit merkwürdig zertifiziertem Bier. #MD131018 #ISO @Kulturzentrum Bettinger Mühle https://www.instagram.com/p/Bo4i1ZkAg7J/?utm_source=ig_twitter_share&amp;igshid=15r0sywlzpqp3
Sat Oct 13 17:47:46 +0000 2018,Wahl-Vorabend-Binge-Watching #bingewatching #hindafing #br #fernsehen #bayern #tv @br24 #ltwby #paulaner #bier #beer #saturdaynight #winnenden #germany #broadcast @Wallstreet Winnenden https://www.instagram.com/p/Bo4diuJh_5E/?utm_source=ig_twitter_share&amp;igshid=tzyxi4fvpm9e
Sat Oct 13 13:42:11 +0000 2018,Mahlzeit. #warsehrlecker #calwerstrasse #stuttgart #stuttgartcity @Büffel und Bier https://www.instagram.com/p/Bo4Bb8rlMmG/?utm_source=ig_twitter_share&amp;igshid=deut5krsnjom
Sat Oct 13 13:40:59 +0000 2018,hello bamberg. pouring beer till late tonight zapfhahnbamberg. #zapfhahn #bamberg #orcabrau #orcaontour #craftbeernotcrapbeer #weekendbeers #biergarten #goodtimes #bier #craftbier… https://www.instagram.com/p/Bo4BTTklC1N/?utm_source=ig_twitter_share&amp;igshid=12oxcdtynvvit
Sat Oct 13 13:03:28 +0000 2018,Bitburger - Pils #bitburger #freewalktrier #pils #instabeer #beerstagram #bier #beer #finlandreunion @TrierTourGuide @Bitburger Wirtshaus Trier https://www.instagram.com/p/Bo39AllFtG5/?utm_source=ig_twitter_share&amp;igshid=ty7dcdk6h9i5
Sat Oct 13 07:52:35 +0000 2018,Heute nochmal Sonne genießen! #saarland #saarbrücken #bier #bruchbier #maiselsweisse #zwickel #weizen #sonne #genuss #ulanen #ulanenpavillon #staden @Ulanen Pavillon https://www.instagram.com/p/Bo3ZbglhD1S/?utm_source=ig_twitter_share&amp;igshid=11yzeho9693y0
Fri Oct 12 21:44:45 +0000 2018,Zur Tanke. Kippen und Bier. #AusGründen
Thu Oct 11 18:52:21 +0000 2018,Bier mit guten Kollegen. Nach dem Tag und vor dem morgigen bitter notwendig. (@Celona in Hagen) https://www.swarmapp.com/c/1t6AS26JeOB
Thu Oct 11 15:09:31 +0000 2018,"Uff e Worscht un e Bier (@Erzeugermarkt Konstablerwache in Frankfurt am Main, Hessen) "
Thu Oct 11 13:21:22 +0000 2018,Wassertier und lecker Bier @Michaelis Kirchweih https://www.instagram.com/p/Boy1eFcBVaJ/?utm_source=ig_twitter_share&amp;igshid=1jo2zwjggk4fx
Thu Oct 11 07:30:08 +0000 2018,Bilder von unserer fächerübergreifenden Erstitour ⠀ Am Qkaff ging es los mit einer Tour über den Campus - mit anschließenden Grillwürstchen und Bier. Nach ein paar Runden Bierpong und… https://www.instagram.com/p/BoyNRJqCZIw/?utm_source=ig_twitter_share&amp;igshid=yi92ohcdb7ns
Wed Oct 10 18:42:21 +0000 2018,"Bierblumen #bier #blumen #pils #köpi #heuteeinkönig #flowerpower #wasfüreinbier #undjetzteinkönig #königpilsener @Hochheide, Nordrhein-Westfalen, Germany https://www.instagram.com/p/Bow1aA3Hfdj/?utm_source=ig_twitter_share&amp;igshid=g2vvhdsbmrze"
Wed Oct 10 17:55:12 +0000 2018,LÄUFT! #Fump #Thor #Becks #Beer #Bier #Bira #Tagged #Skål @Thrudheim https://www.instagram.com/p/Bowv1a7h91Y/?utm_source=ig_twitter_share&amp;igshid=1iit62ge3b9of
Wed Oct 10 17:48:50 +0000 2018,Ein köstliches Bier mit einer feinen Erinnerung an den vergangenen Ostsee-Urlaub - Drinking an Atlantik-Ale by Störtebeker Braumanufaktur @Home of Ostwestf4le — http://untp.beer/s/c662006747
Wed Oct 10 15:58:44 +0000 2018,Bier aus Bamberg #camino #haageontour #bierhilft #haagelife @Burgebrach https://www.instagram.com/p/Bowir5ygj5eJNYT-iRwIARPsrzkRVNnFvGOXBg0/?utm_source=ig_twitter_share&amp;igshid=evj5sx3kx686
Wed Oct 10 15:54:29 +0000 2018,"Ankommen ist wunderbar. Nicht nur weil Füße und Rücken eine Pause bekommen, auch der Rest von Körper und Seele entspannen sich. Fränkisches Bier hilft dabei… https://www.instagram.com/p/BowiMtBgaXDICaAnUWXyT_1fmE4ZQeUWFKtwrU0/?utm_source=ig_twitter_share&amp;igshid=1aiyu5udn97a1"
Wed Oct 10 15:45:57 +0000 2018,"Ein Bier im Biergarten geht immer. (@Brauhaus Wiesenmühle in Fulda, Hessen) https://www.swarmapp.com/c/l9HxEmNG9Ra"
Wed Oct 10 13:09:42 +0000 2018,KAMPAI #pmstudionews #fujifilmitalia #fujifilmxt3 #sigmalens #photography #gimbal #bier #portrait #cateringservice #koelnmesse #koeln @Flora Köln https://www.instagram.com/p/BowPVRTicsI/?utm_source=ig_twitter_share&amp;igshid=1gimzw0wqkt6w
Wed Oct 10 11:43:27 +0000 2018,FALLS mich jemand damit sieht ..... kauf's für 'nen Freund #sch****bier #pisseinflaschen @Dortmund https://www.instagram.com/p/BowFePanet0Sd859mE0d3zMH6QQ4DOUGsPhE540/?utm_source=ig_twitter_share&amp;igshid=1s9ft7fgzh7az
Tue Oct 09 21:58:00 +0000 2018,"Eben noch zu Gast auf unserer Couch.. Die Lieben Löwen #rockzentraledüsseldorf #dieliebenlöwen #musik #nrwision #tv #sendung #news #bier @Düsseldorf, Germany https://www.instagram.com/p/BounAPDAgXf/?utm_source=ig_twitter_share&amp;igshid=8ncqiahhnfvx"
Tue Oct 09 16:56:47 +0000 2018,Drinking a DBB Helles by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c661762908
Tue Oct 09 16:45:50 +0000 2018,Drinking a DBB Helles Gestopft by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c661760955
Tue Oct 09 15:13:47 +0000 2018,Ohne Bayern gibts auch in Dortmund kein Bier :) @Dortmunder Actien-Brauerei AG https://www.instagram.com/p/Bot4v1uguMB/?utm_source=ig_twitter_share&amp;igshid=8auujk7jn5wk
Mon Oct 08 18:07:18 +0000 2018,#Urig! ... nichts hinzuzufügen! #aschaffenburg #bier #beertography #gemütlichkeit #beerstagram #germanfeelings #weißbier #weissbier #beer #instabeer #prost #cheers #wirtschaft #franken… https://www.instagram.com/p/BornzEOluIX/?utm_source=ig_twitter_share&amp;igshid=10ljxogoxfv3o
Mon Oct 08 17:03:41 +0000 2018,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/4OkUJQ6ohqe"
Sat Oct 06 14:20:49 +0000 2018,Schmeckt leicht seifig. - Drinking a Merlin's Ale by @BroughtonAles @Der Bier-Rufer — http://untp.beer/s/c660363604
Sat Oct 06 14:11:45 +0000 2018,Drinking a Helles by Der Bier-Rufer @Der Bier-Rufer — http://untp.beer/s/c660360029
Sat Oct 06 10:20:39 +0000 2018,"#VolkfestBehindTheScenes 2018 #Stuggart #Germany #StuggartGermany #BehindTheScenes #Bier #GoodTimes #EveryonesInTheBestMood !!! @Stuttgart, Germany https://www.instagram.com/p/Bolo0AUgm8M/?utm_source=ig_twitter_share&amp;igshid=1pj31n2ocmvr0"
Sat Oct 06 09:46:02 +0000 2018,HEUTE am samstag erst mal die sonne genießen und dann ab 17.30 in die uhlandhalle zu futsalnbg vs. @tsv1860_futsal mit orca bier und pizza roberto. #dawirdderballwach #FutsalNürnberg… https://www.instagram.com/p/Bolk2d4Fi6d/?utm_source=ig_twitter_share&amp;igshid=1d2bafzorkebd
Fri Oct 05 21:31:15 +0000 2018,"Binder. Wie Tinder, aber nur zur Klärung der Frage ob man mal zusammen ein Bier trinken möchte. #kneipenideen"
Fri Oct 05 20:18:50 +0000 2018,"Zum Mitnehmen: Bier vom Fass !?! #bier #biervomfass #sam #samkomm #frankfurt #frankfurtammain #hessen #wochenende #frankfurtkaiserstrasse #cerveza #beer #biere #bière @Frankfurt,… https://www.instagram.com/p/BokIeXUAJ6G/?utm_source=ig_twitter_share&amp;igshid=1ayto8fnpxpv8"
Fri Oct 05 19:46:53 +0000 2018,Der @niederrheinr hat leckeres Bier aus Dortmund mitgebracht - Drinking a Dortmunder Union Jubiläumsbier 2018 by Dortmunder Actien-Brauerei @Home of Ostwestf4le — http://untp.beer/s/c659927577
Fri Oct 05 06:23:52 +0000 2018,"Cheers, Wochenende mixedmedia, Acryl, Leinwand 50x70cm, Danke an den Sammler #popeye #classiccomics #marktbrunnen #stjohannermarkt #karlsbergbrauerei #urpils #Karlsberg-Bier #bier… https://www.instagram.com/p/BoioxivFDWK/?utm_source=ig_twitter_share&amp;igshid=jp0a4m5qti2"
Fri Oct 05 03:12:57 +0000 2018,#RIEGELE #KELLERBIER #AUGSBURG #BIER #BEER #リーゲレマンセー #20180926 @Brauhaus Riegele https://www.instagram.com/p/BoiTEsCgK1r/?utm_source=ig_twitter_share&amp;igshid=sy4rvrza55ri
Fri Oct 05 01:56:05 +0000 2018,"Was man aus altem Brot machen kann? Bier natürlich! http://www.fnp.de/lokales/frankfurt/Was-man-aus-altem-Brot-machen-kann-Bier-natuerlich;art675,3125736"
Thu Oct 04 17:29:53 +0000 2018,"Riecht unangenehm nach Eso-Kackscheiße. Bier ist aber ok, mit sehr präsentem, etwas herzhaften Hopfen zwischen Traube und Harz. Bitter. - Drinking a C4PO by @BRLObeer @Oststadt — http://untp.beer/s/c659472566"
Thu Oct 04 16:09:21 +0000 2018,"Ich bin absolut immun gegen Werbung. Aber jetzt habe ich gerade absolut Lust auf ein Bier. @Stuttgart, Germany https://www.instagram.com/p/BohHIckBZs3/?utm_source=ig_twitter_share&amp;igshid=1xakpamydmo2m"
Thu Oct 04 12:00:57 +0000 2018,Des Wanderers Belohnung / Hiker‘s Reward Teil /Part 1 #urlaub #vacation #schwarzwald #blackforest #beer #bier #michaelsblubberblog @Beck's Vesperstube https://www.instagram.com/p/Bogqs-VlWTk/?utm_source=ig_twitter_share&amp;igshid=zvuji71w5jj7
Tue Oct 02 12:09:07 +0000 2018,"Bin beim Kaufen von alkoholfreien Bier nach meinem Ausweis gefragt worden. Als ich der Verkäuferin entgegnete, dass ich ‘‘XX Jahre alt bin‘‘, schaute sie mich verdutzt an und sagte: ‘‘Nehmen sie es als Kompliment‘‘. Ob das gerade meinen Tag verschönert hat? Man weiß es nicht."
Tue Oct 02 08:11:52 +0000 2018,#ernte #lifestyle #livemusik #ausstellung #kunst #bier #essenundtrinken @Rinecker Haus..ein Anwesen im Wandel der Zeit https://www.instagram.com/p/BobG5f-FmMJ/?utm_source=ig_twitter_share&amp;igshid=14rk14z7bk55f
Mon Oct 01 12:26:47 +0000 2018,Jetzt neu im Meininger Verlag erschienen: Meiningers Craft Bier-Bars - Die 100 Besten Craftbier-Lokale in Deutschland. + Bier Know-How und Craftbier Shops. 170-Seiten stark im… https://www.instagram.com/p/BoY_Rg1BKov/?utm_source=ig_twitter_share&amp;igshid=1kg5f4g62con5
