Sat Jun 30 18:45:58 +0000 2018,"#garten #wasser #bier #bitburger @Oberhausen, Germany https://www.instagram.com/p/BkqMrQGnD9tML_CjQseq_PbAky7vliaRelVIwE0/?utm_source=ig_twitter_share&amp;igshid=85ghowndv00c"
Tue Jun 26 18:16:42 +0000 2018,"Bier, Fussball und nette Leute! Aka ein perfekter Abend! #BeerTweet #Fernprost (@Gottes Grüne Wiese in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/4wbhmM7A7hl"
Tue Jun 26 14:40:38 +0000 2018,Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @TLF — http://untp.beer/s/c616595163 #photo
Mon Jun 25 16:24:05 +0000 2018,"Im Bahnhofsviertel ist es einfacher eh Bier zu kaufen als Milch. Der Dank geht an die Kiosk Frau, die extra für mich ins Lager gegangen ist #meinfrankfurt"
Sun Jun 24 20:11:16 +0000 2018,"Mal anders abhängen? Dwayne ""The Rock"" Johnson ist mit dabei? Klaro, aber bitte nicht ins Höschen m......! Geht unglaublich hoch hinaus. Aber wer zu unseren Männersachen 11.07. 2 Bier am… https://www.instagram.com/p/Bka5uzDBVif/?utm_source=ig_twitter_share&amp;igshid=1ixzpt9ygccl3"
Sun Jun 24 18:31:39 +0000 2018,"Nach über 14 Stunden Einsatz auf dem Heckinghauser #Bleicherfest jetzt noch ein Bier und dann ins Bett. #heckinghausen #bolten #HM1 @Wuppertal, Germany https://www.instagram.com/p/BkauU8zBx1X/?utm_source=ig_twitter_share&amp;igshid=1e6rjnuy7jkqa"
Sun Jun 24 14:47:23 +0000 2018,#Desperados #lecker #bier #party @Bei mir zu Hause https://www.instagram.com/p/BkaUqnElLLQk50A2dOMN00ffmGC-TjHglvxv5c0/?utm_source=ig_twitter_share&amp;igshid=gqz8zm3v3123
Sat Jun 23 20:39:09 +0000 2018,Irgendwas mit Fußball und Bier. #prost @Brauhof Wilshaus https://www.instagram.com/p/BkYYINDlJgc/?utm_source=ig_twitter_share&amp;igshid=kd18ns3d84c2
Sat Jun 23 19:51:50 +0000 2018,"Der 5. Whiskeyabend ist Geschichte - acht Verschiedene Sorten und auch selbstgebrautes Bier war am Start @Gera, Germany https://www.instagram.com/p/BkYStjpHVvb7MPWbNNjETnsMAVRlPdAe6tv6WU0/?utm_source=ig_twitter_share&amp;igshid=123vyvk2sgzes"
Sat Jun 23 17:01:39 +0000 2018,"Kleine Mounty-Runde. Kurz. Heftig. Kette rechts. Pumpe kreischt. #gerswe-Bier verdient. Go, go, go! #instasports #mountainbike #bike #rad #radfahren #needforspeed #ausdauer #endurance… https://www.instagram.com/p/BkX_O5gBFny/?utm_source=ig_twitter_share&amp;igshid=1fl1p6ho5pxsl"
Sat Jun 23 13:19:19 +0000 2018,Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Schillerplatz — http://untp.beer/s/c615136388
Sat Jun 23 12:30:15 +0000 2018,Drinking a Lennet by Lennet Bier Aachen @Bütgenbach beach — http://untp.beer/s/c615124898 #photo
Sat Jun 23 11:16:17 +0000 2018,Bier und Fleisch fürs Wochenende (@Marktkauf in Warendorf) https://www.swarmapp.com/c/6rOmX7FxRay
Sat Jun 23 08:50:32 +0000 2018,Gegen #massentierhaltung ! #bier #beer #drinkgoodbeer #beerman #beerus #beergirl #beerbabe #beernerd #likebeer #ilikebeer #beerlovers #beertasting #beerme #beerbeerbeer #beertime… https://www.instagram.com/p/BkXHCJHl3Sh/?utm_source=ig_twitter_share&amp;igshid=1e5md6dv4k3ir
Sat Jun 23 08:48:51 +0000 2018,Gewusst ? Zusammenhang von Kofferraum und Litern #beer #bier #beerman #beerus #beergirl #beerbabe #beernerd #likebeer #ilikebeer #beerlovers #beertasting #beerme #beerbeerbeer #beertime… https://www.instagram.com/p/BkXG1ryl-sS/?utm_source=ig_twitter_share&amp;igshid=igp1sx78fmhc
Sat Jun 23 07:50:10 +0000 2018,Ein kaltes Bier und wir feiern ein wunderschönes Wochenende! #birra #bier #beer #kölsch #prost #salute #cheers #engel #angel #picoftheday #todrink #durst #thirsty #köln #cologne… https://www.instagram.com/p/BkXAINun9iw/?utm_source=ig_twitter_share&amp;igshid=1cc7m1ieeja0f
Fri Jun 22 18:47:35 +0000 2018,"Wie wahr ... #zitat #martinluther #bier #trinken #werkeinbierhathatnichtszutrinken @Fürth, Germany https://www.instagram.com/p/BkVmkJDl9tr/?utm_source=ig_twitter_share&amp;igshid=1bpbj9fhvuyh9"
Fri Jun 22 18:43:15 +0000 2018,Heute beim Bierfest in Bonn Beuel tolle Auswahl an Craftbeeren und ein schöner Event #craftbeerporn #craftbeer #bonn #bier #bierfest #beer #beerporn #bier @Rathaus Beuel https://www.instagram.com/p/BkVmEh4B3FF/?utm_source=ig_twitter_share&amp;igshid=110dd507wkqsr
Fri Jun 22 18:03:45 +0000 2018,Bier trinken (@Im Nordfeld) https://www.swarmapp.com/c/0rfE9VDkad0
Fri Jun 22 15:20:38 +0000 2018,Neues Bier zum Island-Spiel ... lecker - Drinking a Lucky Experience by Schnbuch Braumanufaktur @Merklingen — http://untp.beer/s/c614561445 #photo
Fri Jun 22 12:44:58 +0000 2018,sekt für alle; bier für mich!
Fri Jun 22 11:02:23 +0000 2018,Dann nehm ick halt n Bier ;)
Fri Jun 22 05:23:01 +0000 2018,"So nun hab ich den Königs Walking Pfad endlich mal komplett gelaufen, war echt anstrengend. Immerhin 223 Höhenmeter #walking #sport #fitness danach gab's erstmal nen Bier Natürlich… https://www.instagram.com/p/BkUKfJljXl6/?utm_source=ig_twitter_share&amp;igshid=1ul1roh49bsm3"
Thu Jun 21 21:57:14 +0000 2018,Drinking a Dinkel Bier by Stromberger Urbru - Hausbierbrauerei Mario Miedl @Camping Sonnenstrand — http://untp.beer/s/c614306152 #photo
Thu Jun 21 12:59:58 +0000 2018,#zsmn heim mit Bier 
Thu Jun 21 05:28:19 +0000 2018,"KURPFALZ BRÄU HELLES - Ein wundervolles Bier für diesen heißen Sommer - -- Visionary, Location Scout, Brand Ambassador | © Jürgen R. Schreiter, 2018 http://www.JuergenSchreiter.com http://www.Facebook.com/JRSchreiter -- Follow my youtube:… https://www.instagram.com/p/BkRmOhVj3-v/?utm_source=ig_twitter_share&amp;igshid=1l2hqdx4vov8s"
Wed Jun 20 18:59:34 +0000 2018,Köln. Ein großes Bier bestellt. Und bekommen.… https://www.instagram.com/p/BkQeV3khRPS/?utm_source=ig_twitter_share&amp;igshid=1f3a19ihs6rjd
Sun Jun 17 16:10:44 +0000 2018,Festival der Bier Kulturen in Köln was eine… https://www.instagram.com/p/BkIcoxXhL00/?utm_source=ig_twitter_share&amp;igshid=n9mdc3jleqxk
Sat Jun 16 21:44:55 +0000 2018,Heute mit Banane - Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Missin' Link — http://untp.beer/s/c612495323 #photo
Sat Jun 16 11:47:28 +0000 2018,"#bier (at @Kaufland Rottenburg am Neckar in Rottenburg am Neckar, Baden-Württemberg) https://www.swarmapp.com/c/5wMsGVf0P7M"
Thu Jun 14 15:40:18 +0000 2018,"... #notmybeer - schal, süss, wer verbricht sowas? Schlechtestes Bier was ich von Störtebecker kenne ... - Drinking a Scotch-Ale / Whisky-Bier by Strtebeker Braumanufaktur @Brelingen — http://untp.beer/s/c611151365 #photo"
Thu Jun 14 10:47:06 +0000 2018,Bier-Test zur Weltmeisterschaft http://www.faz.net/aktuell/rhein-main/bier-test-unsere-elf-fuer-die-weltmeisterschaft-15639473.html
Wed Jun 13 18:52:57 +0000 2018,#Prost #Feierabend #Bier - Drinking a Chiemseer Hell by Auerbru Rosenheimer Spezialittenbrauerei @Flörsheim am Main — http://untp.beer/s/c610896701
Wed Jun 13 18:48:27 +0000 2018,Und ein warmes Bier
Wed Jun 13 18:02:57 +0000 2018,Was strömt? Das Bier oder der Livestream? // @unter_mir @me_freakshow
Wed Jun 13 14:08:13 +0000 2018,Drinking a Hirsch Bier Urhell by Memminger Brauerei at @ep_tripsdrill — http://untp.beer/s/c610842687
Sun Jun 10 16:39:45 +0000 2018,"Eins mit ohne. Sieht aus wie ein Bier, riecht… https://www.instagram.com/p/Bj2eZU8D7Bn/?utm_source=ig_twitter_share&amp;igshid=9tkvxzr08txy"
Sun Jun 10 11:59:47 +0000 2018,"Oberhausen sind auch nur paar staubige Meter... Kurz darauf folgt schon das Schild Duisburg. Wollte dir nur die Chance geben, ein weiteres Bier zu besorgen. "
Sat Jun 09 21:48:38 +0000 2018,Alt Bier. Das good. @Uerige https://www.instagram.com/p/Bj0c89cgjow/?utm_source=ig_twitter_share&amp;igshid=h6npyeeup387
Sat Jun 09 20:50:26 +0000 2018,Bier! Bitte!!! (at @EisenBremen in Bremen w/ @hansenheld @ich_halt_) https://www.swarmapp.com/c/gLuLd5x0BXc
Fri Jun 08 17:36:29 +0000 2018,Bier (@Brauerei Gasthof Kraus in Hirschaid) https://www.swarmapp.com/c/isQiNKE5TTU
Fri Jun 08 17:18:59 +0000 2018,"0' Was werden uns Rudis Jungs gegen die Öl-Scheichs aus Saudi-Arabien bieten? Nur Brot und Wasser oder Bratwurst und Bier? Letzteres sollte auf jeden Fall frühzeitig kalt gestellt werden, da läßt sich aufsteigender Frust leichter die Kehle hinunter spülen. #GERKSA"
Fri Jun 08 11:17:54 +0000 2018,"Neues Ziel: In möglichst vielen Sprachen »Ein Bier, bitte!« erlernen und dann in Xing bei den Sprachen »Grundkenntnisse« angeben."
Thu Jun 07 18:27:37 +0000 2018,"Nach dem harmlosen Unwetter regnet es und ich genieße ein weiteres neues Bier und freue mich, dass ich heute nicht im Garten gießen muss - Drinking a Stiftungsbräu Helles Vollbier by Erdinger Weissbru @Home of Ostwestf4le — http://untp.beer/s/c608273455 #photo"
Thu Jun 07 15:15:28 +0000 2018,"Jetzt muss noch Bier her, dann ist gut für heute (@EDEKA in Rottenburg Am Neckar) https://www.swarmapp.com/c/6IbL5v3xDGL"
Tue Jun 05 19:01:00 +0000 2018,"Feierabend Bier (@Zum Löwen in Reilingen, Baden-Württemberg) https://www.swarmapp.com/c/8byGKApvD8m"
Mon Jun 04 16:00:08 +0000 2018,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/6AyWGhd1s3W"
Sun Jun 03 12:57:28 +0000 2018,"Bier. Bier. Bier. (@Waterloo Biergarten in Hannover, Niedersachsen) https://www.swarmapp.com/c/2aRKJexPcfR"
Sat Jun 02 19:55:50 +0000 2018,"Riecht nach Senfbot, richtig schön stechend. Schmeckt auch beeindruckend senfig. Dazu süß und nettes Bier mit merkbarer Bitterkeit. - Drinking a Frenzel's Honig-Senf by Frenzel-Bru @Oststadt — http://untp.beer/s/c606508335 #photo"
Sat Jun 02 18:56:44 +0000 2018,Teeiger Zwetschgengeruch. Schmeckt süß teeig fruchtig. Auch etwas säuerlich. Dünnes Bier ist auch noch irgendwo drin. - Drinking a S čistou hlavou Švestka by Bernard Family Brewery/ Rodinn pivovar Bernard a.s. @Oststadt — http://untp.beer/s/c606443197 #photo
Sat Jun 02 06:06:33 +0000 2018,guten morgen; ich habe euch bier gekocht.
