Tue Jan 30 17:05:19 +0000 2018,Brauhaustour Köln: Lernen Sie fließend Kölsch! #Brauhaustour #Köln_ #Lernen #Kölsch #Ziehen #Brauhäuser #Früh #Bier https://makis.world/ads/10345230450773372/i/Brauhaustour_Ko_ln_Lernen_Sie_flie&#xDF;end_Ko_lsch_/cases/2468577
Thu Jan 25 20:27:36 +0000 2018,Mexikaner and tomatobeer mr_kennedys - party on! #tomatobeer #tomatoparty #bier #mrkennedy… https://www.instagram.com/p/BeYsXdMlkQ5/
Thu Jan 25 15:08:58 +0000 2018,Kein Bier vor vier wookahofficial #wookahofficial #mood #smoke #hookah #hookahfreaks… https://www.instagram.com/p/BeYH5xHnNZp/
Thu Jan 25 06:45:16 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/2268380
Mon Jan 22 19:59:42 +0000 2018,#staubsaugerbeutel #kaffee #nudelpizza #katzenkekse (also für katzen; nicht aus katzen) #cheddarchips #loewensempft #acc #hafermilch #bier
Mon Jan 22 19:38:10 +0000 2018,"Riecht und schmeckt nach Holunderblütensirup. Aber auch genug Bier drin. Süß, aber nicht fies. Dass es Weiße ist, merkt man eher nicht. - Drinking a Holderweisse Alkoholfrei by Schffler Bru @Oststadt — http://untp.beer/s/c553851976 #photo"
Mon Jan 22 18:50:05 +0000 2018,Traubenaroma. Süß. Nom. Hoffentlich das richtige Bier eingeloggt... - Drinking a Vic Secret / Galaxy Pale Ale by Hildesheimer Braumanufaktur @Oststadt — http://untp.beer/s/c553844643 #photo
Mon Jan 22 16:38:16 +0000 2018,"#biertest #6von12 Porter Erdbeer Zwischendurch echt erfrischend anders. Schade, dass das in Dland nur als Mischgetränk durchgeht, und nicht als “Bier” gebraut werden darf. "
Mon Jan 22 07:39:03 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/2203546
Mon Jan 22 07:16:09 +0000 2018,"Frühschoppen-Brauhaustour Köln inkl. Bier, Kräuterschnaps &amp; Kölsche Happen #Frühschoppen_Brauhaustour #Köln #Bier https://makis.world/ads/10345230450773370/i/Fru_hschoppen_Brauhaustour_Ko_ln_inkl_Bier_Kra_uterschnaps_Ko_lsche_Happen/cases/2203544"
Sun Jan 21 15:05:13 +0000 2018,Drinking a Hörder Pils by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c553458209 #photo
Sat Jan 20 23:56:09 +0000 2018,Habe Bier und Berliner Luft. Also mir gehts prima .
Sat Jan 20 12:31:39 +0000 2018,Jetzt erstmal ein Bier @FPMG Supporters Club e.V. FanHaus https://www.instagram.com/p/BeK966qhdEYcMrO98eUfcKCXWLkrwmlMb29igg0/
Fri Jan 19 22:37:42 +0000 2018,es ist viertel nach bier.
Fri Jan 19 18:16:25 +0000 2018,"Endlich wieder Bier aus schönen Flaschen testen. Es schmeckt ein wenig nach Blut, also diesen Eisengeschmack. "
Fri Jan 19 14:49:56 +0000 2018,"It has arrived! Düsseldorf, los geht's #craftyoursoul Craft Bier aus der Region +… https://www.instagram.com/p/BeIo85bnG2B/"
Thu Jan 18 08:22:01 +0000 2018,"Kollege eben: sag mal Wörter mit Bier. Bierat, Bieranias, Bieramyde, Biermasens... "
Wed Jan 17 19:44:41 +0000 2018,"Gibt es da nicht ein ""Zertifikat"" wie bei den Currywurst und Bier Tester Events? Laaaaangweilig!"
Tue Jan 16 20:56:42 +0000 2018,Heute mal später: #biertest #3von12 Störtebecker Schwarz-Bier War mit fast ein wenig zu rauchig. 
Tue Jan 16 19:41:37 +0000 2018,"Das Bier danach. Lecker hier. Wenn ihr mal in Köln seid, sehr zu empfehlen #fritten @Frittenwerk https://www.instagram.com/p/BeBb8pHFrph/"
Tue Jan 16 19:15:03 +0000 2018,DAS Malz-Bier aus meiner Kinder- und Jugendzeit – sehr erfrischend. Schmeckte eisgekühlt nach dem Leichtathletik-Training besonders gut. - Drinking a Vitamalz by @krombacherbeer @Duisburg — http://untp.beer/s/c551607354 #photo
Sun Jan 14 09:57:11 +0000 2018,Regionales #bier aus #frammersbach. Geschmacklich kein Vergleich zu #becks und co. @Berghütte… https://www.instagram.com/p/Bd7PeQ1j6xC/
Sat Jan 13 21:13:00 +0000 2018,"Frischer Ingwer, nicht zu süß, Zitrone, brennt. Ziemlich lecker. Kein Bier. - Drinking a Naturfrisk Ginger Beer by rbk Bryggeri @Oststadt — http://untp.beer/s/c550536426 #photo"
Sat Jan 13 17:31:53 +0000 2018,Sehr gutes #teambuilding #event... Mich hat es Überzeugt. Euch auch? #bier #startup #funnyvideos… https://www.instagram.com/p/Bd5emzXlWRW/
Sat Jan 13 07:42:20 +0000 2018,Die Qual der Wahl. #bier #beer #pils #ipa #kippis #prost #wastrinkeichheute @EDEKA Mohr https://www.instagram.com/p/Bd4bQGRnzP0/
Fri Jan 12 18:18:15 +0000 2018,"Mein erstes Eishockey-Bier, äh, -Spiel — Drinking a Licher Pilsner Premium by Licher Privatbrauerei (@Eissporthalle Frankfurt in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/d5S1tV3y9oU"
Fri Jan 12 10:33:06 +0000 2018,Wiesen-Mühle biere #beer #craftbeer #olenieling #instabeer #beerstagram #beergeek #bier… https://www.instagram.com/p/Bd2J_2UgBJN/
Fri Jan 12 00:41:15 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1997364
Thu Jan 11 20:14:05 +0000 2018,"Bier. Untergärig. Nur ein bisschen karamellig, schmeckt eigentlich nicht dunkel. UG-Getreide. Gut, aber nicht so spannend. - Drinking an E.T.A Hoffmann by Mahr's Bru @Oststadt — http://untp.beer/s/c549594903 #photo"
Thu Jan 11 00:38:46 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1951329
Thu Jan 11 00:16:04 +0000 2018,Brauhaustour Köln: Lernen Sie fließend Kölsch! #Brauhaustour #Köln_ #Lernen #Kölsch #Ziehen #Brauhäuser #Früh #Bier https://makis.world/ads/10345230450773372/i/Brauhaustour_Ko_ln_Lernen_Sie_flie&#xDF;end_Ko_lsch_/cases/2073844
Wed Jan 10 19:56:14 +0000 2018,Auf ein Neues #brandschutz #bier #nrw @Frankenheim… https://www.instagram.com/p/BdyA2g8HtyrBAaZZes2nUvmJyHdCZbcZ3QpZMQ0/
Wed Jan 10 19:17:05 +0000 2018,oder . Wie der Berliner zum Bier to go sagt
Wed Jan 10 18:35:21 +0000 2018,Yam Yam Yam (@Craft Burger & Bier - @craftburgerab in Aschaffenburg) https://www.swarmapp.com/c/8xFZCq6yDcl
Wed Jan 10 18:28:52 +0000 2018,Sau lecker Burger. Sehr zu empfehlen! #Burger #Wiesbaden #Streetburger #essen #bier #feierabend… https://www.instagram.com/p/Bdx22qvASD-/
Tue Jan 09 21:42:26 +0000 2018,Kölner mal wegschauen. Durchaus geeignet für ein Brandschutz Bier… https://www.instagram.com/p/BdvoNrfFw0u7FbeVXNMRYeQO2CG6WNzTXSHRyA0/
Mon Jan 08 00:12:11 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1894485
Sun Jan 07 23:17:57 +0000 2018,"Frühschoppen-Brauhaustour Köln inkl. Bier, Kräuterschnaps &amp; Kölsche Happen #Frühschoppen_Brauhaustour #Köln #Bier https://makis.world/ads/10345230450773370/i/Fru_hschoppen_Brauhaustour_Ko_ln_inkl_Bier_Kra_uterschnaps_Ko_lsche_Happen/cases/1997362"
Sun Jan 07 18:53:54 +0000 2018,Hallo? Bier?! Ich komme aus Bayern. Meine Nahrung besteht aus Bier!
Sun Jan 07 18:49:46 +0000 2018,Hab ich was von Bier gehört?
Sun Jan 07 00:09:03 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1894484
Sat Jan 06 23:16:00 +0000 2018,"Frühschoppen-Brauhaustour Köln inkl. Bier, Kräuterschnaps &amp; Kölsche Happen #Frühschoppen_Brauhaustour #Köln #Bier https://makis.world/ads/10345230450773370/i/Fru_hschoppen_Brauhaustour_Ko_ln_inkl_Bier_Kra_uterschnaps_Ko_lsche_Happen/cases/1997361"
Sat Jan 06 00:07:07 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1894483
Fri Jan 05 20:23:30 +0000 2018,Bier wie Wein. Lecker - Drinking a Big Wave Golden Ale by @KonaBrewingCo @Zum Turbo Semfshow — http://untp.beer/s/c547716337 #photo
Fri Jan 05 11:29:02 +0000 2018,"Unser Vorsatz fürs neue Jahr? - Na, mehr über Craft Bier lernen! Meldet euch an zum… https://www.instagram.com/p/BdkO1KbHsWq/"
Fri Jan 05 00:04:54 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1894482
Thu Jan 04 05:09:31 +0000 2018,"Führung Miltenberg - Dirndl, Bier und Brezeln #Führung #Miltenberg #Dirndl #Bier #Brezeln #Altstadt #Synonym #Wiss https://makis.world/ads/10345230450773618/i/Fu_hrung_Miltenberg_Dirndl_Bier_und_Brezeln/cases/1825541"
Thu Jan 04 00:01:58 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1839150
Wed Jan 03 18:55:12 +0000 2018,"A traditional German meal: Döner, pastry (Strusseläter??), und Bier. "
Wed Jan 03 00:00:42 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1839149
Tue Jan 02 12:26:59 +0000 2018,"Oh look, ein Brauhaus in Köln mit gute Bier! (@Brauhaus Früh am Dom in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/7gd1AF4hlt3"
Mon Jan 01 23:58:54 +0000 2018,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1824347
Mon Jan 01 04:19:17 +0000 2018,"Führung Miltenberg - Dirndl, Bier und Brezeln #Führung #Miltenberg #Dirndl #Bier #Brezeln #Altstadt #Synonym #Wiss https://makis.world/ads/10345230450773618/i/Fu_hrung_Miltenberg_Dirndl_Bier_und_Brezeln/cases/1791936"
