Sun Apr 29 14:57:33 +0000 2018,Angeblich gibt es hier #Bier (@Schutterhof in Ingolstadt) https://www.swarmapp.com/c/7ztBaa5MkTn
Sat Apr 21 22:22:28 +0000 2018,"#Bier gehört zum #Ruhrpott wie dat #Amen inner #Kirche! (Ob arm, ob reich...beim Bier sind alle… https://www.instagram.com/p/Bh2VvYbh3ce/"
Sat Apr 21 21:48:45 +0000 2018,Hier gibt es kaltes Bier aus Badewannen. Hier ist es gut!
Sat Apr 21 18:10:52 +0000 2018,Und ihr so? #wochenende #samstag #grill #fleisch #kartoffeln #bier #kölsch #beer #meat #saturday… https://www.instagram.com/p/Bh15E25HtaF/
Sat Apr 21 16:47:13 +0000 2018,Jetzt. Läuft. #grafzeppelin #bier #badhomburg #beer @Bad Homburg https://www.instagram.com/p/Bh1vgWThl4a/
Sat Apr 21 12:45:42 +0000 2018,Da hat mal jemand wirklich gut bei #Lidl mitgedacht und #bier kaltgestellt. #Toll
Fri Apr 20 19:53:28 +0000 2018,"Sommer, Bier und Sonnenuntergang (@Palast der Republik in Stuttgart, Baden-Württemberg) "
Fri Apr 20 17:20:29 +0000 2018,Heute haben wir den Biergarten geöffnet. Ein schönes gezapftes Bier oder Cocktail und den… https://www.instagram.com/p/BhzOYs0gXSH/
Fri Apr 20 16:40:34 +0000 2018,Grüße vom #havas #sonnendeck #tgif #teleprost schönes #Wochenende und habt ein paar #bier… https://www.instagram.com/p/BhzJ3f8jD8t/
Fri Apr 20 13:05:42 +0000 2018,Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Main Gelato — http://untp.beer/s/c587525581 #photo
Fri Apr 20 11:53:24 +0000 2018,Mir scheint die #Sonne auf den #Bauch! #Wochenende #Frühling #BestesWetter #Bier #Chillen @… https://www.instagram.com/p/Bhyo9nJAiio/
Fri Apr 20 10:56:23 +0000 2018,#lehrgang beendet! Jetzt kommt wieder der #alltag. Darauf trinken wir! #prost #bier #beer… https://www.instagram.com/p/Bhyij98D3hC/
Thu Apr 19 18:20:46 +0000 2018,Bier aus der Heimat @Microsoft Köln https://www.instagram.com/p/Bhwwnt0Bet8nWzt_YR73EAunKNurBIC6oXjazk0/
Thu Apr 19 17:58:31 +0000 2018,"Bier kaufen (@Hit in Warendorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/jPbFHuBSc6k"
Thu Apr 19 17:17:39 +0000 2018,"Irgendwas mit Sonne, Bier, Garten und Abend. #landleben… https://www.instagram.com/p/BhwpZXkAFGLe3yisQ9S03DHMlknijDi1lcjsiM0/"
Wed Apr 18 19:25:41 +0000 2018,"Das Bier ist sehr gut @Frankfurt, Germany https://www.instagram.com/p/BhuTQjLlIcf/"
Wed Apr 18 19:17:34 +0000 2018,Gibt schlechtere Orte zum Bier trinken. (@Achterdeck in Köln) https://www.swarmapp.com/c/gxqkg39MlfA
Wed Apr 18 16:41:18 +0000 2018,Feierabend Freunde #Bier #Sonne #welovefrankfurt #DutrinkstBier… https://www.instagram.com/p/BhuAaE2higJ7acreV1dJlEAxEa1uCKOgL8QJN00/
Wed Apr 18 14:21:58 +0000 2018,Drinking a DBB Dortmunderisch Export by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c586906185 #photo
Sun Apr 15 20:27:00 +0000 2018,"Wir hatten immer die Idee ein Bier mit Sencha Tee und geröstetem Reis zu brauen, um unsere… https://www.instagram.com/p/BgQuj3iHRZi/"
Sun Apr 15 19:27:08 +0000 2018,"Immer Treu. Immer da wenn ich es brauche, egal in welcher Uhrzeit. Mein Bier. Mein Desperado.… https://www.instagram.com/p/BhmkVDYF0x4/"
Sat Apr 14 19:49:04 +0000 2018,Feierabendbier... Bier....Bier... Bier (at @EisenBremen in Bremen w/ @ingozen @puschi22 @hansenheld @felixbrunhorn @fireflie8 @_sinasophie_ @ich_halt_) https://www.swarmapp.com/c/7P7NjP63K2s
Sat Apr 14 15:44:09 +0000 2018,"Hobbys: Bier trinken, verträumt in die Sonne schauen und lange Spaziergänge am Strand.… https://www.instagram.com/p/BhjmuKnBD92/"
Sat Apr 14 15:31:00 +0000 2018,"das ist alles wegen bier! ( : @jabbainthehutt ) @Cologne, Germany https://www.instagram.com/p/BhjlHThDfeo/"
Sat Apr 14 09:55:16 +0000 2018,"Bier und Salziges, es wird Gezockt ^^ #einkaufen (at @Lidl in Rottenburg, Berlin) https://www.swarmapp.com/c/ijY8fKmZabH"
Sat Apr 14 07:35:35 +0000 2018,"""Henninger Märzen"": Jetzt hat der Turm sein eigenes Bier http://www.fnp.de/lokales/frankfurt/Henninger-Maerzen-Jetzt-hat-der-Turm-sein-eigenes-Bier;art675,2960518"
Sat Apr 14 02:06:04 +0000 2018,"Jetzt hat der Turm sein eigenes Bier http://www.fnp.de/lokales/frankfurt/Jetzt-hat-der-Turm-sein-eigenes-Bier;art675,2960518"
Thu Apr 12 21:38:55 +0000 2018,"*Brüllt* In Waaaaaves Plötzlich stand Jesus neben mir. Gut, vielleicht war’s auch einfach eine… https://www.instagram.com/p/BhfFqtelrn6/"
Thu Apr 12 17:56:36 +0000 2018,Drinking a DBB Frühlingsbier by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c584426343 #photo
Thu Apr 12 17:43:44 +0000 2018,Drinking a DBB Dortmunderisch Export by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c584422917
Wed Apr 11 17:39:52 +0000 2018,"Bier und Fussball. Läuft! (@Gottes Grüne Wiese in Köln, Nordrhein-Westfalen) "
Wed Apr 11 17:38:27 +0000 2018,#Feierabendbier 6-Korn Bier. Schmeckt wie ein süffiger Erdbeer Milkshake! Sau geil was man… https://www.instagram.com/p/BhcFbGhFM0y/
Tue Apr 10 16:01:48 +0000 2018,Das Bier ist da!!! Und wird nochmal vorab richtig durchgekühlt bevor es wieder heißt: Craft Beer… https://www.instagram.com/p/BhZVhAahB5q/
Mon Apr 09 20:27:20 +0000 2018,Sieger Bier #RBLB04 - Drinking a Meine Hopfenweisse / Schneider-Brooklyner (TAP5) by @schneiderweisse/@brooklynbrewery @MMMT — http://untp.beer/s/c583737916
Mon Apr 09 18:11:55 +0000 2018,Endlich mal ein ordentliches Bier #augustiner #edelstoff #augustinerbräustuben #münchen… https://www.instagram.com/p/BhW_isgjV9X/
Mon Apr 09 04:00:23 +0000 2018,Bier und Bratwurst geht immer.... Wein und Bratwurst aber auch...! Zu unseren leckeren… https://www.instagram.com/p/BhVeNq1Fm7u/
Sun Apr 08 20:02:35 +0000 2018,"Ostern ist zwar schon vorbei, aber dieses milde Bier ist perfekt nach 500 km Autofahrt. - Drinking an Oster-Festbier by Hasen-Bru @Duisburg — http://untp.beer/s/c583441543 #photo"
Sun Apr 08 15:39:05 +0000 2018,Erstes Bier am Aachener Weiher #köln #kölle #liebedeinestadt #kölnliebe #aachenerweiher… https://www.instagram.com/p/BhUJXwVnkcr/
Sun Apr 08 15:10:10 +0000 2018,"Es ist angegrillt! #sommer #geowiese #bier #grillen @Cologne, Germany https://www.instagram.com/p/BhUGEX3nuBs/"
Sun Apr 08 13:56:09 +0000 2018,"Wieder die alte ""kein Bier vor 4"" Regel gebrochen. :) - Drinking a Schneider Weisse Meine helle Weisse (TAP1) by @schneiderweisse @BBQ &amp; Homebrew Terrasse @MMMT — http://untp.beer/s/c583272037"
Sun Apr 08 08:34:35 +0000 2018,"#stammtisch #bier #heute #nur 3,-€ @Baden-Württemberg, Germany https://www.instagram.com/p/BhTYy8EFHrW/"
Sat Apr 07 16:35:39 +0000 2018,Schön in der Sonne noch ein lecker Bier Weizen @Alter Moselbahnhof https://www.instagram.com/p/BhRrDhmjb-f/
Sat Apr 07 14:33:23 +0000 2018,"Gebt guten Bier ein Zuhause. Einweihung des, wie ich finde, sehr coolen Becher von And Union.… https://www.instagram.com/p/BhRdAHrBOrZ/"
Fri Apr 06 18:24:40 +0000 2018,"Harzig blumig. Nett bitter. Ganz schön fett Hopfen, aber mit genug Bier drunter. Sesamig wie bei Robens üblich. - Drinking a Hopsession by Robens Kerker Bru @Fußgängerzone — http://untp.beer/s/c581914767 #photo"
Fri Apr 06 13:36:25 +0000 2018,Drinking a DBB Schwarzbier by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c581817762 #photo
Fri Apr 06 13:34:07 +0000 2018,Drinking a DBB Spezial by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c581817468 #photo
Fri Apr 06 13:32:23 +0000 2018,Drinking a DBB Export by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c581817192 #photo
Fri Apr 06 13:25:23 +0000 2018,Drinking a DBB Pils by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c581816473 #photo
Fri Apr 06 11:04:04 +0000 2018,Bier für die 3 Jahres-Feier direkt von der Brauerei geholt. Merci für die Beyer’s Oil… https://www.instagram.com/p/BhOgUFhhhPT/
Thu Apr 05 17:33:28 +0000 2018,Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Pfaffen Brauerei — http://untp.beer/s/c581509282 #photo
Thu Apr 05 09:12:02 +0000 2018,Abwarten und Tee trinken. Oder Bier.
Wed Apr 04 16:20:11 +0000 2018,"Am 15. April ist ""Fit in den Frühling"" mit verkaufsoffenem Sonntag! Zeitgleich findet die Bier, Wein und Genuss #Reutlingen im Oldtimerdepot statt! Kostenlose Oldtimer-Shuttlebusse von der @Stadthalle_RT zur Veranstaltung fahren jeweils zur vollen Stunde #erlebReutlingen"
Tue Apr 03 18:05:24 +0000 2018,Guter Ort ! Gutes Bier ! @Landhaus Sassenhof https://www.instagram.com/p/BhHiJJQhQ8W/
Mon Apr 02 17:09:02 +0000 2018,Oster Spargel Essen mit Maja und Susi ( Hund ) und Weizen Bier @Alter Moselbahnhof https://www.instagram.com/p/BhE25fZnYB-/
Mon Apr 02 15:07:35 +0000 2018,"Klingt auch spannend. Inklusive Spocketholes! Sobald du da was vorzeigbares hast, schick ruhig mal rüber. Dann reden wir im Podcast drüber "
Mon Apr 02 15:05:00 +0000 2018,"Probier mal mit 120er-Rollfilm, das ist ein guter Kompromiss zw Größe, Kosten und Handhabbarkeit."
Mon Apr 02 15:03:56 +0000 2018,"Schärfe geht schon halbwegs, aber dafür braucht’s große Formate und kleine Löcher. Hier z.B. 4x5“ mit Lochblende f/213 https://www.flickr.com/photos/nubui/5439370625/in/album-72157626962926382/"
Mon Apr 02 14:56:44 +0000 2018,Wie groß ist dein Sensor/Film? Wie groß ist der von denen bei Flickr? Wie präzise ist das Loch? Schärfe hängt von vielen Faktoren ab.
Mon Apr 02 14:42:36 +0000 2018,Kleineres Loch = mehr scharf (dann aber mit Stativ oder Auflegen und länger belichten)
Mon Apr 02 10:23:21 +0000 2018,Läuft. #bier #alpirsbacher @hubRaum Durlach - Restaurant &amp; Livingroom https://www.instagram.com/p/BhEIelpnNzp/
Sun Apr 01 17:32:54 +0000 2018,Musik und Bier. Alles gut. #köln #Gloria #ollischulz @GLORIA THEATER https://www.instagram.com/p/BhCU1rXFUYC/
Sun Apr 01 14:06:47 +0000 2018,Sonne und Bier (@Hopfen &amp; Schmalz in Bremen) https://www.swarmapp.com/c/jZymqzokIND
Sun Apr 01 12:48:39 +0000 2018,"Das Folgende bezieht sich ausdrücklich nicht speziell auf @Diether_Dehm! Man kann sogar mit #Nazis gemütlich ein Bier trinken, aber der Anstand gebietet es, das nicht zu tun. Im Übrigen würde ich mit keinem der beiden ein Bier trinken. // @HeikoMaas @jmoenikes @ronzheimer"
Sun Apr 01 11:34:13 +0000 2018,Easter bier with Easter lunch. - Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Schützenhaus — http://untp.beer/s/c580239395 #photo
Sun Apr 01 06:48:09 +0000 2018,Das mit dem Bier schon..
