Mon Jan 30 20:24:47 +0000 2017,"Bier and breze @Ingolstadt, Germany https://www.instagram.com/p/BP5t4LbgadZ/"
Thu Jan 19 21:07:37 +0000 2017,Heute gibt es #Pilzpfanne..... #bier #beer #ausderregion #pilz @Hemsbier https://www.instagram.com/p/BPdeCThjWKG/
Thu Jan 19 21:06:39 +0000 2017,#haxe in #köln #imm2017 #stinco @Bier-Esel https://www.instagram.com/p/BPdd7JLAtIt/
Thu Jan 19 18:11:22 +0000 2017,Currywurst und groß Bier @Düsseldorf Airport https://www.instagram.com/p/BPdJ3XMhIoS/
Thu Jan 19 15:48:52 +0000 2017,Danke ! Genau passend. Gestern haben wir das neue Bier vorgestellt und heute eine neue… https://www.instagram.com/p/BPc5jxNDmHf/
Wed Jan 18 20:54:46 +0000 2017,Kann losgehen #gothic2 Bier und Pizza sind bereit @DerReinkor @MrCrackerMicha #rbtv. #Nicenstein
Tue Jan 17 14:37:43 +0000 2017,Das Bier ist da!! Wir haben jetzt schon einmal das Bier kalt gestellt für eine neue Runde der… https://www.instagram.com/p/BPXn029h2SW/
Mon Jan 16 20:01:04 +0000 2017,Dominic Toretto trinkt lieber Corona-Mittelstrahlplörre als Belgisches Bier. Und fliegt seine Karre für 1 Rennen bis nach Japan.
Mon Jan 16 12:36:00 +0000 2017,Gut lunch Bier Prost! - Drinking a Schwaben Bräu Urtyp Export @Bahnhof Hauptstuhl - http://untp.beer/s/c406926892
Sun Jan 15 19:51:30 +0000 2017,Süffiges Bierchen - Drinking a Detmolder Thusnelda-Bier by Privat-Brauerei Strate @Duisburg — http://untp.beer/s/c406611174 #photo
Sat Jan 14 20:41:32 +0000 2017,"Nettes Bier @Wiesbaden, Germany https://www.instagram.com/p/BPQjE_Mjg4L/"
Sat Jan 14 19:10:51 +0000 2017,"#Epica, wir nähern uns #Powerwolf. Sehr geiler Auftritt, könnten auch #Headliner sein. #Bier mit… https://www.instagram.com/p/BPQYsnYB_3W/"
Sat Jan 14 18:11:26 +0000 2017,"#BeyondTheBlack, heute Vorgruppe von #Powerwolf, sehr gut bisher. Und das #Bier läuft mit… https://www.instagram.com/p/BPQR5fDhvJq/"
Fri Jan 13 20:53:00 +0000 2017,"Riecht getreidig frisch. Schmeckt pilsig, aber halbwegs nett ... (Detmolder Thusnelda-Bier) http://untp.beer/s/c405427484 #photo"
Fri Jan 13 20:24:33 +0000 2017,"""Geh mal Bier holen, denn ich mein, dass du hässlich bist, das muss nicht sein..."" Oh mannnnn,… https://www.instagram.com/p/BPN8VfCBTVx/"
Fri Jan 13 18:59:55 +0000 2017,"Bier (@Finnegan's Irish Pub in Nürnberg, Bayern) https://www.swarmapp.com/c/6qkCuVzLQbY"
Fri Jan 13 07:21:00 +0000 2017,"Some Deutsche bier 'fore I haul ass (@Mondo Bianco in Frankfurt, Hessen) https://www.swarmapp.com/c/jc7Ej7W0gbR"
Thu Jan 12 17:37:26 +0000 2017,Unser #bier schmeckt #hemsbach #hemsbier @Hemsbier https://www.instagram.com/p/BPLEa03DEuF/
Thu Jan 12 13:26:47 +0000 2017,"Mal wieder Zeit fürs #Mittagessen, heute bei einer #Currywurst und einem #Bier bei #bluechili… https://www.instagram.com/p/BPKnuzVhMQP/"
Wed Jan 11 18:59:26 +0000 2017,Deine Unterwäsche ist aus Bier?
Wed Jan 11 10:50:50 +0000 2017,#biertester #riegelebiermanufaktur das kleinste Bier was ich je in meinem Leben getrunken haben… https://www.instagram.com/p/BPHxF5BDP0f/
Wed Jan 11 10:27:06 +0000 2017,"Bier kaufen (@Hit in Warendorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/gYHeRc2EDYh"
Tue Jan 10 18:02:56 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/emeHPOSPYNE"
Mon Jan 09 22:20:19 +0000 2017,Bier gab es auch :-) (aber nur eins für jeden) :-)
Sun Jan 08 22:25:18 +0000 2017,Heiße Waffel mit Kirschen und Bier ... schöner Ausklang nach dem Kino. @Cafe &amp; Bar Celona Bremen https://www.instagram.com/p/BPBSLoIhBZ4/
Sat Jan 07 16:34:02 +0000 2017,"Keine Ahnung, was genau der Typ mit der Riesensalami, zwei Bier und der Familienpackung Bodylotion will, aber viel Spaß!"
Tue Jan 03 18:49:51 +0000 2017,"Bier. (@Finnegan's Irish Pub in Nürnberg, Bayern) https://www.swarmapp.com/c/509eVGyW7vs"
Tue Jan 03 18:04:41 +0000 2017,#kalt #wind #nass #keineahnungvoninstagram @Maschsee https://www.instagram.com/p/BOz8Yi8gbyg/
Sun Jan 01 19:23:52 +0000 2017,"Auf ein #Bier Chocolate Bock von Maisel&amp;Friends #Prost #Beer #sundayevening @Hanover, Germany https://www.instagram.com/p/BOu72ujjMa3/"
Sun Jan 01 15:28:55 +0000 2017,Allgäuer Büble Bier. Bayrisch Hell Sehr gschmackig. Prost Neujahr! (zur Feier des Tages...) 
Sun Jan 01 00:30:41 +0000 2017,Erstes Bier 2017! — Drinking a Meine Hopfenweisse / Schneider-Brooklyner (TAP5) @MMMT — http://untp.beer/s/c401378173 #photo
