Fri Jan 31 21:56:58 +0000 2020,"Während ich mein zweites Bier trinke, hier ein ziemlich cooles Selfie von @astro_luca."
Tue Jan 28 10:23:23 +0000 2020,Bei Corona denke ich immer an das mexikanische Bier.
Mon Jan 27 23:48:36 +0000 2020,"Der letzte #Sommerhonig ist im Glas. Das #kornblumen - #Bier sorgt für die nötige Motivation. #craftbee #DerHonigdachs #Much #RheinSiegKreis #Imkerei #honig @Imkerei ""Der Honigdachs"" https://www.instagram.com/p/B715P3woPqI/?igshid=t4lz9s163ora"
Mon Jan 27 18:29:10 +0000 2020,"Das Ende des langen Wochenendes wird präsentiert von @hobbbes und #skeltoncigars Danke Sascha für das Bier - lecker, auch wenn sich mir die Espressonote nicht erschlossen hat. Aber die Zartbitter-Schoki kommt raus! @… https://www.instagram.com/p/B71Uss_ArG-/?igshid=u4i9s3vetc3s"
Mon Jan 27 18:16:39 +0000 2020,"Guten Abend meine liebe TL Der Montag wäre Geschaft und kann gerne weg! Kommt alle gut Heim und genießt euren Wohlverdienten Feierabend! Macht es euch allen Gemütlich und Genießt eueres Feierabend Bier, Wein usw! Komnt alle gut in den Dienstag rein! Gruß "
Mon Jan 27 00:46:40 +0000 2020,Also ich mochte Corona eigentlich immer. Zumindest das Bier von denen war immer gut.
Sun Jan 26 22:10:54 +0000 2020,"Dann sag vorher Bescheid, möchte dir gerne ein Bier ausgeben"
Sun Jan 26 21:54:21 +0000 2020,"Nix da! Bei den Evangelen gibt es sogar den Wein zur Oblate, und der ist durch alkoholische Gärung entstanden. Hilfe! In Bier und Wein sind Bakterien drin!!einsdrölf!!!"
Sun Jan 26 19:24:42 +0000 2020,Es gibt ein Bier das Corona heist hahahah
Sun Jan 26 17:15:04 +0000 2020,fernbus update: mein sitznachbar gönnt sich erstmal bier und bifi 
Sun Jan 26 16:25:42 +0000 2020,Backen mit Bier. Heute mit Berg Original Hell. Zum Glück bleibt etwas Bier über. Es staubt immer so extrem in der Küche. Cheers. - Drinking a Berg Original Hell by Berg Brauerei Ulrich Zimmermann @Fossis Bierbalkon — 
Sun Jan 26 15:08:37 +0000 2020,Bier schmeckt auch am Sonntag #Bier #gemütlich #Karneval – at Burghotel Pass
Sun Jan 26 13:03:24 +0000 2020,"Wie eckelig muss man im Kopf sein um so scheiss #bier zu kaufen. Das diese ganzen Kisten auch noch ausverkauft wurden, kann man nur noch als abscheulich bezeichnen. Faschismus ist keine Ideologie! #BadBibra #deutschesReichsbräu #FCKNZS"
Sun Jan 26 11:44:54 +0000 2020,UNMÖGLICH. NAZI -BIER?DAS GEHÖRT VERBOTEN. MAN KANN SEIN UMSATZ ANDERS REGELN. MICH WUNDERT DAS EIN GESCHÄFT DAS DARF? OB DIE JUDEN DAS GUT FINDEN?GLAUBE NICHT.. 
Sun Jan 26 11:26:01 +0000 2020,Überschreiten der Deadline kostete früher einen Kasten Bier für die Technik.
Sun Jan 26 10:48:38 +0000 2020,"BIER HUMPER UFF HESSISCH Unser 0,5 Liter Bier Humpen produziert in Handarbeit aus besonders strapazierfähiger Keramik! @Bembelstadt &gt;&gt;&gt; Einzelstücke und Serienproduktion auf Bestellung http://www.Bembeltown.de #bembel… https://www.instagram.com/p/B7x7MM6IyfZ/?igshid=x304o7folhqo"
Sun Jan 26 09:27:57 +0000 2020,Dann am besten kombiniert. Das letzte Bier hatte Grippeviren....oder so. 
Sun Jan 26 06:30:14 +0000 2020,Polizeidirektion Pirmasens - Wohl doch immer ein Bier zu viel getrunken https://www.focus.de/regional/lokale-meldungen/polizeidirektion-pirmasens-wohl-doch-immer-ein-bier-zu-viel-getrunken_id_11593043.html?rnd=25eefa3c0f5871b43119d7499ee7d8a9
Sat Jan 25 22:03:34 +0000 2020,Lieber aufs Brot schmieren und das Bier dazu trinken. Jow.
Sat Jan 25 21:48:41 +0000 2020,"#bier #wein #jimbeam #captainmorgan #jackdaniels #taboo #spiel #wort #samstag #sanduhr #alkohol @Baisingen, Baden-Wurttemberg, Germany https://www.instagram.com/p/B7wh71cIekp/?igshid=17nf6dx8e2aad"
Sat Jan 25 20:56:41 +0000 2020,"Dieses feeling wenn der eigene Opa beim Handshake sein Bier umboxt und ich 0,3 auf dem linken Oberschenkel habe. "
Sat Jan 25 19:41:51 +0000 2020,Als ob es bei uns warmes Bier gäbe!
Sat Jan 25 18:02:56 +0000 2020,"Ein lecker #Bier im #Stiefel und dazu #Pyroggen. @Koblenz, Germany https://www.instagram.com/p/B7wIG4yAQ58/?igshid=cvfr8q9lpn9o"
Sat Jan 25 17:51:31 +0000 2020,Scheisse 2 Bier und Katastrophale Rechtschreibung. Ich bitte um Entschuldigung.
Sat Jan 25 17:49:41 +0000 2020,"Könnte auch sein, dass die Mehrheit ohne Keifen und Spalten (was die Gegenseite auch tut} entsteht und wir dann in Armut, weil deindustrialisiert, trotzdem auf die vermutete Apokalypse warten, weil uns Indien, China, USA uvm uns den Vogel zeigen. Bin dabei, ""1 Bier bitte"""
Sat Jan 25 15:38:40 +0000 2020,Dann gönnen wir uns ein Bier. Ist ja schon nach 4. Cheers. - Drinking a Berg Ulrichsbier by Berg Brauerei Ulrich Zimmermann @Fossis Bierbalkon — 
Sat Jan 25 14:17:23 +0000 2020,Scheisse ist das kalt. Stellt schon mal das Bier warm. Ich bin in 24 Minuten da. @twohltour
Sat Jan 25 10:39:36 +0000 2020,"Oh, Bier ohne anstehen "
Sat Jan 25 10:36:32 +0000 2020,"Fußballfans als menschlicher Abschaum: RE8 (10814) nach MGladbach voller Müll, zugeraucht und voller Bier. Der ganze Zug. Und nun wird gekifft. Kinder sind natürlich auch im Zug. Kameras abgeklebt. @DB_Bahn @1FSVMainz05"
Sat Jan 25 07:39:17 +0000 2020, Mögen sie sich am Bier verschlucken!!!!! 
Sat Jan 25 07:04:24 +0000 2020,"#Moinsen. Zeit für #Kaffee. K2 hat ab 07:15 Uhr gerufen... Heute Abend gibt’s Bier, gut dass morgen Frau ihren Aufstehtag hat... #LifeHack #family"
Fri Jan 24 23:52:22 +0000 2020,CAMPER BIER Wintercamping immer etwas besonderes #camperbier #camperlife #camperleben #bieretiketten #wohnmobil #weinsberg @Rudersberg https://www.instagram.com/p/B7uLTBAIAAl/?igshid=eg8j8vtjpbpy
Fri Jan 24 23:03:37 +0000 2020,Kennismaken met Altbier in Düsseldorf #vriendenweekend #bier 
Fri Jan 24 17:24:45 +0000 2020,was Soll ich anderes sagen wenn es noch Okey ist. Die können den ja nicht schon wieder das Bier weg nehmen. Ich fand die Antwort okay. und wen sie nichts machen können ist es auch so. kann ja nicht immer auf ihnen Rum hauen. Und Twitter Mitarbeiter/in kann am wenigstens machen
Fri Jan 24 16:25:47 +0000 2020,...a little bit too sweet for a Pils ... #beerpanda - Drinking a Wolf-Bier Pils by Kauzen-Bräu @Brelingen — 
Fri Jan 24 09:56:20 +0000 2020," NEUERÖFFNUNG 01.02.2020 Es ist soweit Ihr seid alle herzlich eingeladen. Der Termin steht..... am Samstag den 01. Februar 2020 ab 12:00 Uhr Neueröffnung Kommt vorbei und schaut euch bei Sekt, Bier,… https://www.instagram.com/p/B7srnDLCrFf/?igshid=dg7a8mfmngct"
Fri Jan 24 09:09:43 +0000 2020,"Happy Birthday, Dosenbier! Wir feiern in lecker mit frischem Fassbier Auf geht's ins #wochenende . . #zuhauseinratingen #talschlösschen #ratingen #willkommenzuhause #fassbier #dosenbier #prost #bier #ratugabier… https://www.instagram.com/p/B7smR8miEpJ/?igshid=viokxxu8629c"
Thu Jan 23 20:48:15 +0000 2020,"Habe mir gerade ein Bier bestellt. Gebe Trinkgeld. Die Frau an der Bar drückt mir die Münzen wieder in die Hand, schaut mich an und sagt: „Bitte gib das Geld jemandem da draußen.“ DANKE. – at FFT Juta"
Thu Jan 23 17:56:19 +0000 2020,Wir sollten mal wieder ein Bier trinken gehen. (Wenn ich mal wieder Zeit habe )
Thu Jan 23 16:27:31 +0000 2020,"Mitgenommen aus meinem Aufenthalt in Wetzlar hab ich zwar keinen Mehrwert, aber Bier."
Thu Jan 23 15:59:55 +0000 2020,Neues für Bad- Spa- und Interior-Design Glaskeramik aus Recyceltem Materialien (Bier- Champagner- &amp; Wasser-Flaschen) #trends #luxury #architecture #designer
Thu Jan 23 13:41:05 +0000 2020,"Heute Abend (23. Jänner 2020) was Kleines, Feines zum Bier? Rustikales Bauernbrot mit hausgemachtem Kartoffelkäse. . . . #restauration #kolonialwarenladen #colonialwarenladen #onkeltomshütteottweiler #feinkost… https://www.instagram.com/p/B7qgjMRnJ7i/?igshid=1quuzuxjquqhi"
Thu Jan 23 07:59:15 +0000 2020,Leider nicht mehr. Deswegen ja im Citygate! 
Thu Jan 23 07:53:32 +0000 2020,Ich schaue einfach das nächste Mal in Dein Fenster 
Thu Jan 23 07:45:24 +0000 2020,Da unten habe ich gerade einen Kaffee geholt! 
Wed Jan 22 22:33:24 +0000 2020,Ich kenn nur Corona Bier
Wed Jan 22 21:32:56 +0000 2020,"Geben'se dem Mann am Klavier, noch n' Bier, noch n' Bier #ibes"
Wed Jan 22 20:11:02 +0000 2020,"TSG Dülmen - SC Preußen Münster U19 (Testspiel) Fußball bei bestem Münsterwetter im Münsterland, serviert mit Bratwurst und Bier. #TSGDülmen #TSG #Dülmen #PreußenMünster #Preußen #Münster #scp06 #Regen #Fussball… https://www.instagram.com/p/B7ooX8pIl-S/?igshid=jubgn6ri2tsb"
Wed Jan 22 19:51:24 +0000 2020,Sag Bescheid wenn das Thema auf Bier Top 10 kommt
Wed Jan 22 19:28:32 +0000 2020,"Alles Gute. Hoffe wir können irgendwann mal in Ruhe, Frieden und im selben Team ein Bier zischen. Cheers."
Wed Jan 22 19:01:23 +0000 2020,Darf man eigentlich jetzt noch Corona - Bier trinken?
Wed Jan 22 18:01:31 +0000 2020,Ich verstehe die Frage nicht. Einfach beim guten Bier bleiben. Hab seit Jahren keinen Kater mehr gehabt.
Wed Jan 22 17:28:59 +0000 2020,@Sky_Service Kann man bei SkyQ ein eigentlich noch mehr Mediatheken als ARD und ZDF installieren? Ich denke da an @ARTEde
Wed Jan 22 17:26:36 +0000 2020,Alle warten auf die Ankunft des #Coronavirus aber ich persönlich warte lieber auf das Corona-Bier. #Corona #cerveza #bier
Wed Jan 22 07:15:23 +0000 2020,"Moin Jens, das wünsche ich dir auch "
Tue Jan 21 21:39:48 +0000 2020,Es ist #bierpornwoche! Jeden #tag ein neues &amp; anderes #bier aus dem #süden - #bierporn heute in #nuernberg - #follow my #week in #southgermany #haveasmile @Hotel Höfler https://www.instagram.com/p/B7mNvUQoIKm/?igshid=1amrrobeb1qg6
Tue Jan 21 19:32:27 +0000 2020,N lecker Köpi inner Hand und die gute RWO Mütze auf'n Kopp! Da stört mich auch die Kälte nicht! #winteriscoming #winter #cold #cozydays #warm #snow #cap #beer #rwo #rotweissoberhausen #nurderrwo #bier #pilsken… https://www.instagram.com/p/B7l_KghIJr4/?igshid=1qizw9yfyrmzv
Tue Jan 21 18:16:46 +0000 2020,1200 - Drinking a DBB Rotbier by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — 
Tue Jan 21 17:10:37 +0000 2020,Drinking a Salzburger Stiegl Bier by @stieglbrauerei @Hola Wellbeing —
Tue Jan 21 13:43:57 +0000 2020,Nope. Will da aber unbedingt noch hin hier in Bielefeld 
Mon Jan 20 20:15:19 +0000 2020,Hättest ja vorbei kommen können 
Mon Jan 20 19:21:28 +0000 2020,Hier hab ich vor 15 Jahren mein erstes Bier in Jena getrunken. Eigentlich sollte ich hier ja auch mein letztes trinken bevor ich die Stadt morgen endgültig verlasse... 
Mon Jan 20 18:49:15 +0000 2020,"Das Wasser läuft. Ich wiederhole, das Wasser läuft! Also schon seit einer Stunde, aber die Handwerker mussten erst ein Bier trinken. "
Mon Jan 20 17:34:26 +0000 2020,"Lieg fast ne halbe Stunde aufm Sofa. Dann fiel mir auf, das geöffnete Bier steht am anderen Ende des Raumes. Wie kommt es zu mir? Nutze die Macht. Cool. Das Bier ist jetzt in meiner Hand. Aber warum bin ich nicht mehr aufm Sofa?"
Mon Jan 20 17:03:48 +0000 2020,Das Bier ist mir egal. Wo bleibt das Salt Bae Video?
Mon Jan 20 17:02:39 +0000 2020,Schäme mich so: Ich war im Urlaub und hab kein einziges Foto von einem vollen Glas Bier gepostet. Nur noch peinlich!!!
Mon Jan 20 16:51:38 +0000 2020,"I'm at Burger & Bier in Würzburg, Bavaria "
Mon Jan 20 12:09:22 +0000 2020,Darauf erstmal ein Bier!
Mon Jan 20 03:04:05 +0000 2020,@bierslayer ich warte immer noch auf das besprochene Freibier. Random Fact: Ich trinke kein Bier.
Sun Jan 19 21:13:44 +0000 2020,Bier YouTube Grünkohl
Sun Jan 19 20:42:19 +0000 2020,Gebe ihn noch ne Flasche Bier 
Sun Jan 19 18:51:22 +0000 2020,"@FinkenkrugDU Könnt Ihr da vielleicht behilflich sein? Bier &amp; Metal, klingt so, als stünde da Euer Name drauf "
Sun Jan 19 18:50:12 +0000 2020,"Ja warum denn auch nich. Das Bier für die Kollegens brau ich auch nich selber. Wenn der Bäcker es kann, soll er es besser für alle machen, als ich es je könnte Ich mag Euch "
Sun Jan 19 18:41:51 +0000 2020,Ich finde Bahnfahren ja echt angenehm. Aber eine knappe Stunde nach Anfahrt des ICE in Berlin schon warmes (teures) Bier? Ach ehrlich @DB_Bahn
Sun Jan 19 16:42:23 +0000 2020,"War beim letzten Aufenthalt schon schwierig, weil ich wusste, dass meine Mitpatienten trotz Verbot in der Stadt waren und ihr Bier und den Glühwein genossen haben keine Kontrollen in der Klinik. Ich musste vorher die Entgiftung machen, um überhaupt aufgenommen zu werden."
Sun Jan 19 14:12:41 +0000 2020,Bin sehr bereit ein Bier mit dir zu trinken!
Sun Jan 19 13:20:18 +0000 2020,"""Trinken Sie gerne #Tee?"" ""Mit Hopfen und Malz."" ""Das ist #Bier."" ""Ja, lecker."" ""Hören Sie sich eigentlich manchmal selber zu?"" ""So #bekloppt bin ich nun auch nicht."""
Sun Jan 19 10:18:36 +0000 2020,"Schnitzel Alarm und Bier @Heidelberg, Germany https://www.instagram.com/p/B7f2MS7CUDe/?igshid=1msungqdnf65e"
Sun Jan 19 09:32:55 +0000 2020,Super Start. Hab mir klassisch ein Bier ohne Schaum gezapft #BSCFCB
Sun Jan 19 08:33:44 +0000 2020,Na aber das Bier wird doch auch jemand in Leipzig mögen 
Sun Jan 19 00:34:46 +0000 2020,"Also ich bin auf ner Party und hab Bier, was geiert der Junge mit fucking Popcorn xD @tomasfreres"
Sat Jan 18 22:00:05 +0000 2020,Hiermit möchte ich mich ausdrücklich bei allen Wegbegleitern und Unterstützern für die vergangenen 4 Jahre bei @EMGmbH bedanken. Es war mir eine Freude mit euch Zusammenarbeiten zu dürfen! Auf ein Wiedersehen in unserer schönen #Bier- und #Fachwerkstadt! #Einbeck #Eulenfest #cya – at Einbeck Marketing
Sat Jan 18 19:07:25 +0000 2020,"Heimatbesuch in a nutshell: sitze Samstagabend mit Bier vor dem Rechner meiner Eltern, mache Backups von Windows 7 und installiere dieses neue Windows 10 während irgendeine alte selbstgebrannte Punk CD läuft. Prost."
Sat Jan 18 17:52:59 +0000 2020,Guten Appetit 
Sat Jan 18 17:38:39 +0000 2020,Deswegen hast du kein Bier bekommen.
Sat Jan 18 17:21:10 +0000 2020,Der Nachmittag: um den vorhergesagten Regen zu unterlaufen fuhr ich eine Runde Bahn in die Zigarrenstadt. Nach der Rückkehr war der Regen durch und für diese planerische Meisterleistung belohnte ich mich mit diesem Bier auf Empfehlung eines einzelnen Herrn. #MünsterSpoorwegen
Sat Jan 18 16:15:15 +0000 2020,"Man nehme eine Schüssel, werfe ein paar Zutaten rein, knete ein wenig rum, stell es in ne Ecke, ab aufs Sofa und öffne ein Bier. Brot backen, so entspannend."
Sat Jan 18 15:51:17 +0000 2020,Danke dir 
Sat Jan 18 15:48:38 +0000 2020,1:3 (55.). Habe keinen Bock mehr. Brauche Bier #fcaBVB - Drinking a Bitburger Winterbock by Bitburger Braugruppe @Home of Ostwestf4le —
Sat Jan 18 15:45:20 +0000 2020,So Material ist da 1kg Salami und 8 Packungen Blätter Teik sind da und dann bin ich so frech zu sagen die salami Rosen gibt es nur nach der Herausgabe von 1kasten Bier plus einer Großen Flasche Jägermeister erst grinsen und dann fiel der king laden Göttlich
Sat Jan 18 15:17:33 +0000 2020,"Nach 2,3 Bier hab ich immer das Bedürfnis Männern auf den Po zu hauen. Vorallem Frankfurtern. Joa Prost gä "
Sat Jan 18 13:50:12 +0000 2020,Da werde sogar ich schwach und werde - obwohl ich kaum Bier trinke - welche bestellen... Wer noch? 
Sat Jan 18 12:03:31 +0000 2020,"*REMINDER* es gibt heute Bartwurschtsemme, Bier, Glühwein, Kinderpunsch und Unalkoholische Getränke. *BURN ON* ist um 18.30 Uhr. Wir freuen uns auf Euch. @Sportheim Steingriff https://www.instagram.com/p/B7ddZySCWTI/?igshid=1pvaxezj0aolc"
Sat Jan 18 10:17:04 +0000 2020,Moin Jens es gibt Dorsch und Pizza schönes Wochenende für euch 
Sat Jan 18 09:44:56 +0000 2020,Heute könnte ich einen miesen Kick bei strömenden Regen auf der alten Alm gebrauchen. Bier bis Wetter und Spiel egal sind.
Fri Jan 17 21:50:01 +0000 2020,Ich gehe jetzt ein Bier trinken – at Grohe
Fri Jan 17 21:47:21 +0000 2020,Mais? In einem Bier? Reden wir vom gleichen? Barcelona? 
Fri Jan 17 20:15:33 +0000 2020,Jetzt nen Bier oder Sekt oder Wein oder Whisky?
Fri Jan 17 19:31:18 +0000 2020,"Trikot an, Bier kalt, Tony auf dem Platz - was soll jetzt noch schief gehen. #S04BMG #gladbach"
Fri Jan 17 19:25:46 +0000 2020,"Klar, ist es sein Bier. Wir reden hier darüber, dass er mit neuen Zähnen nicht Dracula heißen kann, nicht darüber, ob er es machen soll. Bitte den thread lesen, nicht nur den einzeln tweet. Btw: wir sind #teamgilbert, nicht gegen ihn."
Fri Jan 17 19:24:35 +0000 2020,2023 Polizei lässt nicht mal Anwohner*innen in die Sternstraße #md1701 Wie komme ich an ein Demo-Bier im @cafecentral_md ?
Fri Jan 17 19:22:38 +0000 2020,Ich geh eben ein Bier aus der Küche holen. Soll ich wem eins mitbringen? Gäbe aber nur San Miguel.
Fri Jan 17 18:23:47 +0000 2020,Mit dem Zug nach hause. Düsseldorf -> Herne. Die komischen aus Wanne Eickel Ost haben Heimspiel. Rappel voll und alle mit Bier. Hab mich nicht zu erkennen gegeben. #bvb
Fri Jan 17 14:56:52 +0000 2020,Geht schon Bier?
Fri Jan 17 14:12:38 +0000 2020,Hab mir bloß drinnen ein Bier geholt und ich glaube ich habe mich noch nie in meinem Leben so unhipsterig gefühlt. Die Tür ging auf und ich war in Berlin. – at Condesa
Fri Jan 17 13:53:58 +0000 2020,Schönes Wochenende 
Fri Jan 17 13:43:12 +0000 2020,"Sauf Bier, da haste mehr davon. Prost"
Fri Jan 17 13:33:45 +0000 2020,Wir vom @cafecentral_md haben ja eine klare Meinung zu Nazis und deren Pseudogedenken. Und auch das Bier geht da mit... #md1701 #Magdeburg
Fri Jan 17 09:45:19 +0000 2020,Drück die Daumen 
Fri Jan 17 08:44:51 +0000 2020,"Moin Jens wir sind wieder fit, bei dir hoffentlich ebenfalls danke und einen wunderschönen Freitag für dich (euch) "
Fri Jan 17 06:54:32 +0000 2020,"#AM14FG #Bier @Eintracht Weitere News. Bei der Hessenschau erfährt das Land und die Welt, was wirklich wichtig ist, zuerst. I like! Danke, Guten Morgen undProst @weide_welt"
Thu Jan 16 23:22:57 +0000 2020,"Jan, komm heim nach Dorsheim. Ich habe Bier. #H96 #Schlaudraff"
Thu Jan 16 19:16:47 +0000 2020,Bier her oder ich fall‘ um!
Thu Jan 16 18:31:41 +0000 2020,Drinking a Session IPA by @BrouwerijtIJ @Bergmann Bier Kiosk — 
Thu Jan 16 17:16:58 +0000 2020,Trinke da nie Bier. Bringt einfach nix. 
Thu Jan 16 17:08:56 +0000 2020,Aber hallo! Am liebsten Spezial. Alle mal Alpirsbacher folgen - geniales Bier 
Thu Jan 16 17:06:38 +0000 2020,Waren nur 2 Bier.
Thu Jan 16 15:42:33 +0000 2020,"#Bier aus der #Region, mit dem Namen #Ajoo, gebraut in #monnem, von ajoo.quadrat. Gesehen in #Heidelberg. #Mannheim #mannheimgram #alkohol #beer #germany #bière #Flaschen #bottles #local #Pils @Alnatura https://www.instagram.com/p/B7Ys4UKowQm/?igshid=1h2gbmpli15wu"
Thu Jan 16 12:25:32 +0000 2020,drücke + trinke bier darauf
Thu Jan 16 11:17:10 +0000 2020,Falls Ihr unseren neuen Post noch nicht gesehen habt: Von @RBrauhaus der Dinkel-radler https://www.instagram.com/p/B7WboFwlg-J/?igshid=pv19ajjhcufy #Bier #Radler #bierfotos #instagram #bierfreunde
