Tue Dec 31 23:31:47 +0000 2019,Wie jedes Jahr gilt bei mir: Bier statt Böller! Frohes Neues! 
Sat Dec 28 10:03:34 +0000 2019,Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Brauerei zum Pfaffen — 
Sat Dec 28 00:18:24 +0000 2019,Dann doch noch ein nächtliches Bier mit dem Lieblingsnachbarn. Läuft 
Fri Dec 27 21:21:51 +0000 2019,"Bin in Bremen, jemand auf ein spontanes Bier dabei?"
Fri Dec 27 19:56:00 +0000 2019,"Verdammt... Na dann wünsche ich euch eine schöne Feier und ich werde mit meiner Frau mit Raclette, Bier und Ouzo im schönen Nordhessen feieren. Okay mein Bruder ist auch dabei "
Fri Dec 27 17:52:56 +0000 2019,Dankeschön :) ich trinke jetzt ein Bier auf euch alle 
Fri Dec 27 17:47:41 +0000 2019,Flasche 14 aus dem Bier-Adventskalender - auf die entspannte Rückfahrt aus Ostwestfalen - Drinking an Einbecker Weihnachtsbier by Einbecker Brauhaus @Home of Ostwestf4le — 
Fri Dec 27 17:29:37 +0000 2019,"More body than its rival Päffgen kölsch, sweeter finish. - Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Brauerei zum Pfaffen — "
Fri Dec 27 13:52:26 +0000 2019,"Ich glaube fest daran, dass wir gemeinsam (!) unter den demokratischen Parteien gut zusammenarbeiten können, uns inhaltlich echt gut streiten können, aber danach menschlich ein Bier oder eine Fritz Cola trinken gehen können."
Fri Dec 27 09:17:33 +0000 2019,Moin und herzlichen Glückwunsch 
Fri Dec 27 00:47:02 +0000 2019,Von Bier betrunken werde ist einfach so geil
Thu Dec 26 22:48:40 +0000 2019,"#LagerHops #ImperialIPA der #brasserieaupif in #Paderborn und und es mundet mir total, nur nicht Rainer! Was für den einen #Biergenuss und #Biervielfalt ist, kann für den anderen zu viel zum #proBIERen sein #frenchbeer #französischesBier #bierzeit #ImperialIndiaPaleLager #bier – at AS Paderborn-Sennelager (24)"
Thu Dec 26 20:52:41 +0000 2019,Immer noch mit Abstand das schlechteste Bier der Welt - Drinking an Isenbeck Premium Pils by Paderborner Brauerei @WESTPRESS arena — 
Thu Dec 26 20:12:36 +0000 2019,"Wenn ich den Gwisdek im @Traumschiff die ganze Zeit Bier trinken sehe, bekomme ich auch Durst. #Fernprost #BeerTweet - Drinking a Rothaus Pils / Tannen Zäpfle by Badische Staatsbrauerei Rothaus @127.M.U.P — http://untp.beer/s/c847016035"
Thu Dec 26 18:51:44 +0000 2019,Wurst und Bier bei Früh am dom. #ドイツ語初挑戦 #kölsch #germany #cologne #年末家族旅行 場所: Früh Kölsch https://www.instagram.com/p/B6i92D0pEbI/?igshid=12iaxlgstp24m
Thu Dec 26 18:10:58 +0000 2019,Zwischendurch auch mal ein Bier 
Thu Dec 26 16:18:41 +0000 2019,"#germancraftbeer #germanbeerculture zum Abschluß der Völlerei ein leckeres Bier. #weihnachtsgeschenke @Wolfenbüttel, Germany https://www.instagram.com/p/B6isUn1IbCglgZxj3ZrKMK-MlNIWOGE09dg43k0/?igshid=maowbncv9buc"
Thu Dec 26 14:29:16 +0000 2019,Mama hat soeben die Regel durchbrochen und sich mal ganz frech ein Bier aufgemacht 
Thu Dec 26 14:20:26 +0000 2019,"#michaelohnetwitter meint kein Bier vor vier. Ok dann eben . Sekt für die Nutten, Champagner für mich "
Thu Dec 26 10:05:58 +0000 2019,"Nein, es gibt Bier."
Thu Dec 26 00:43:16 +0000 2019,*macht seinen Arm über seine Schultern und reicht ihm ein Bier*
Wed Dec 25 20:00:12 +0000 2019,Kenne das Zeug aus Prag. Wenn man mit genügend Bier nachspült geht's!
Wed Dec 25 19:59:07 +0000 2019,Ein Bier am Abend... @Kraft Bräu https://www.instagram.com/p/B6ggwZmoCts/?igshid=pwh97uzvinj
Wed Dec 25 16:01:29 +0000 2019,"Weihnachten mit den Kids bei meinen Eltern, und beim Bier an @brauseonkel denken...;-) #VieleGrüße"
Wed Dec 25 15:46:41 +0000 2019,Wünsche Euch #froheweihnachten #feliznavidad Heute gab es kein typisches #weihnachtsessen sondern #süßkartoffel #mango #knoblauch #zwiebeln #tomaten #langostinos dazu ein leckeres #bier… https://www.instagram.com/p/B6gD3CnoBp9aDYPLTLworAmAoGRjTVsjrXwPIg0/?igshid=3mwnmo8iammh
Wed Dec 25 14:15:50 +0000 2019,Man kann doch beides nur mit Bier ertragen. Oder Eiergrog. Eiergrog geht auch. Holt den Topf raus
Wed Dec 25 14:11:50 +0000 2019,"Wikinger Dependance Dubai, mit Goldstaub aufm Bier"
Wed Dec 25 14:05:29 +0000 2019,Alkoholfreies Bier.
Wed Dec 25 13:43:15 +0000 2019,"Eigentlich wollte ich Kaffee trinken auf dem Balkon. Ich habe mich dann doch für ein Bier entschieden @Altenlotheim, Hessen, Germany https://www.instagram.com/p/B6f1vQUiEuE/?igshid=i9t2fkjcw6p6"
Wed Dec 25 13:17:38 +0000 2019,"Heilig Abend beim Onkel mit Rotwein beginnen, weiter zum Kumpel für noch mehr Rotwein und sich dann mit Bier, Tequila und Wodka bis 4 Uhr morgens im Jugendtreff abschießen. Besinnlich."
Wed Dec 25 11:57:07 +0000 2019,Oh Gott... als nächstes kommt das Whiskey Tasting... Alter Mann ... ich nehm dann doch lieber n Bier 
Tue Dec 24 23:41:50 +0000 2019,Gutes Bier habt ihr da
Tue Dec 24 22:25:00 +0000 2019,Frohe Weihnachten euch und euren Familien ! Auf auf ins neue Jahr! Ich hoffe ihr habt eine schöne Zeit mit den Menschen die ihr liebt und genießt das ein oder andere Glas Wein oder Bier #christmas #xmas… https://www.instagram.com/p/B6eMau-pJB2/?igshid=1cgkuljystqo8
Tue Dec 24 19:53:48 +0000 2019,Danke dir ja trinke schon aber bier und jägerkräuter likör
Tue Dec 24 15:11:15 +0000 2019,Schwägerin+Mann+Kind und Schwiegermutter treten durch die Tür. Das erste Bier hab ich intus. Läuft.
Tue Dec 24 14:11:51 +0000 2019,Wenn man sich mit dem Nachbarn unterhält und in den ersten 30 Sekunden mindestens einmal das Wort „Bier“ fällt. #justRuhrpottThings
Tue Dec 24 12:00:22 +0000 2019,"Aber danach kann man Bier saufen als wär' es Wasser! Und dein Wurfarm ist super trainiert, hust hust"
Tue Dec 24 11:50:36 +0000 2019,Drinking a Weltenburger Kloster Barock Dunkel by Klosterbrauerei Weltenburg @Bergmann Bier Kiosk — 
Tue Dec 24 10:31:25 +0000 2019,"Nach dem Einkaufstress erstmal ein Kaffee, weil Bier um die Uhrzeit nicht sozialverträglich ist "
Tue Dec 24 09:24:44 +0000 2019,Ich trinke ein oder zwei Bier für dich mit 
Tue Dec 24 08:58:32 +0000 2019,Baum ist geschmückt. Jetzt Bier oder Champagner? #teampegelhalten
Tue Dec 24 08:47:34 +0000 2019,"Wenn Du zu Weihnachten in die Stadt fährst, ueber die schon #heinzerhardt und @MickyBeisenherz Witze gerissen haben. Irgendwann dann Mal auf ein Bier mit Dir dort @MickyBeisenherz . Wie wäre es mit dem 28.12.?"
Tue Dec 24 08:28:33 +0000 2019,Nur mit Bier und Würstchen 
Mon Dec 23 23:42:19 +0000 2019,"Höre gerade mit meinem Schwager guten alten Deutschpunk und dann muss ich 'mal nen Bier wegbringen' , öffne den Deckel per Knopfdruck und setze mich auf eine geheizte Klobrille - Punk. Ist. Tot."
Mon Dec 23 22:07:12 +0000 2019,Könnt ihr Wein erlauben und Bier? Man auch nicht mehr saufen wie schmeckt. Bei mir.
Mon Dec 23 21:32:15 +0000 2019,IN BI BI BIELEFELD HAB ICH EIN BIER BESTELLT!!!!
Mon Dec 23 18:57:40 +0000 2019,Abendrunde... - Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Scherlebeck — 
Mon Dec 23 18:22:52 +0000 2019,"Drei Tweets angefangen und gelöscht sagt mir, Zeit für ein Bier. #pegelhalten"
Mon Dec 23 16:38:46 +0000 2019,Hab genug bier dieses we getrunke
Mon Dec 23 15:01:54 +0000 2019,Ein verdientes nach dem Bowling #corona #bier #bierkönig #coronabier #beer #fuchxgaming #fuchx #sportsbar @Center Parcs Bispinger Heide https://www.instagram.com/p/B6a1JpaCYJV/?igshid=1pjd1uulgai3u
Mon Dec 23 14:56:41 +0000 2019,PS4 und Bier. Weihnachtlicher wird es nicht mehr. @Herdwangen-Schönach https://www.instagram.com/p/B6a0j0QJCzW_otMnq5FbIM3-KS7M4cwZkN7oz00/?igshid=1grx2e6qitf11
Mon Dec 23 14:05:18 +0000 2019,Gibt's Bier?
Mon Dec 23 11:44:59 +0000 2019,Ich würde es ja beukotieten. Ist doch nicht dein Bier 
Mon Dec 23 11:12:30 +0000 2019,"Das behaupten Sie. Ich widerspreche und sage, an die Gretas und FFFs werden viel höhere Maßstäbe angelegt."
Mon Dec 23 11:01:02 +0000 2019,Und natürlich dürfen sie das. Nuhr darf das auch. Man darf in Deutschland sehr viel. Und man darf jeweils mit Widerspruch rechnen... 
Mon Dec 23 10:56:47 +0000 2019,"Gerade sieht es so aus, dass der Tweet FridaysforFuture viel heftiger um die Ohren fliegt als a Uhr je ein Greta-Bashing und anders als bei Nuhr Zuspruch minimal ist. Was wollen Sie also sagen?"
Mon Dec 23 10:38:38 +0000 2019,"Aber nur, wenn das in der Mitte auch saarländisches Bier ist! "
Mon Dec 23 10:19:22 +0000 2019,"srsly, durch Essen nehme ich 0 zu, aber wenn ich zu viel Bier saufe, hatte nach der Weihnachtsfeier auch direkt 0,5kg mehr gewogen Das schlimme ist, ich habe die immer noch, das ist voll mies :( "
Sun Dec 22 19:22:06 +0000 2019,Letzter Abend in der Bier Klause am Bielefelder Hauptbahnhof - kommt herbei @Bier Klause https://www.instagram.com/p/B6YuIg0CyhY/?igshid=iwo1cx5rh9de
Sun Dec 22 18:24:13 +0000 2019,XMAS Bier frisch vom Weihnachtsmarkt 
Sun Dec 22 16:32:41 +0000 2019,Flasche 13 aus dem Bier-Adventskalender - und sogar aus der alten Heimat Ostwestfalen - Drinking a Jubiläumsbier 333 by Schloßbrauerei Rheder @Home of Ostwestf4le — 
Sun Dec 22 16:23:38 +0000 2019,Bei Zapfen denk ich immer an Bier!
Sun Dec 22 15:26:37 +0000 2019,Das Leben ist zu kurz um schlechten Wein oder Bier zu trinken 
Sun Dec 22 15:17:45 +0000 2019,"Super Sache - Toll, das so viele Leute da waren. #SPDvorOrt läuft Btw: Zudem noch mit dem schönen Bier aus #Essen - Ohne #Stauder läuft gar nichts - Glückauf "
Sun Dec 22 14:25:39 +0000 2019,15:25 und ich hab 2 Bier und 2 Williams Christ intus. Ich mag die Adventszeit.
Sun Dec 22 14:19:41 +0000 2019,Zimmer ist erst in 10 Minuten fertig. Erstmal ne Bier. – at A&amp;O Hotel &amp; Hostel Düsseldorf
Sun Dec 22 13:51:19 +0000 2019,"Sind die Jungs im Sonderzug mitgefahren, oder wieso wirken die wie nach 4 Hoibe Bier? Naja, sind ja noch 40 Minuten!"
Sun Dec 22 10:05:39 +0000 2019,Das älteste Bier gestern war von 2012.
Sun Dec 22 09:11:56 +0000 2019,Bier aus der Tasse? Alter. Ihr Hagener seid wirklich knallhart drauf! 
Sat Dec 21 23:01:00 +0000 2019,Bei diesen Bier läuft das MHD 2035 erst ab. Ausgetrunken ist es jetzt schon. 
Sat Dec 21 22:59:27 +0000 2019,"Wenn du ein Bier mit 4 Jahren MHD kaufst, und es zufällig trinkst, bevor es einen Tag später abläuft. "
Sat Dec 21 22:04:41 +0000 2019,Auf Eurem Bild ist kein Bier!!!
Sat Dec 21 20:12:39 +0000 2019,#Bieradventskalender #21 - Drinking a Wolf-Bier Pils by Kauzen-Bräu @ToSch HQ — 
Sat Dec 21 19:17:11 +0000 2019,Mega Rad! Leider kein Bier.
Sat Dec 21 18:26:19 +0000 2019,Danke dir 
Sat Dec 21 17:53:04 +0000 2019,Und meine hat mein gutes Belgisches Bier weggeschüttet weil sie dachte es sei abgelaufen ...
Sat Dec 21 17:21:08 +0000 2019,"Gute Ansprache, jetzt komm Bier trinken."
Sat Dec 21 16:30:40 +0000 2019,Sauber Köln hat Gewonnen und das Bier Schmeckt um so Besser 
Sat Dec 21 16:26:50 +0000 2019,"Wenn es an der Kasse mal wieder länger dauert, rate ich Beziehungsstatus anhand Einkäufe. Männer mit Bier aus Plastikflasche und Frertigfrikadelle garantiert Singel und wird es auch bleiben "
Sat Dec 21 16:15:39 +0000 2019,Hey Männerkriepe ist unser Bier 
Sat Dec 21 16:13:17 +0000 2019,Endlich mal wieder ein Tor beim Bier holen verpasst...#s04 #premierediesesaison – at Veltins Arena
Sat Dec 21 15:35:53 +0000 2019,"Ich zeig mal ein wenig Goodwill zur Gastmannschaft, indem ich mir zu Halbzeit ein Bremer Bier öffne. Gleichwohl sollen die drei Punkte natürlich in Müngersdorf bleiben #Effzeh #KOESVW"
Sat Dec 21 13:07:52 +0000 2019,In der Dortmunder Nordstadt gibt es am Kiosk einen halben Liter Bier für 50 Cent. Zum Wohle.
Sat Dec 21 13:07:48 +0000 2019,Mit dem Fahrrad Anhänger durch die City an allen Autos vorbei… Zwei Kisten Bier passen rein und ein kompletter Einkauf. Haben wir heute bekommen das Ding. 
Sat Dec 21 12:26:38 +0000 2019,Flasche 12 aus dem Bier-Adventskalender feat. @BVB-Taste Hero - Drinking a Wolf-Bier Pils by Kauzen-Bräu @Home of Ostwestf4le — 
Sat Dec 21 11:55:38 +0000 2019,Flasche 11 aus dem Bier-Adventskalender - Drinking an Ulmer Hell by Brauerei Gold Ochsen (Ulm) @Home of Ostwestf4le — 
Sat Dec 21 11:54:24 +0000 2019,Nie wieder Bier oder nie wieder Blowjobs?
Sat Dec 21 10:56:10 +0000 2019,Vielen Dank das wünschen wir euch ebenfalls 
Sat Dec 21 10:48:41 +0000 2019,Vielen Dank 
Sat Dec 21 10:17:55 +0000 2019,Mehr Bier.
Sat Dec 21 10:13:34 +0000 2019,Drinking a Weihnachts Bier by Hochstiftliches Brauhaus Fulda @Borgiasplatz — http://untp.beer/s/c843995565
Sat Dec 21 09:10:00 +0000 2019,Endlich dazu gekommen die Live Seasion von @PleaseTalkData zu hören... was für eine Akustik!!! Ein Traum! Aber der #Alptraum: Wie kann man seinen Gästen kein Bier spendieren? #Unfassbar #Unkollegial #egozentrisch #GastOne ist noch immer tiefst beleidigt
Sat Dec 21 09:02:28 +0000 2019,Guten Morgen Jens ein entspanntes Wochenende für euch 
Sat Dec 21 06:48:18 +0000 2019,"Obrigado, und bitte nicht Bier ernst nehmen!. "
Fri Dec 20 20:04:51 +0000 2019,"Vielen Dank für Eueren Besuch bei unserem Adventsfenster es war ein sehr schöner Abend mit netten Gesprächen bei Bratwurst, Bier und Glühwein Euch allen noch eine schöne Adventszeit ! #derdorfmetzger… https://www.instagram.com/p/B6Tpb36IOmX/?igshid=gxj2jhg9i5ez"
Fri Dec 20 20:04:29 +0000 2019,"Wo? Sitzen hier, schauen Fußball, trinken Bier. Bin der einzige Frankfurter "
Fri Dec 20 18:21:25 +0000 2019,"Bier und sonstige Getränke werden Dir gereicht,und bei jedem Tor noch ein Kuß extra "
Fri Dec 20 18:05:57 +0000 2019,Wir trinken jetzt das Bier weg. In einer Woche muss Neues her! 
Fri Dec 20 16:33:21 +0000 2019,"Man, Buzze, irgendwann trinken wir mal Bier und hören Musik "
Fri Dec 20 16:25:13 +0000 2019,Danke! Freu mich schon sehr auf die regelmäßige Stange Bier in Winti... 
Fri Dec 20 15:30:18 +0000 2019,Mein letzter Arbeitstag heute. Wurde angekackt und angespuckt. Ich brauch ein Bier....
Fri Dec 20 13:39:12 +0000 2019,"Ich zeig Dir nicht Deine Rede, ich zeig Dir Deine Machete. Vielleicht machste Dir damit lieber noch ein Bier auf. "
Fri Dec 20 12:00:16 +0000 2019,Hab ich da Bier gehört?
Fri Dec 20 11:36:37 +0000 2019,Flasche 10 aus dem Bier-Adventskalender Ein Jahr später schmeckt es noch eine Spur besser - Drinking a Schneider Weisse Mein Aventinus (TAP6) by @schneiderweisse @Home of Ostwestf4le —
Fri Dec 20 10:03:04 +0000 2019,Du bekommst kein Bier.
Fri Dec 20 09:08:06 +0000 2019,Guten Morgen Jens perfekt 
Fri Dec 20 07:50:09 +0000 2019,"Letzter Arbeitstag, morgen gehts zum magischen #fcsp, Bier ist kaltgestellt. "
Thu Dec 19 20:00:00 +0000 2019,"Ab sofort gibt´s bei uns den super leckeren Schattenhofer ""Hirsch"" aus dem Fass Das gewohnte Gutmann ""Spezial"" sowie das Gutmann ""Untergärig"" sind bei uns aus der Flasche erhältlich #gutmann #schattenhofer #hirsch #fassbier #bier #altmühltal #greding #titting #beilngries"
Thu Dec 19 19:46:37 +0000 2019,Light and hoppy but not really my kind of beer. - Drinking a Keller-Bier 1402 by Störtebeker Braumanufaktur @Bad Peterstal-Griesbach — 
Thu Dec 19 19:43:16 +0000 2019,"Also eigentlich ist da von meiner Seite viel Platz für richtiges Bier, nur @simack fängt ständig mit diesem aromatisierten Blubberwasser an. Aber Beef würde ich das so oder so nicht nennen ;)"
Thu Dec 19 18:52:34 +0000 2019,40 Jahre Clausthaler - auch das ist Biergeschichte. Definitiv! https://wp.me/pb1FI2-2H #clausthaler #bierprediger #bier #alkoholfrei #bierblog
Thu Dec 19 18:22:15 +0000 2019,Bier mit Aperol. Bestellt niemand. #dasperfektedinner
Thu Dec 19 17:40:37 +0000 2019,Flasche 9 aus dem Bier-Adventskalender - Drinking a Viking by Privatbrauerei Gaffel Becker/@MikkellerBeer @Home of Ostwestf4le —
Thu Dec 19 17:12:10 +0000 2019,Kuchen ist immer gerne gesehen. Kaffee auch. Bier und Wein erst recht!
Wed Dec 18 20:23:36 +0000 2019,"Not bad for a Pils, nicely hoppy. - Drinking a Pilsener-Bier by Störtebeker Braumanufaktur @Bad Peterstal-Griesbach — "
Wed Dec 18 20:13:54 +0000 2019,"Hier Pizza und Bier, aber ich hab nach der hälfte schlapp gemacht. "
Wed Dec 18 19:34:40 +0000 2019,"Das wars für dieses Jahr. Lord Whamdemort hat mich schlieplich doch noch erwischt. Danke Pro7, danke Galileo. Zum Glück gibts Bier in Whamhalla... #whamaggedon"
Wed Dec 18 19:23:27 +0000 2019,"So, Zeit das Bier zu öffnen. Glück auf! #WOBS04"
Wed Dec 18 18:11:10 +0000 2019,Ich bin ja sonst nicht so der Selfie-Mann. Aber zur Feier des Tages und wenn @Lufthansa mir in Düsseldorf so nen lecker Bier hinstellt. #Fernprost #BeerTweet #NonstopMe – at Lufthansa Business Lounge
Wed Dec 18 17:32:40 +0000 2019,Flasche 8 aus dem Bier-Adventskalender - dieses Mal aus der alten Heimat Ostwestfalen - Drinking a Barre Festbier by Privatbrauerei Ernst Barre @Home of Ostwestf4le — 
Wed Dec 18 15:18:22 +0000 2019,"Dann sollte ich mir nachher nen Bier aus der Lounge mitnehmen, so es noch was gibt. Die letzten Donnerstage wirkte sie, als wäre ne Heuschreckenplage über sie reingebrochen. "
Wed Dec 18 13:57:33 +0000 2019,Du musst dein Smartphone via Controller App einrichten und bei den moves in der Hand halten. Ist aber eigentlich ganz praktisch so kann man in der anderen Hand bequem das Bier halten. 
Wed Dec 18 05:33:35 +0000 2019, Sorry! Meine natürlich Mittwoch Hatte wohl gestern ein Bier zuviel!!! ‍ 
Wed Dec 18 02:33:31 +0000 2019," Vor der Kühlschranktür, nachts um halb vier, Ob du 'n Wasser suchst, oder ein Bier... "
Wed Dec 18 00:45:14 +0000 2019,Ich mag Bier
Tue Dec 17 22:22:32 +0000 2019,Ich bin fick und fertig. Der Wahnsinn hat einen Namen. FALLON SHERROCK Der #AllyPally steht Kopf. Ich brauch ein Bier . #congratulation #Fallon #sherrock #sherocks #WorldDartsChampionship #DartsWM the New #historymaker #DAZNdarts
Tue Dec 17 22:18:06 +0000 2019,Heute auf Twitch: Motorrad fahren mit @TheHyminator mit Bier. Link folgt noch 
Tue Dec 17 20:35:01 +0000 2019,Das irgendwie dürfen wir streichen ... Knaller ... Mit Bier noch besser mein Freund 
Tue Dec 17 20:29:21 +0000 2019,"Als Dankeschön von der Mannschaft an die mitgereisten Fans gab es heute nicht nur einen furiosen Auswärtssieg mit fünf Toren, sondern auch Bier, Bratwurst &amp; Co. aus der Mannschaftskasse! "
Tue Dec 17 20:06:13 +0000 2019,Ich bin Bier.
