Tue Apr 30 21:36:00 +0000 2019,Trinken alkoholfreies Bier... alles klar. #Lanz
Sun Apr 28 18:28:54 +0000 2019,Es hat Vorteile nur Tote als Freunde zu haben. Sie quatschen dich nicht voll und keiner trinkt dir dein Bier weg #Tatort @ardtext777
Sun Apr 28 16:56:17 +0000 2019,HOPFNUNG STIRBT ZULETZT. #photooftheday #photography #photographer #shotoniphone #huji #hujicam #vsco #beer #bier #bira #cheers #prost #salute #drink #culture #instagood #moodygrams… https://www.instagram.com/p/BwzoQiQgQ8g/?utm_source=ig_twitter_share&amp;igshid=1buuc8wext87p
Sun Apr 28 16:29:46 +0000 2019,"Super! Hauptsache ankommen, das ist das wichtigste beim Marathon! Um dann das wohlverdiente Bier "
Sun Apr 28 13:25:05 +0000 2019,Bier und Kuchen – at Gaststätte Altes Fährhaus
Sun Apr 28 13:19:00 +0000 2019,"dürfte ich mein leben lang nur noch ein bier trinken, dann dieses - Drinking a Kürzer Alt by Brauerei Kürzer @Brauerei Kürzer — http://untp.beer/s/c742595834"
Sun Apr 28 12:13:38 +0000 2019,Die #Bier-und #Fachwerkstadt #Einbeck ist mehr als im #Frühling angekommen! Unser #BilddesMonats #April zeigt deshalb die #Einbecker Innenstadt mit dem #Marktplatz bei bestem #Frühlingswetter und strahlendem #Sonnenschein! #Südniedersachsen #frühlingsgefühle #flowerpower – at Marktplatz
Sat Apr 27 21:49:46 +0000 2019,@ShorthandedNews wie hieß noch gleich das Orange Rauch Bier was Vinnie (?) letztes Jahr probiert hatte? Ich muss das mal probieren.
Sat Apr 27 20:40:40 +0000 2019,Bier raten. -Es gibt ein Kellerbier -ach du Schande. Das schmeckt bestimmt wie Alt. Ich: 
Sat Apr 27 19:11:49 +0000 2019,Irish Pub. Das erste Bier geht auf mich. – at The Fiddlers
Sat Apr 27 18:51:53 +0000 2019,Ich bin mal eben Bier holen. #Hitparade
Sat Apr 27 18:18:40 +0000 2019,"""Komm mit, Ich zeige dir wo das Bier steht."" meine Lieblingsbegrüßung."
Sat Apr 27 17:58:06 +0000 2019," Ab sofort ist´s bei uns ""Bierisch"" Leckere Gerichte, welche mit Bier verfeinert wurden, warten auf Sie #Bier #beer #BayerischeBierwoche #DEHOGA #BHG #Greding #Altmühltal #BauerKeller #BK #Buganderlkeller #BayerischesReinheitsgebot #fünfzehnsechzehn #Essen #Trinken – at Gasthof Bauer-Keller"
Sat Apr 27 17:37:14 +0000 2019,Die Party ist in vollen Gange. Drei Bier. Ich will nach Hause.
Sat Apr 27 17:14:04 +0000 2019,"Das erste Bier und die erste gemeinsame Pizza in unserem neuen #homesweethome @Hanover, Germany https://www.instagram.com/p/BwxFgByJztunT11ZeLszXy3s2VCcTv4B99GMjY0/?utm_source=ig_twitter_share&amp;igshid=11zg5m0u9ulbx"
Sat Apr 27 16:52:25 +0000 2019,"Gleich wird gefeiert #alkohol #jägermeister #bier #wein #klopfer #geburtstag #feier #freunde @Baden-Württemberg, Germany https://www.instagram.com/p/BwxDBfXnEGx/?utm_source=ig_twitter_share&amp;igshid=1ql9t309zzfat"
Sat Apr 27 16:52:20 +0000 2019,Heute ist Freibier angesagt. Brauerei zum Stadtpark schliesst heute für immer. Und jetzt werden die letzten 1000 Liter Bier verschenkt. Also wer noch Bier haben will sollte sich beeilen.… https://www.instagram.com/p/BwxDBCtgOS1/?utm_source=ig_twitter_share&amp;igshid=nx6e3wso09ec
Sat Apr 27 16:16:24 +0000 2019,"Ich trinke generell kein Bier, deshalb ist es mir eigentlich relativ egal "
Sat Apr 27 15:24:36 +0000 2019,"Finde, dass der Typ der mit dem Dirndl ins Stadion kommt den Spieltag gewonnen hat. #VfBBMG"
Sat Apr 27 15:21:59 +0000 2019,Mittelwände in Zander-Rähmchen einlöten. #Imkern #Zander #Rähmchen #Pilzköpfe #Trafo #Derby #Bier #Regen @Tausendmühle https://www.instagram.com/p/Bww4rNigVvz/?utm_source=ig_twitter_share&amp;igshid=4ktoly9qeujl
Sat Apr 27 15:19:51 +0000 2019,Wird Dortmund gerade rasiert?#BVBS04
Sat Apr 27 15:14:57 +0000 2019,Hab schon mehr Bier als Alcacer Ballkontakte. #bvbs04
Sat Apr 27 14:54:02 +0000 2019,Auf dem Vierzigsten meines besten Freundes. Es gab Bier und Cocktails vor Kaffee und Kuchen. #emsland
Sat Apr 27 14:33:09 +0000 2019,"Des heart si guad o! Dann auffi, sinst werds Bier lack ;)"
Sat Apr 27 14:08:11 +0000 2019,"Danke, dass sich in einer leere. Bahn die schreienden Kinder neben mich setzen. "
Sat Apr 27 11:43:58 +0000 2019,Jedes Bier ist besser als gar kein Bier 
Sat Apr 27 11:34:06 +0000 2019,Regen schreckt uns doch noch nicht ab. Wir schwenken trotzdem. Jetzt! #grillade #restauration #kolonialwarenladen #colonialwarenladen #kolonialwaren #colonialwaren #grillen #schwenken #party #bier #bière #durst… https://www.instagram.com/p/BwwemDynGjm/?igshid=21v8blq6kcjr
Sat Apr 27 11:21:48 +0000 2019,"Im #ICE von Nürnberg nach München ein ohrenbetäubender Junggesellenabschied, der den halben Wagon zur Flucht veranlasst hat. Ich setze mich in die Mitte und werde dafür mit Bier versorgt. Deal. @DB_Bahn #bahn"
Sat Apr 27 09:05:22 +0000 2019,"Ich habe viel Verständnis für den Protest, auf der anderen Seite bin ich immer kurz davor, in Schweizer Bier- und Kaffeepreise umzurechnen, aber die sind bekanntermaßen auch absurd. "
Sat Apr 27 08:00:55 +0000 2019,"Trink lieber Bier, aber u.a. der West Ham geezer is trotzdem lustig... https://youtu.be/8_XBxcIoZy0"
Sat Apr 27 01:17:09 +0000 2019,"Aus Protest #AfD zu wählen, weil einem die aktuelle Politik nicht gefällt, ist wie in der Kneipe aus der Toilettenspülung zu trinken, weil einem das Bier nicht schmeckt."
Fri Apr 26 22:19:40 +0000 2019,Ich Schädel? Selten von Bier! 
Fri Apr 26 19:20:41 +0000 2019,Hamburg - „Brews Brothers“: Biersommelier-Weltmeister eröffnet Craft-Bier-Bar in Hamburg! 
Fri Apr 26 19:04:38 +0000 2019,"Ich habe gerade eine #Brauerei, in #Kamp #Lintfort, mit der #FDP Dinslaken und mit der #VLK besichtigt. Fazit: Die #Brauerrei Gellings Bräu hat sehr leckeres #Bier! "
Fri Apr 26 18:29:18 +0000 2019,"Ich musste heute bei der Arbeit zweimal weinen. Vor lauter lachen. Das ist ein gutes Zeichen, würd ich sagen."
Fri Apr 26 17:14:14 +0000 2019,Kein Bier für Nazis. Selbst kein Dithmarscher Pilsner! 
Fri Apr 26 16:27:39 +0000 2019,"Idee für ne neue Bier Marke / Sorte Schrödingers Ob's Alkoholfrei war oder nicht, weiss man erst hinterher."
Fri Apr 26 16:20:24 +0000 2019,Rakete - Acht Cola Acht Bier Wo ist das Problem? 
Fri Apr 26 16:09:45 +0000 2019,Dann spendiere ich Erdbeeren-Limo - Bier ist gestrichen 
Fri Apr 26 15:59:23 +0000 2019,"Egal was es ist, bring mit. Bier steht im Kühlschrank!"
Fri Apr 26 14:03:53 +0000 2019,„Wie jeden Freitag gibt es unsere Bier um 4-Aktion neben der Kaffeebar für den angenehmen Start ins Wochenende.“ #lebenamloungelimit
Fri Apr 26 13:51:36 +0000 2019,"Wenn du feststellst, dass du langes Wochenende hast."
Fri Apr 26 13:26:39 +0000 2019,Ich nehme das Bier und werde anständig klatschen und darf ich jubeln Und was mach ich jetzt mit meinen Cheerleader Puscheln darf ich die dann im Publikum verteilen 
Fri Apr 26 11:47:00 +0000 2019,ich hätte das auch. aber das klatschgeräusxh hat mich an die zeit mit regelmäßigen sex erinnert. war echt stressig damals und man will ja nicht noch mehr bier trinken müssen.
Fri Apr 26 07:17:11 +0000 2019,Du musst heute Bier kaufen.
Thu Apr 25 22:17:03 +0000 2019,"Bin froh das ich bezüglich Bier eine tolerantere Ansicht habe, als ihr Düsseldorfer Altbier Inhalierer. Nach Köln gehört schon aus der Tradition heraus Kölsch. Mit Peters Kölsch würdet ihr eine solide Wahl treffen @eSportsDiner "
Thu Apr 25 18:01:15 +0000 2019,"Für einen derbysieg, schmeckt mir jedes Bier "
Thu Apr 25 17:26:19 +0000 2019,Warte gleich kommen die zwei anderen Weiber wieder wenn es um Bier geht. 
Thu Apr 25 17:12:49 +0000 2019,"Es gab Spargelcreme Suppe gefolgt von Schnitzel mit Spargel und einem großen Bier, ihr dürft jetzt neidisch sein "
Thu Apr 25 14:10:52 +0000 2019,Für den @hoomygumb -&gt; Currywurst mit Bier - Currywurst mit Bier 
Thu Apr 25 08:23:00 +0000 2019,7 Bier ist auch eine Mahlzeit
Wed Apr 24 20:21:36 +0000 2019,"Mein Mitgefühl allen, die gerade Bier holen waren. #svwfcb"
Wed Apr 24 19:37:10 +0000 2019,Das ist doch mal ein schönes Bierregal! Zu finden bei Seifer Getränke Services (Werbung unbeauftragt). #wildwuchs #wildwuchsbrauwerk #hamburgserstebiobrauerei #craftbeer… https://www.instagram.com/p/Bwpnfn1laZX/?utm_source=ig_twitter_share&amp;igshid=v4387axt102q
Wed Apr 24 18:57:50 +0000 2019," Bayerische Bierwoche Bei uns: ""Alles rund um´s Bier!"" Die große Bierauswahl steht schon zur Verfügung, die Biergerichte bieten wir ab Freitag an :) #BayerischeBierwoche #BauerKeller #Bier #Biergerichte #Essen #Trinken #allesrundumsBier #BayerischesReinheitsgebot"
Wed Apr 24 17:54:13 +0000 2019,Hier wird auch Bier gebraut 
Wed Apr 24 17:49:25 +0000 2019,"Letztes Jahr hatte ihr noch @stindl28 in neuerer ""Gewalt"".... Da kamen wir mit dem Kasten Bier ja gut weg "
Wed Apr 24 16:42:55 +0000 2019,"Dann tue dir was Gutes: mach Sport, kauf dir was schönes und trink ein Bier mit mir "
Wed Apr 24 16:07:09 +0000 2019,Nächster Halt: Thimbleweed Park. 
Wed Apr 24 12:32:09 +0000 2019,Jetzt kommt dat Bier schon per Flaschenpost. 
Wed Apr 24 10:58:55 +0000 2019,"Sehr alte einbecker_brauhaus #Stutzen gefunden und gerettet aus einer alten #Kneipe in #niedersachsen #einbecker #bier #bierglas #bierporn @Bettrum, Niedersachsen, Germany https://www.instagram.com/p/BwosL7FFqWz/?utm_source=ig_twitter_share&amp;igshid=hv8hfd8udg9x"
Wed Apr 24 09:59:52 +0000 2019,"Schöne Erinnerung an meine Zeit als Jugendlicher, als kein Bier süß sein konnte. Betrinken im Keller der Eltern von #Ralle. Mit #Stevie und #Langer und… https://www.instagram.com/erneff/p/BwolbXSHWkZrWrGdG-mlaaYroWGkXcKZxIzmWk0/?utm_source=ig_twitter_share&amp;igshid=192mvblgnl9no"
Wed Apr 24 09:26:35 +0000 2019,"""Bier ist gesund"" - Weisheit aus dem Kloster. https://www.kirche-und-leben.de/artikel/ordensfrau-und-braumeisterin-bier-ist-gesund/"
Tue Apr 23 20:15:13 +0000 2019,Das Bier schmeckt. #hsv
Tue Apr 23 19:40:35 +0000 2019,"Kein Geld, aber Bier und Kippen #armesdeutschland"
Tue Apr 23 19:01:30 +0000 2019,Komm so schnell gar nicht mit dem Bier nach #hsv
Tue Apr 23 18:56:58 +0000 2019,Ich mach mir mal n Bier auf... #hsv
Tue Apr 23 18:49:42 +0000 2019,Natürlich ohne Bier und ohne Knabberzeug 
Tue Apr 23 18:35:51 +0000 2019,#Puntigamer. Das bierige Bier. Aus der #Steiermark. (@Chill out area Flörsheim am Main) https://www.swarmapp.com/c/8dLIJeuhtzf
Tue Apr 23 18:23:46 +0000 2019,Multikulti-genderneutraler Bierfeiertag #tagdesdeutschenbieres #bier #beer #bayern #badenwürttemberg mooserliesl #moos schwabenbraeu #stuttgart #niederbayern #lowerbavaria #schwäbisch… https://www.instagram.com/p/Bwm6S9SB-Fd/?utm_source=ig_twitter_share&amp;igshid=1tto4xxn5ry5u
Tue Apr 23 17:50:36 +0000 2019,"„Bier ist der Beweis, dass Gott uns liebt und will, dass wir glücklich sind.“ Benjamin Franklin #prost #Weltbiertag"
Tue Apr 23 17:39:46 +0000 2019,"Kein Grillen ohne die richtige Begleitung #bier #beer #rothaus #eiszaepfle #eiszäpfle #rothausbier #fujifilm #xf10 #fujixf10 @Kostheim, Hessen, Germany https://www.instagram.com/p/Bwm1Q4JH1Lm/?utm_source=ig_twitter_share&amp;igshid=16vbfrx43rr2w"
Tue Apr 23 17:21:53 +0000 2019,"Feuriges Hähnchenfilet - #Beer &amp; #Food - Kraftbier0711 Bier ist nicht allein zum Trinken da - man kann damit auch tolle Gerichte zaubern. Ja, man kann tatsächlich mit Bier kochen. https://kraftbier0711.de/feuriges-haehnchenfilet/ #Tonistrendlupe #bloggerstuttgart #foodblogger"
Tue Apr 23 15:40:55 +0000 2019,"- Werbung - Links - Profillinks - So weiter gehts, heute mit ein paar Gäste #grillen #relaxen #fressen #trinken #bier #königpilsener #zwickl #wodka #jägermeister #prost @Mülheim… https://www.instagram.com/ralfmaury/p/BwmnqKZAaZk/?utm_source=ig_twitter_share&amp;igshid=9u3gq01gf1vw"
Tue Apr 23 14:45:43 +0000 2019,Komisches Bier.
Tue Apr 23 10:43:04 +0000 2019,Ein Prosit auf das Bier #TagdesdeutschenBieres #radeberger
Tue Apr 23 10:33:56 +0000 2019,"Ich bin Saftoholiker und trinke umdrehungsfrei, also alkfreies Bier."
Tue Apr 23 09:39:11 +0000 2019,"Wein auf Bier, das rate ich dir, Bier auf Wein, lass‘ sein "
Tue Apr 23 04:43:24 +0000 2019,Heute ist Tag des Bieres ? Ich erwarte da jetzt irgendwie was von @achimh / @WEWANTBIER und von @Uluka1 / @Biermuda. #TagdesBieres #Bier
Mon Apr 22 19:06:09 +0000 2019,Mir fehlt A weng des Bier 
Mon Apr 22 19:02:17 +0000 2019,Osterfeuer 2019 rempe09 #ostern #osterfeuer #zeitraffer #feuer #flammen #medebach #sauerland #event #bier #grillen #sonnenuntergang #sonne #guteswetter #schön #natur #nature #epic… https://www.instagram.com/p/BwkZSUKAzI3/?utm_source=ig_twitter_share&amp;igshid=hre63ytivgcv
Mon Apr 22 18:23:10 +0000 2019,Daenerys wird auch von Folge zu Folge schwieriger. #gameofthrones #ForTheThrone
Mon Apr 22 18:20:39 +0000 2019,"Alter, Bran! #ForTheThrone #GameofThrones"
Mon Apr 22 17:14:21 +0000 2019,"Dafür trinkst du dabei aber in der Regel Bier und wie wir beide wissen, ist das nicht gerade ein Schlankmacher ^^"
Mon Apr 22 17:01:20 +0000 2019,Ostern neigt sich dem Ende zu. Da kann man den Tag ausklingen lassen mit einem Bourbon Choko Bier von #fleuther Bier aus Gelder. Ist das Bier überhaupt bekannt bei eucg @rpo_geldern ? #Ostern2019
Mon Apr 22 16:46:02 +0000 2019,Saisoneröffnung #Kulperhütte #Augsburg #Frühjahr #Lecker #Wurstsalat #Currywurst #Bier #Almdudler @Kulperhütte https://www.instagram.com/raphie1112/p/BwkKUNUBm7q/?utm_source=ig_twitter_share&amp;igshid=18fvwn1wfseac
Mon Apr 22 16:13:20 +0000 2019,mit Bier und Hörspiel in die Badewanne ... die Frisur muss ja auch wieder gerichtet werden 
Mon Apr 22 16:05:20 +0000 2019,Privat. Bier Destillation hört sich gut an. In Europa bist du der Experte von uns. Daher darfst du das Ziel wählen
Mon Apr 22 15:45:23 +0000 2019,"Du hast leider keine Ahnung von Bier, ändern wir aber noch"
Mon Apr 22 12:38:31 +0000 2019,"Welcome back, wilkenburger_bier ! #beerporn #ostern #hannoverliebt #hannoverbraut @Bothfeld, Niedersachsen, Germany https://www.instagram.com/roemeth/p/Bwjt_cin8Xg/?utm_source=ig_twitter_share&amp;igshid=lan3p67aemd0"
Mon Apr 22 12:27:42 +0000 2019,"Habe Lust auf ein Gambi, muss aber meinem Lohnsklavendasein fröhnen um Kohle für‘s Bier zu haben. Elendes Hamsterrad des Lebens #lavidameama"
Mon Apr 22 11:16:10 +0000 2019,"Nix Neues, aber nicht die Menge machts... Ich sag nur: Bierland #Franken Kommentar: #Bier und #Heimat hängen zusammen – das haben die großen Brauer unterschätzt (via @ksta_news) https://mobil.ksta.de/32403052?dmcid=sm_tw"
Mon Apr 22 07:42:29 +0000 2019,Bestimmt wie bier
Sun Apr 21 21:15:54 +0000 2019,"Hab damals die Polizei informiert, als mein Ex-Schwiegervater ü70 und nicht mal mehr für den Schulterblick fähig, nach 3 Bier trotz meiner Aufforderung, es zu lassen, gefahren ist. Leider wurde ich beiderseitig nicht ernst genommen. Zum Glück ist nichts passiert."
Sun Apr 21 19:27:04 +0000 2019,Von der Kneipe auf die Terrasse. Bier aus dem Osten. #landskron #goerlitz
Sun Apr 21 19:18:05 +0000 2019,Ob ich ein Becks Gold möchte warum ist euch das Männer Bier ausgegangen?!Verpiss dich!!! 
Sun Apr 21 16:47:40 +0000 2019,"Bier aus Österreich, Zug aus Österreich, verspätet, wie alle Züge an diesem Wochenende. "
Sun Apr 21 15:36:44 +0000 2019,Die 150 Flaschen Bier von gestern sind tatsächlich nur noch Leergut. #geileparty
Sun Apr 21 15:02:30 +0000 2019,Vergiss mir den Jahn nicht! Szafnauer zertifiziertes Spital Bier in Regensburg. Muss mal vorbeikommen
Sun Apr 21 14:57:56 +0000 2019,Weidenhäuser Bierbaum - hier wächst das Bier an Bäumen @Weidenhausen bei Gladenbach https://www.instagram.com/p/BwhZJ0IlrA7qMs2wryvQxGARJPye5i0pX33gUQ0/?utm_source=ig_twitter_share&amp;igshid=4myhcmljkwtj
Sun Apr 21 12:39:07 +0000 2019,Heimfahr#bier Luxusklasse! @Greding https://www.instagram.com/p/BwhJRI6l0xd/?utm_source=ig_twitter_share&amp;igshid=1v3xldqrapq8o
Sun Apr 21 12:38:44 +0000 2019,Ich nehme das Bier... 
Sun Apr 21 12:30:04 +0000 2019,"Dann haben wir in Brüssel Pat und Patachon, Dick und Doof und Bier und Korn auf einem Schlag."
Sun Apr 21 11:38:51 +0000 2019,Vor meinem Fenster sitzt ein beschissener Flötenspieler!
Sun Apr 21 11:15:51 +0000 2019,#froheostern und einfach schön #vaterundsohn beim #Grillen #gemütlich mit einem #bier ! Was machst du an #ostern? LG @andreasdaemon #geburtshelferfürlösungen @… https://www.instagram.com/andreasdaemon/p/Bwg_vPVHLHJ/?utm_source=ig_twitter_share&amp;igshid=16tckixei4nik
Sun Apr 21 08:33:17 +0000 2019,"Am Freitag diskutiert die TUM zu partizipativen Ansätzen, gebauter Utopie und Großsiedlungen Wagen. Wenn Sie dazu kommen, gebe ich einen modernen Kaffee oder ein genossenschaftlich-gewerkschaftliches Bier aus. :) #hicrhodus """
Sun Apr 21 08:30:30 +0000 2019,"#Ostergrüße aus der #Bier- und #Fachwerkstadt #Einbeck! Genießt die freien Tage, lasst euch die warme #Frühlingssonne ins Gesicht scheinen und erholt euch gut im Kreise der #Familie! #weserbergland #Harz #Niedersachsen #Südniedersachsen #meinniedersachsen #Ostern – at Einbeck Marketing"
Sun Apr 21 07:45:00 +0000 2019,Frohe Ostern und so. Viel Spaß bei der Eiersuche. Trinkt vielleicht das ein oder andere Bier. Das Übliche halt!
Sat Apr 20 23:14:50 +0000 2019,36 € für 20 Bier – damit kann ich arbeiten! – at Donnerbalken
Sat Apr 20 23:03:17 +0000 2019,"/me murmelt beschwörend: ""Bier ist langweilig … Laufen ist cool …"""
Sat Apr 20 21:58:47 +0000 2019,ich esse jetzt ein Buttercrousant zu einer Flasche Bier ( 23:58 Uhr). Nachti
Sat Apr 20 19:39:59 +0000 2019,En die liters weiss bier 
Sat Apr 20 19:15:49 +0000 2019,Ich brauche mehr Bier. #S04TSG
Sat Apr 20 18:45:10 +0000 2019,Gut süffiges Nürnberger St. Sebaldus Helles Hefeweizen #bier #weizen #foodporn #beerlover
Sat Apr 20 18:06:56 +0000 2019,Ich glaube ich habe eine Überdosis Lachs mit Meerrettich. Erst mal ein Bier.
Sat Apr 20 17:34:54 +0000 2019,Bier und Feuer. Gute Mischung. @Schlachthof Wiesbaden https://www.instagram.com/p/BwfGUgBBscH_ed5yFOk5F6_dLOkbl6ds8yUHCU0/?utm_source=ig_twitter_share&amp;igshid=1g74k7hsh8qm5
Sat Apr 20 17:10:44 +0000 2019,Ich hätte dem anderen alten Mann auch Bescheid sagen können. Aber der @_rootboy trink ja gar kein Bier.
Sat Apr 20 17:08:26 +0000 2019,Bier ist da. 
Sat Apr 20 16:49:37 +0000 2019,"Wetter gut, Bier grenzwertig #Koblenz"
Sat Apr 20 15:30:30 +0000 2019,"Leute! Jahrmarkt, Bier, sexy Boys – hab Bock! "
Sat Apr 20 14:56:08 +0000 2019,"Konfetti im Bier heute nur beim Lesen, dafür auch aus der Flasche und nicht aus dem Plastikbecher #fcsp #fcsanktpauli #buch #bier #konfettiimbier #fussball #sanktpauli #hamburg #ultras #wochenende besorgt euch der lokale Buchhändler"
Sat Apr 20 11:38:27 +0000 2019,Und wir stehen vor dem Fanshop mit nem Bier 
Sat Apr 20 11:31:40 +0000 2019,"Heute kann ja mit dem Bier nix passieren, @Godzi0815 ist nicht da @MissVelifer"
Sat Apr 20 10:13:05 +0000 2019,#untappd - Drinking a Thüringer Premium Bier by Brauerei Gotha @Deysingslust — 
Sat Apr 20 09:35:45 +0000 2019,@Mabim @dlogemann Servus! Wie ist die aktuelle Bier Situation in München?
Sat Apr 20 09:05:15 +0000 2019,So genießt man den Tag #bier #beim #chinese @Schönaich https://www.instagram.com/p/BweL_ueHGua/?utm_source=ig_twitter_share&amp;igshid=fqe5qrkw7wtg
Fri Apr 19 19:20:34 +0000 2019,"Das ist kein Bier, oder? Ich frage für die Strichliste."
Fri Apr 19 18:24:49 +0000 2019,Ein sehr leckeres Bier 
Fri Apr 19 16:53:12 +0000 2019,Da war das Bier in den Zapf-Leitungen &amp; der Glühwein im Becher eingefroren...
Fri Apr 19 16:50:43 +0000 2019,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/3JrVWOLtF8z"
Fri Apr 19 15:01:07 +0000 2019,Da bin ich im Norden von Thüringen mit dem Bürgermeister von Sondershausen ein zwei Bier trinken. So von Schulkameraden zu Schulkameraden schöne Ostern.
Fri Apr 19 14:21:42 +0000 2019,"Summer vibes! #bier #sommer #sonne #entspannen @Baden-Württemberg, Germany https://www.instagram.com/p/BwcLarXhEi5/?utm_source=ig_twitter_share&amp;igshid=4rzoq2vergyv"
Fri Apr 19 13:05:21 +0000 2019,Ziemlich hart chillen... . . . . . #garten #jena #thüringen #thueringen #xperia #xperiaphotography #xperiaxz2compact #bier #wurst #wein #chillen #feiertag #xperia #sony #drink #sonne #sun… https://www.instagram.com/p/BwcCrXJDUfL/?utm_source=ig_twitter_share&amp;igshid=11in5t0oe24ud
