Sat Apr 30 19:37:27 +0000 2016,"Ueli Bier Spezial zum Spargel @Düsseldorf, Germany https://www.instagram.com/p/BE1h3DGE4Bj/"
Sat Apr 16 18:20:48 +0000 2016,Düsseldorf. Altstadt. Alt. - So muss das! #altbier #Düsseldorf #schlüsseldüsseldorf #bier… https://www.instagram.com/p/BERV9Wbtpuq/
Sat Apr 16 02:06:37 +0000 2016,Das bier? Bo das radler! Prost bitches! #NUREMBERGFLOW #Germany #Germanlife #shenanigans… https://www.instagram.com/p/BEPmeNGKzSQ/
Fri Apr 15 22:06:31 +0000 2016,"Hatte es hopfiger erwartet, geht leider in Richtung Witbier. - Drinking a Berg Jubel-Bier @Pfullingen - http://untp.beer/s/c299925998"
Fri Apr 15 21:50:16 +0000 2016,Nur 2847 Bier!!! (@Eisen in Bremen w/ @puschimaus13) https://www.swarmapp.com/c/emneTmrywwF
Fri Apr 15 19:29:05 +0000 2016,Wochenende. Gutes Essen. Bier. @Klostergarten - Berg Brauereiausschank - Hotel https://www.instagram.com/p/BEO4-cJq9Ko/
Fri Apr 15 19:11:27 +0000 2016,Und im Mai wird dann pro-bier-t :) 
Fri Apr 15 12:35:59 +0000 2016,"Wochenende. Yiiihaaaaa! Erstmal was leckeres Essen und dann Omi besuchen. Zeit für Zwischenmenschliches, Couch und Bier &lt;3"
Fri Apr 15 04:40:51 +0000 2016,"Die Personen die in der früh um 6:45 Bier oder Schnaps trinken, nimmt gefühlt zu. Hab ich zuletzt anno 1993 so gesehen. Heute schon zwei"
Thu Apr 14 16:34:46 +0000 2016,"\o/ Es gibt Bier, Baby!!! @Humboldt/Gremberg https://www.instagram.com/p/BEMAPBKIo77/"
Thu Apr 14 15:26:27 +0000 2016,"Frühling, Sonne, draußen Bier. @Braunschweig, Germany https://www.instagram.com/p/BEL4aauI3R3/"
Thu Apr 14 14:37:12 +0000 2016,"Erstes, inoffizielles @chefkochde Bier-Tasting! "
Thu Apr 14 14:36:13 +0000 2016,@Gequeoman Bier nicht. Aber ist ja ein Kölsch und kein Bier ¯\_(ツ)_/¯
Wed Apr 13 16:41:06 +0000 2016,Mal dieses Dortmunder Gebräu ausprobieren. #Craftbeer #Dortmund @Bergmann Bier https://www.instagram.com/p/BEJcKbdLkv6/
Wed Apr 13 15:11:55 +0000 2016,"So, wir testen mal ein neues Feierabendbier, Braumeister von warsteiner #feierabend #bier… https://www.instagram.com/p/BEJRzgbFbDg/"
Tue Apr 12 12:24:19 +0000 2016,Che fai? Vai a #dusseldorf e non prendi una birra? #danke #bier #beer @Rhine Tower - Düsseldorf https://www.instagram.com/p/BEGZ-5CgJhw/
Mon Apr 11 18:45:50 +0000 2016,"Mit Bier aufm Aldi Parkplatz chillen. Läuft. (@ALDI SÜD in Ramstein-Miesenbach, Rheinland-Pfalz w/ @aledjonesworld) https://www.swarmapp.com/c/9GRI16Zn0Ny"
Mon Apr 11 18:21:08 +0000 2016,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/aMj74z9skIj"
Mon Apr 11 18:13:32 +0000 2016,"Bier und gegrillte Gemüse @Heidelberg, Germany https://www.instagram.com/p/BEEdJrNm18p/"
Mon Apr 11 12:19:26 +0000 2016,Krawall um Bier http://j.mp/1Vi4hO9 #frankfurt
Mon Apr 11 09:17:41 +0000 2016, #Alzheimer statt #Parkinson Besser ein #Bier vergessen statt eins verschüttet 
Sun Apr 10 19:43:53 +0000 2016,@NicoWde @juh_jugend ich hatte Fleisch und bier.
Sun Apr 10 17:39:42 +0000 2016,@Agnes_Beau ich entfliehe! In einem Zug voll Bier und Männerschweiß 
Sun Apr 10 11:34:31 +0000 2016,#Sonntag #spaziergang #bier @Saarbrücken https://www.instagram.com/p/BEBKsZDSjaD/
Sat Apr 09 19:17:56 +0000 2016,"Bier Bier Bier (@Sam's Sportsbar in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/lEmEOTjvqI3"
Fri Apr 08 11:33:11 +0000 2016,Schon Gewusst? Beim Bier macht die Hefe den Unterschied - Heilpraxisnet.de http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=de&amp;usg=AFQjCNFTCmDedsUcZ2D2FvEgWjehlWYWig&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;cid=52779858307794&amp;ei=2ZYHV8jqKOfAwQHmz4rYAw&amp;url=http://www.heilpraxisnet.de/naturheilpraxis/schon-gewusst-beim-bier-macht-die-hefe-den-unterschied-2016040862955
Fri Apr 08 09:24:10 +0000 2016,"Bier. (@TGW Sportzentrum Feggrube in Würzburg, Bayern) https://www.swarmapp.com/c/2A3IRFPdFnX"
Thu Apr 07 20:24:47 +0000 2016,Niemals wurde mehr Bier in einen anderen Krug eingeschänkt #ikone #franzregler #platzwart @… https://www.instagram.com/p/BD6Y_e7LKnT/
Thu Apr 07 17:50:00 +0000 2016,Schwiegermutter da.... Ich bin dann mal in der Kneipe... #Prost #Bier (@Schranne) https://www.swarmapp.com/c/1dyv4V3ahc8
Thu Apr 07 15:36:57 +0000 2016,"Kind hat seinen Spielplatz, Papa sein Bier! Jeder das was er will! Schönen Abend TL! https://www.swarmapp.com/c/18hvwb8eZSZ"
Wed Apr 06 21:05:37 +0000 2016,"Kinder, zur Sonne, zur Freiheit #OOMPH #nofilter @LKA Longhorn https://www.instagram.com/p/BD343p9yEmE0hAuMbfcqcugZTNC2l75vT1bnBY0/"
Wed Apr 06 19:14:45 +0000 2016,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/fRpzMfbMjWv"
Tue Apr 05 21:04:25 +0000 2016,Feierabendbierchen mit warsteiner #Braumeister. Schmeckt ganz gut. #Bier #Beer #Warsteiner… https://www.instagram.com/p/BD1T8FoRa6_/
Tue Apr 05 19:03:57 +0000 2016,@Dora_Xplorer_ Bier in den meisten Fällen auch nicht. Wissen viele Veganer auch nicht ¯\_(ツ)_/¯ (wird durch Gelatine gefiltert)
Tue Apr 05 18:28:03 +0000 2016,CL mit Bier #FCBSLB (@Arena) https://www.swarmapp.com/c/9msWD25GrbZ
Tue Apr 05 16:53:52 +0000 2016,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/aMkxeJbW0PJ"
Mon Apr 04 19:43:06 +0000 2016,Letztes Altbier am Fortuna-Büdchen am Rheinufer. Prost! #DeinNRW live #bier #altbier #craftbeer… https://www.instagram.com/p/BDyl1rpFGXH/
Mon Apr 04 19:13:28 +0000 2016,#beer #bier #beercheck #biercheck erstes Bier draußen und dann nichts geringeres als das gute… https://www.instagram.com/p/BDyickpFBH8/
Mon Apr 04 19:05:55 +0000 2016,Wünscht man sich auch für zu Hause: Ein Sich-selbst-auffüllendes-Altbierfass! #hightech #bier… https://www.instagram.com/p/BDyhlWblGc5/
Mon Apr 04 18:03:22 +0000 2016,Das Elend nimmt langsam seinen Lauf...Binding Bier mangels Alternativen...#Prost #bierherbierher… https://www.instagram.com/p/BDyabNTAPdc/
Mon Apr 04 17:29:33 +0000 2016,Prost. kleines #Bier - kleines Glas. #Erfurt #thueringen. @Altstadt (Erfurt) https://www.instagram.com/p/BDyWjhFgfqa/
Sun Apr 03 18:05:07 +0000 2016,#germany #nuernberg #volksfest #gestern abend #mit den kollegen #makrele und bier #mit einem… https://www.instagram.com/p/BDv1001OalQ/
Sun Apr 03 17:20:11 +0000 2016,Glubb Sieg feiern! Bier 03 Tweet! #FCN #FSVFCN (@Gasthaus Grüner Baum) https://www.swarmapp.com/c/jijY6QFHnXD
Sun Apr 03 16:48:45 +0000 2016,I'm at Gasthof Schutzen Bier Garten https://www.swarmapp.com/c/cA1JaSNFAMD
Sun Apr 03 16:20:15 +0000 2016,Heute Mittag so ... #0711 #Stuttgart #Sommer #Sonne #Bier #Sun @Biergarten auf der Karlshöhe https://www.instagram.com/p/BDvp0vQPjcz/
Sun Apr 03 13:17:31 +0000 2016,@Marskaetzchen Das ist Bier 
Sat Apr 02 16:11:33 +0000 2016,Jetzt endlich Bier für mich (@EDEKA in Rottenburg Am Neckar) https://www.swarmapp.com/c/4YHpKYqiAd9
Sat Apr 02 16:10:17 +0000 2016,München. Das erste Bier im Garten. Munich. The First Beer in the Garden. #münchen #muenchen… https://www.instagram.com/p/BDtB4ZoqWYw/
Sat Apr 02 05:50:15 +0000 2016,"Alles, was in Bremen Ahnung von Bier hat, war gestern Abend auf oder vor der Bühne im… https://www.instagram.com/p/BDr8747MiYL/"
Fri Apr 01 17:56:43 +0000 2016,"Wochenende! Erst mal was essen und ein paar Bier! (@Gasthof Anker Albertshofen in Albertshofen, Bayern) https://www.swarmapp.com/c/1sIBJgZAVce"
Fri Apr 01 14:20:04 +0000 2016,"Es ist #wochenende, #bitch! #sonne #sunnyday #obertshausen #feelgood #schee #bier #nice… https://www.instagram.com/p/BDqSe4hhZT-/"
